iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2015_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
lki,Arab,lki_Arab,Laki, ,Zs,SPACE,16928,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",399,1830,2908,1102,1174,2658,2968,2629,1260
lki,Arab,lki_Arab,Laki,ا,Lo,ARABIC LETTER ALEF,6979,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",177,660,1203,509,397,1139,1178,1197,519
lki,Arab,lki_Arab,Laki,ی,Lo,ARABIC LETTER FARSI YEH,6667,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",145,695,1317,479,454,844,1079,1249,405
lki,Arab,lki_Arab,Laki,م,Lo,ARABIC LETTER MEEM,4940,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",108,705,912,306,340,655,860,787,267
lki,Arab,lki_Arab,Laki,ه,Lo,ARABIC LETTER HEH,4612,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",103,453,936,327,225,659,839,695,375
lki,Arab,lki_Arab,Laki,ن,Lo,ARABIC LETTER NOON,4408,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",92,556,640,417,300,693,738,626,346
lki,Arab,lki_Arab,Laki,ر,Lo,ARABIC LETTER REH,4365,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",86,413,670,276,242,681,804,769,424
lki,Arab,lki_Arab,Laki,و,Lo,ARABIC LETTER WAW,4217,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",69,663,446,352,295,564,869,622,337
lki,Arab,lki_Arab,Laki,د,Lo,ARABIC LETTER DAL,3096,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",96,344,454,263,225,451,543,479,241
lki,Arab,lki_Arab,Laki,ب,Lo,ARABIC LETTER BEH,2923,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",65,307,841,160,172,405,331,466,176
lki,Arab,lki_Arab,Laki,ت,Lo,ARABIC LETTER TEH,2339,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",47,345,294,156,177,398,394,393,135
lki,Arab,lki_Arab,Laki,ک,Lo,ARABIC LETTER KEHEH,1698,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",32,146,329,176,90,205,316,290,114
lki,Arab,lki_Arab,Laki,س,Lo,ARABIC LETTER SEEN,1653,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",21,131,509,71,86,188,252,266,129
lki,Arab,lki_Arab,Laki,ل,Lo,ARABIC LETTER LAM,1649,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",78,124,297,175,124,202,302,260,87
lki,Arab,lki_Arab,Laki,ش,Lo,ARABIC LETTER SHEEN,1545,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",47,227,318,66,117,215,265,161,129
lki,Arab,lki_Arab,Laki,ز,Lo,ARABIC LETTER ZAIN,1082,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",30,98,125,57,159,163,140,222,88
lki,Arab,lki_Arab,Laki,گ,Lo,ARABIC LETTER GAF,937,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",29,75,139,80,44,127,167,188,88
lki,Arab,lki_Arab,Laki,خ,Lo,ARABIC LETTER KHAH,772,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",37,91,97,32,30,131,166,125,63
lki,Arab,lki_Arab,Laki,ق,Lo,ARABIC LETTER QAF,569,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",7,105,110,35,87,64,91,49,21
lki,Arab,lki_Arab,Laki,ع,Lo,ARABIC LETTER AIN,542,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",11,81,115,22,97,83,72,41,20
lki,Arab,lki_Arab,Laki,آ,Lo,ARABIC LETTER ALEF WITH MADDA ABOVE,519,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",6,45,61,47,38,82,96,121,23
lki,Arab,lki_Arab,Laki,ف,Lo,ARABIC LETTER FEH,482,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",11,43,74,25,26,71,84,87,61
lki,Arab,lki_Arab,Laki,ح,Lo,ARABIC LETTER HAH,458,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",19,39,114,47,23,45,86,69,16
lki,Arab,lki_Arab,Laki,پ,Lo,ARABIC LETTER PEH,443,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",11,36,80,16,21,57,109,69,44
lki,Arab,lki_Arab,Laki,چ,Lo,ARABIC LETTER TCHEH,399,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",9,51,54,17,31,61,69,71,36
lki,Arab,lki_Arab,Laki,ج,Lo,ARABIC LETTER JEEM,393,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",20,49,18,40,44,73,85,38,26
lki,Arab,lki_Arab,Laki,ي,Lo,ARABIC LETTER YEH,231,2,"2018,2021",0,0,132,0,0,99,0,0,0
lki,Arab,lki_Arab,Laki,",",Po,COMMA,208,6,"2017,2018,2019,2020,2021,2023",0,2,17,22,3,2,0,162,0
lki,Arab,lki_Arab,Laki,ص,Lo,ARABIC LETTER SAD,197,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",2,25,21,4,14,50,46,26,9
lki,Arab,lki_Arab,Laki,ط,Lo,ARABIC LETTER TAH,177,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",1,16,21,5,8,42,31,45,8
lki,Arab,lki_Arab,Laki,ژ,Lo,ARABIC LETTER JEH,161,7,"2018,2019,2020,2021,2022,2023,2024",0,0,9,6,1,25,61,31,28
lki,Arab,lki_Arab,Laki,a,Ll,LATIN SMALL LETTER A,155,7,"2017,2018,2019,2020,2021,2022,2023",0,3,48,11,21,45,24,3,0
lki,Arab,lki_Arab,Laki,i,Ll,LATIN SMALL LETTER I,154,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,1,51,9,24,38,27,1,3
lki,Arab,lki_Arab,Laki,غ,Lo,ARABIC LETTER GHAIN,148,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",1,21,8,7,7,32,38,25,9
lki,Arab,lki_Arab,Laki,e,Ll,LATIN SMALL LETTER E,143,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,7,28,14,41,32,15,3,3
lki,Arab,lki_Arab,Laki,n,Ll,LATIN SMALL LETTER N,117,7,"2017,2018,2019,2020,2021,2022,2023",0,3,33,8,10,42,19,2,0
lki,Arab,lki_Arab,Laki,.,Po,FULL STOP,111,8,"2015,2017,2018,2020,2021,2022,2023,2024",3,1,43,0,8,8,24,19,5
lki,Arab,lki_Arab,Laki,o,Ll,LATIN SMALL LETTER O,108,7,"2017,2018,2019,2020,2021,2022,2023",0,7,44,6,17,17,13,4,0
lki,Arab,lki_Arab,Laki,♪,So,EIGHTH NOTE,100,3,"2019,2020,2022",0,0,0,39,59,0,2,0,0
lki,Arab,lki_Arab,Laki,s,Ll,LATIN SMALL LETTER S,92,7,"2017,2018,2019,2020,2021,2022,2023",0,3,12,6,34,17,12,8,0
lki,Arab,lki_Arab,Laki,r,Ll,LATIN SMALL LETTER R,89,6,"2017,2018,2019,2020,2021,2022",0,1,19,1,12,44,12,0,0
lki,Arab,lki_Arab,Laki,t,Ll,LATIN SMALL LETTER T,87,7,"2017,2018,2019,2020,2021,2022,2024",0,2,24,1,23,23,11,0,3
lki,Arab,lki_Arab,Laki,ظ,Lo,ARABIC LETTER ZAH,81,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,2,40,2,1,12,16,2,6
lki,Arab,lki_Arab,Laki,া,Mc,BENGALI VOWEL SIGN AA,79,1,2021,0,0,0,0,0,79,0,0,0
lki,Arab,lki_Arab,Laki,c,Ll,LATIN SMALL LETTER C,76,7,"2017,2018,2019,2020,2021,2022,2023",0,1,32,2,9,23,8,1,0
lki,Arab,lki_Arab,Laki,ك,Lo,ARABIC LETTER KAF,75,2,"2018,2021",0,0,47,0,0,28,0,0,0
lki,Arab,lki_Arab,Laki,،,Po,ARABIC COMMA,74,7,"2018,2019,2020,2021,2022,2023,2024",0,0,25,2,1,22,12,10,2
lki,Arab,lki_Arab,Laki,ث,Lo,ARABIC LETTER THEH,64,7,"2015,2017,2019,2021,2022,2023,2024",1,5,0,3,0,17,17,19,2
lki,Arab,lki_Arab,Laki,র,Lo,BENGALI LETTER RA,64,1,2021,0,0,0,0,0,64,0,0,0
lki,Arab,lki_Arab,Laki,d,Ll,LATIN SMALL LETTER D,64,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,4,21,4,5,8,11,8,3
