iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency
llb,Latn,llb_Latn,Lolo,m,Ll,LATIN SMALL LETTER M,7299,2,"2017,2018",149,7150
llb,Latn,llb_Latn,Lolo,i,Ll,LATIN SMALL LETTER I,6658,2,"2017,2018",281,6377
llb,Latn,llb_Latn,Lolo, ,Zs,SPACE,3646,2,"2017,2018",476,3170
llb,Latn,llb_Latn,Lolo,a,Ll,LATIN SMALL LETTER A,1001,2,"2017,2018",489,512
llb,Latn,llb_Latn,Lolo,o,Ll,LATIN SMALL LETTER O,559,2,"2017,2018",225,334
llb,Latn,llb_Latn,Lolo,n,Ll,LATIN SMALL LETTER N,514,2,"2017,2018",280,234
llb,Latn,llb_Latn,Lolo,e,Ll,LATIN SMALL LETTER E,501,2,"2017,2018",195,306
llb,Latn,llb_Latn,Lolo,u,Ll,LATIN SMALL LETTER U,310,2,"2017,2018",178,132
llb,Latn,llb_Latn,Lolo,l,Ll,LATIN SMALL LETTER L,293,2,"2017,2018",166,127
llb,Latn,llb_Latn,Lolo,.,Po,FULL STOP,228,2,"2017,2018",38,190
llb,Latn,llb_Latn,Lolo,r,Ll,LATIN SMALL LETTER R,226,2,"2017,2018",68,158
llb,Latn,llb_Latn,Lolo,",",Po,COMMA,220,2,"2017,2018",22,198
llb,Latn,llb_Latn,Lolo,M,Lu,LATIN CAPITAL LETTER M,214,2,"2017,2018",25,189
llb,Latn,llb_Latn,Lolo,h,Ll,LATIN SMALL LETTER H,204,2,"2017,2018",99,105
llb,Latn,llb_Latn,Lolo,s,Ll,LATIN SMALL LETTER S,199,2,"2017,2018",41,158
llb,Latn,llb_Latn,Lolo,w,Ll,LATIN SMALL LETTER W,188,2,"2017,2018",133,55
llb,Latn,llb_Latn,Lolo,t,Ll,LATIN SMALL LETTER T,176,2,"2017,2018",55,121
llb,Latn,llb_Latn,Lolo,v,Ll,LATIN SMALL LETTER V,169,2,"2017,2018",93,76
llb,Latn,llb_Latn,Lolo,y,Ll,LATIN SMALL LETTER Y,167,2,"2017,2018",114,53
llb,Latn,llb_Latn,Lolo,d,Ll,LATIN SMALL LETTER D,166,2,"2017,2018",68,98
llb,Latn,llb_Latn,Lolo,g,Ll,LATIN SMALL LETTER G,122,2,"2017,2018",75,47
llb,Latn,llb_Latn,Lolo,b,Ll,LATIN SMALL LETTER B,94,2,"2017,2018",55,39
llb,Latn,llb_Latn,Lolo,-,Pd,HYPHEN-MINUS,82,2,"2017,2018",47,35
llb,Latn,llb_Latn,Lolo,k,Ll,LATIN SMALL LETTER K,69,2,"2017,2018",45,24
llb,Latn,llb_Latn,Lolo,c,Ll,LATIN SMALL LETTER C,65,2,"2017,2018",13,52
llb,Latn,llb_Latn,Lolo,p,Ll,LATIN SMALL LETTER P,49,2,"2017,2018",18,31
llb,Latn,llb_Latn,Lolo,f,Ll,LATIN SMALL LETTER F,44,2,"2017,2018",24,20
llb,Latn,llb_Latn,Lolo,0,Nd,DIGIT ZERO,40,2,"2017,2018",3,37
llb,Latn,llb_Latn,Lolo,1,Nd,DIGIT ONE,33,2,"2017,2018",2,31
llb,Latn,llb_Latn,Lolo,9,Nd,DIGIT NINE,29,2,"2017,2018",1,28
llb,Latn,llb_Latn,Lolo,N,Lu,LATIN CAPITAL LETTER N,26,2,"2017,2018",19,7
llb,Latn,llb_Latn,Lolo,A,Lu,LATIN CAPITAL LETTER A,25,2,"2017,2018",11,14
llb,Latn,llb_Latn,Lolo,B,Lu,LATIN CAPITAL LETTER B,25,2,"2017,2018",18,7
llb,Latn,llb_Latn,Lolo,:,Po,COLON,24,2,"2017,2018",7,17
llb,Latn,llb_Latn,Lolo,O,Lu,LATIN CAPITAL LETTER O,20,2,"2017,2018",10,10
llb,Latn,llb_Latn,Lolo,?,Po,QUESTION MARK,20,2,"2017,2018",12,8
llb,Latn,llb_Latn,Lolo,õ,Ll,LATIN SMALL LETTER O WITH TILDE,17,1,2018,0,17
