iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2023_frequency
lmk,Latn,lmk_Latn,Lamkang, ,Zs,SPACE,11385,3,"2018,2019,2023",530,1513,9342
lmk,Latn,lmk_Latn,Lamkang,a,Ll,LATIN SMALL LETTER A,8119,3,"2018,2019,2023",367,1042,6710
lmk,Latn,lmk_Latn,Lamkang,i,Ll,LATIN SMALL LETTER I,5133,3,"2018,2019,2023",243,689,4201
lmk,Latn,lmk_Latn,Lamkang,h,Ll,LATIN SMALL LETTER H,4912,3,"2018,2019,2023",201,436,4275
lmk,Latn,lmk_Latn,Lamkang,n,Ll,LATIN SMALL LETTER N,4609,3,"2018,2019,2023",195,549,3865
lmk,Latn,lmk_Latn,Lamkang,k,Ll,LATIN SMALL LETTER K,3180,3,"2018,2019,2023",92,322,2766
lmk,Latn,lmk_Latn,Lamkang,m,Ll,LATIN SMALL LETTER M,2998,3,"2018,2019,2023",133,360,2505
lmk,Latn,lmk_Latn,Lamkang,u,Ll,LATIN SMALL LETTER U,2996,3,"2018,2019,2023",154,382,2460
lmk,Latn,lmk_Latn,Lamkang,t,Ll,LATIN SMALL LETTER T,2570,3,"2018,2019,2023",106,320,2144
lmk,Latn,lmk_Latn,Lamkang,o,Ll,LATIN SMALL LETTER O,2375,3,"2018,2019,2023",79,193,2103
lmk,Latn,lmk_Latn,Lamkang,e,Ll,LATIN SMALL LETTER E,2281,3,"2018,2019,2023",92,304,1885
lmk,Latn,lmk_Latn,Lamkang,r,Ll,LATIN SMALL LETTER R,2160,3,"2018,2019,2023",81,212,1867
lmk,Latn,lmk_Latn,Lamkang,l,Ll,LATIN SMALL LETTER L,1987,3,"2018,2019,2023",115,226,1646
lmk,Latn,lmk_Latn,Lamkang,d,Ll,LATIN SMALL LETTER D,1788,3,"2018,2019,2023",103,271,1414
lmk,Latn,lmk_Latn,Lamkang,g,Ll,LATIN SMALL LETTER G,1758,3,"2018,2019,2023",89,230,1439
lmk,Latn,lmk_Latn,Lamkang,p,Ll,LATIN SMALL LETTER P,1438,3,"2018,2019,2023",98,224,1116
lmk,Latn,lmk_Latn,Lamkang,s,Ll,LATIN SMALL LETTER S,1160,3,"2018,2019,2023",50,142,968
lmk,Latn,lmk_Latn,Lamkang,v,Ll,LATIN SMALL LETTER V,999,3,"2018,2019,2023",47,104,848
lmk,Latn,lmk_Latn,Lamkang,.,Po,FULL STOP,769,3,"2018,2019,2023",41,53,675
lmk,Latn,lmk_Latn,Lamkang,c,Ll,LATIN SMALL LETTER C,673,3,"2018,2019,2023",7,42,624
lmk,Latn,lmk_Latn,Lamkang,',Po,APOSTROPHE,663,2,"2018,2023",46,0,617
lmk,Latn,lmk_Latn,Lamkang,M,Lu,LATIN CAPITAL LETTER M,435,3,"2018,2019,2023",22,71,342
lmk,Latn,lmk_Latn,Lamkang,",",Po,COMMA,370,3,"2018,2019,2023",38,144,188
lmk,Latn,lmk_Latn,Lamkang,J,Lu,LATIN CAPITAL LETTER J,323,3,"2018,2019,2023",35,67,221
lmk,Latn,lmk_Latn,Lamkang,I,Lu,LATIN CAPITAL LETTER I,284,3,"2018,2019,2023",2,19,263
lmk,Latn,lmk_Latn,Lamkang,b,Ll,LATIN SMALL LETTER B,265,3,"2018,2019,2023",29,44,192
lmk,Latn,lmk_Latn,Lamkang,y,Ll,LATIN SMALL LETTER Y,234,3,"2018,2019,2023",18,10,206
lmk,Latn,lmk_Latn,Lamkang,j,Ll,LATIN SMALL LETTER J,195,3,"2018,2019,2023",22,56,117
lmk,Latn,lmk_Latn,Lamkang,w,Ll,LATIN SMALL LETTER W,193,3,"2018,2019,2023",67,90,36
