iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
loz,Latn,loz_Latn,Lozi, ,Zs,SPACE,2769547,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",11960,3067,205614,1122454,187813,105720,931804,72786,44183,55125,29021
loz,Latn,loz_Latn,Lozi,a,Ll,LATIN SMALL LETTER A,2365761,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",9928,2503,191136,979579,176772,104987,703573,66969,42669,59584,28061
loz,Latn,loz_Latn,Lozi,i,Ll,LATIN SMALL LETTER I,1294457,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",5666,1183,100468,527027,98347,58892,387194,38752,24357,36032,16539
loz,Latn,loz_Latn,Lozi,l,Ll,LATIN SMALL LETTER L,967209,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",4249,827,74687,395265,73607,44092,291420,27802,17137,25774,12349
loz,Latn,loz_Latn,Lozi,u,Ll,LATIN SMALL LETTER U,947564,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",3861,960,73241,385441,68549,41872,296131,26752,16888,23008,10861
loz,Latn,loz_Latn,Lozi,e,Ll,LATIN SMALL LETTER E,926805,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",4136,781,72030,376296,70832,43638,279985,27769,17113,23396,10829
loz,Latn,loz_Latn,Lozi,k,Ll,LATIN SMALL LETTER K,725845,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",3539,791,55496,289641,56100,33313,221678,21895,14118,20112,9162
loz,Latn,loz_Latn,Lozi,n,Ll,LATIN SMALL LETTER N,700544,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",3714,873,55652,287252,53195,32084,206586,21953,13450,17614,8171
loz,Latn,loz_Latn,Lozi,o,Ll,LATIN SMALL LETTER O,556828,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2828,550,40502,217684,44545,27237,172753,17201,10519,15723,7286
loz,Latn,loz_Latn,Lozi,b,Ll,LATIN SMALL LETTER B,549316,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1846,525,43130,223627,40695,25707,168444,15298,9890,13851,6303
loz,Latn,loz_Latn,Lozi,m,Ll,LATIN SMALL LETTER M,472818,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2167,476,38330,197990,36521,21072,132633,14274,9826,13350,6179
loz,Latn,loz_Latn,Lozi,w,Ll,LATIN SMALL LETTER W,407037,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1812,438,31615,164838,31823,18562,121807,12263,7708,10889,5282
loz,Latn,loz_Latn,Lozi,s,Ll,LATIN SMALL LETTER S,401076,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2113,413,29310,158747,32391,18924,123623,11929,7613,11036,4977
