iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
ltz,Latn,ltz_Latn,Luxembourgish, ,Zs,SPACE,148542395,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",582459,586349,571709,744972,3939037,8015804,16393104,20316061,29420953,26046204,34987666,6938077
ltz,Latn,ltz_Latn,Luxembourgish,e,Ll,LATIN SMALL LETTER E,120751252,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",469515,480456,473340,596910,3093966,6390850,13204214,16425914,23869700,21187610,28774279,5784498
ltz,Latn,ltz_Latn,Luxembourgish,n,Ll,LATIN SMALL LETTER N,74828531,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",283186,292848,288213,362180,1878927,3910094,8128074,10253207,14750936,13224563,17860572,3595731
ltz,Latn,ltz_Latn,Luxembourgish,r,Ll,LATIN SMALL LETTER R,55930213,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",209314,219713,214614,268866,1381312,2906756,6026765,7449545,10975082,9968033,13561242,2748971
ltz,Latn,ltz_Latn,Luxembourgish,t,Ll,LATIN SMALL LETTER T,53426004,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",193143,199276,195301,246488,1310525,2736151,5717103,7224544,10596765,9531079,12901297,2574332
ltz,Latn,ltz_Latn,Luxembourgish,i,Ll,LATIN SMALL LETTER I,53106359,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",196459,197173,194063,251535,1322382,2742064,5712282,7091201,10526323,9481229,12807064,2584584
ltz,Latn,ltz_Latn,Luxembourgish,a,Ll,LATIN SMALL LETTER A,49314942,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",188864,192632,190468,247321,1278564,2636522,5399362,6626694,9660058,8714170,11829675,2350612
ltz,Latn,ltz_Latn,Luxembourgish,s,Ll,LATIN SMALL LETTER S,44228425,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",171757,173057,168391,223790,1158861,2350875,4804022,5949585,8772499,7775565,10566735,2113288
ltz,Latn,ltz_Latn,Luxembourgish,o,Ll,LATIN SMALL LETTER O,31054492,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",120568,128604,125257,163427,855299,1745836,3494067,4176941,5994442,5381662,7367538,1500851
ltz,Latn,ltz_Latn,Luxembourgish,u,Ll,LATIN SMALL LETTER U,30816493,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",125157,132157,130308,164631,821014,1689339,3499836,4292103,5968740,5279446,7235234,1478528
ltz,Latn,ltz_Latn,Luxembourgish,l,Ll,LATIN SMALL LETTER L,30724187,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",112710,122929,121436,155671,799171,1624101,3344627,4159284,6049110,5409830,7345326,1479992
ltz,Latn,ltz_Latn,Luxembourgish,d,Ll,LATIN SMALL LETTER D,28479097,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",120147,119169,117208,146807,744489,1544459,3220851,3931514,5587733,4923402,6670427,1352891
ltz,Latn,ltz_Latn,Luxembourgish,h,Ll,LATIN SMALL LETTER H,25358099,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",101972,103904,99541,120586,635192,1301787,2793851,3549097,5018391,4422961,6021509,1189308
ltz,Latn,ltz_Latn,Luxembourgish,c,Ll,LATIN SMALL LETTER C,21802550,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",86050,86423,83416,109510,575746,1178687,2413540,3033272,4281464,3802139,5103839,1048464
ltz,Latn,ltz_Latn,Luxembourgish,g,Ll,LATIN SMALL LETTER G,21798052,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",84000,84672,83835,101794,555162,1119819,2390638,3020370,4301321,3812616,5211703,1032122
ltz,Latn,ltz_Latn,Luxembourgish,m,Ll,LATIN SMALL LETTER M,21445565,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",86699,90208,88500,112276,575926,1208440,2404755,2880117,4214029,3728598,5047828,1008189
ltz,Latn,ltz_Latn,Luxembourgish,é,Ll,LATIN SMALL LETTER E WITH ACUTE,11919690,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",40411,39856,39823,53304,286222,604292,1237322,1590766,2371042,2163539,2912624,580489
ltz,Latn,ltz_Latn,Luxembourgish,f,Ll,LATIN SMALL LETTER F,11715441,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",40459,40068,39065,50412,266703,569007,1186553,1557781,2356992,2130273,2892215,585913
ltz,Latn,ltz_Latn,Luxembourgish,k,Ll,LATIN SMALL LETTER K,11162676,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",38495,40819,38842,46443,240018,514693,1173202,1566638,2216015,2022097,2727410,538004
ltz,Latn,ltz_Latn,Luxembourgish,w,Ll,LATIN SMALL LETTER W,10582723,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",42047,38830,37585,46685,262410,544645,1125360,1406339,2141250,1890666,2558599,488307
ltz,Latn,ltz_Latn,Luxembourgish,p,Ll,LATIN SMALL LETTER P,10365957,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",37189,38249,38733,51904,299438,553014,1133523,1381398,2033161,1817229,2474643,507476
ltz,Latn,ltz_Latn,Luxembourgish,.,Po,FULL STOP,9271992,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",38726,42414,40022,55383,295162,545964,1038105,1276302,1779386,1591246,2146021,423261
ltz,Latn,ltz_Latn,Luxembourgish,v,Ll,LATIN SMALL LETTER V,8947241,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",32195,35986,36107,42647,215058,464648,994191,1228802,1747757,1571823,2134349,443678
