iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
luc,Latn,luc_Latn,Aringa, ,Zs,SPACE,76584,4,"2021,2022,2023,2024",31390,44800,94,300
luc,Latn,luc_Latn,Aringa,r,Ll,LATIN SMALL LETTER R,17235,4,"2021,2022,2023,2024",7639,9512,30,54
luc,Latn,luc_Latn,Aringa,á,Ll,LATIN SMALL LETTER A WITH ACUTE,15241,4,"2021,2022,2023,2024",6513,8671,22,35
luc,Latn,luc_Latn,Aringa,ĩ,Ll,LATIN SMALL LETTER I WITH TILDE,15103,4,"2021,2022,2023,2024",6660,8377,27,39
luc,Latn,luc_Latn,Aringa,d,Ll,LATIN SMALL LETTER D,15023,4,"2021,2022,2023,2024",6247,8700,19,57
luc,Latn,luc_Latn,Aringa,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,13694,4,"2021,2022,2023,2024",5441,8184,20,49
luc,Latn,luc_Latn,Aringa,ã,Ll,LATIN SMALL LETTER A WITH TILDE,12761,4,"2021,2022,2023,2024",5508,7185,22,46
luc,Latn,luc_Latn,Aringa,́,Mn,COMBINING ACUTE ACCENT,12469,4,"2021,2022,2023,2024",5124,7293,23,29
luc,Latn,luc_Latn,Aringa,ị,Ll,LATIN SMALL LETTER I WITH DOT BELOW,12148,4,"2021,2022,2023,2024",5355,6730,28,35
luc,Latn,luc_Latn,Aringa,í,Ll,LATIN SMALL LETTER I WITH ACUTE,11763,4,"2021,2022,2023,2024",4822,6861,24,56
luc,Latn,luc_Latn,Aringa,a,Ll,LATIN SMALL LETTER A,10307,4,"2021,2022,2023,2024",4393,5844,22,48
luc,Latn,luc_Latn,Aringa,l,Ll,LATIN SMALL LETTER L,9772,4,"2021,2022,2023,2024",3773,5929,22,48
luc,Latn,luc_Latn,Aringa,b,Ll,LATIN SMALL LETTER B,8786,4,"2021,2022,2023,2024",3517,5220,20,29
luc,Latn,luc_Latn,Aringa,i,Ll,LATIN SMALL LETTER I,8538,4,"2021,2022,2023,2024",3489,5004,12,33
luc,Latn,luc_Latn,Aringa,m,Ll,LATIN SMALL LETTER M,7841,4,"2021,2022,2023,2024",3155,4650,12,24
luc,Latn,luc_Latn,Aringa,n,Ll,LATIN SMALL LETTER N,7724,4,"2021,2022,2023,2024",3239,4433,17,35
luc,Latn,luc_Latn,Aringa,k,Ll,LATIN SMALL LETTER K,7544,4,"2021,2022,2023,2024",2945,4528,22,49
luc,Latn,luc_Latn,Aringa,̃,Mn,COMBINING TILDE,6953,4,"2021,2022,2023,2024",2766,4148,17,22
luc,Latn,luc_Latn,Aringa,ụ,Ll,LATIN SMALL LETTER U WITH DOT BELOW,6441,4,"2021,2022,2023,2024",2015,4384,21,21
luc,Latn,luc_Latn,Aringa,g,Ll,LATIN SMALL LETTER G,6302,4,"2021,2022,2023,2024",2425,3830,20,27
luc,Latn,luc_Latn,Aringa,s,Ll,LATIN SMALL LETTER S,6053,4,"2021,2022,2023,2024",2682,3320,14,37
luc,Latn,luc_Latn,Aringa,é,Ll,LATIN SMALL LETTER E WITH ACUTE,5979,4,"2021,2022,2023,2024",2205,3739,5,30
luc,Latn,luc_Latn,Aringa,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,5831,4,"2021,2022,2023,2024",2584,3205,16,26
luc,Latn,luc_Latn,Aringa,j,Ll,LATIN SMALL LETTER J,5378,4,"2021,2022,2023,2024",2331,3024,11,12
luc,Latn,luc_Latn,Aringa,u,Ll,LATIN SMALL LETTER U,4689,4,"2021,2022,2023,2024",1997,2667,4,21
luc,Latn,luc_Latn,Aringa,",",Po,COMMA,4155,4,"2021,2022,2023,2024",1566,2568,8,13
luc,Latn,luc_Latn,Aringa,ọ,Ll,LATIN SMALL LETTER O WITH DOT BELOW,4069,4,"2021,2022,2023,2024",1691,2364,4,10
luc,Latn,luc_Latn,Aringa,t,Ll,LATIN SMALL LETTER T,3568,4,"2021,2022,2023,2024",1569,1965,12,22
luc,Latn,luc_Latn,Aringa,z,Ll,LATIN SMALL LETTER Z,3503,4,"2021,2022,2023,2024",1512,1974,7,10
luc,Latn,luc_Latn,Aringa,p,Ll,LATIN SMALL LETTER P,3464,4,"2021,2022,2023,2024",1522,1923,3,16
luc,Latn,luc_Latn,Aringa,.,Po,FULL STOP,2922,4,"2021,2022,2023,2024",1162,1734,8,18
luc,Latn,luc_Latn,Aringa,ũ,Ll,LATIN SMALL LETTER U WITH TILDE,2836,4,"2021,2022,2023,2024",1198,1623,4,11
luc,Latn,luc_Latn,Aringa,ŋ,Ll,LATIN SMALL LETTER ENG,2389,4,"2021,2022,2023,2024",1353,1031,2,3
luc,Latn,luc_Latn,Aringa,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,2338,4,"2021,2022,2023,2024",1020,1307,2,9
