iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
lwg,Latn,lwg_Latn,Wanga,a,Ll,LATIN SMALL LETTER A,28410,7,"2017,2018,2019,2020,2021,2022,2023",14836,1742,149,1514,5258,1988,2923
lwg,Latn,lwg_Latn,Wanga, ,Zs,SPACE,27234,7,"2017,2018,2019,2020,2021,2022,2023",14143,1587,113,1520,4993,1977,2901
lwg,Latn,lwg_Latn,Wanga,i,Ll,LATIN SMALL LETTER I,16900,7,"2017,2018,2019,2020,2021,2022,2023",8219,1066,88,952,3135,1465,1975
lwg,Latn,lwg_Latn,Wanga,n,Ll,LATIN SMALL LETTER N,12968,7,"2017,2018,2019,2020,2021,2022,2023",6741,876,50,737,2121,973,1470
lwg,Latn,lwg_Latn,Wanga,u,Ll,LATIN SMALL LETTER U,12689,7,"2017,2018,2019,2020,2021,2022,2023",6404,923,76,752,2228,899,1407
lwg,Latn,lwg_Latn,Wanga,e,Ll,LATIN SMALL LETTER E,11776,7,"2017,2018,2019,2020,2021,2022,2023",5842,654,29,722,2217,878,1434
lwg,Latn,lwg_Latn,Wanga,l,Ll,LATIN SMALL LETTER L,10443,7,"2017,2018,2019,2020,2021,2022,2023",5683,466,64,524,1874,792,1040
lwg,Latn,lwg_Latn,Wanga,o,Ll,LATIN SMALL LETTER O,10314,7,"2017,2018,2019,2020,2021,2022,2023",4913,643,36,576,2006,767,1373
lwg,Latn,lwg_Latn,Wanga,k,Ll,LATIN SMALL LETTER K,8504,7,"2017,2018,2019,2020,2021,2022,2023",4149,566,53,617,1656,565,898
lwg,Latn,lwg_Latn,Wanga,h,Ll,LATIN SMALL LETTER H,8459,7,"2017,2018,2019,2020,2021,2022,2023",3950,700,54,489,1554,681,1031
lwg,Latn,lwg_Latn,Wanga,s,Ll,LATIN SMALL LETTER S,7935,7,"2017,2018,2019,2020,2021,2022,2023",3885,563,37,389,1348,743,970
lwg,Latn,lwg_Latn,Wanga,b,Ll,LATIN SMALL LETTER B,7794,7,"2017,2018,2019,2020,2021,2022,2023",4330,471,31,381,1253,511,817
lwg,Latn,lwg_Latn,Wanga,m,Ll,LATIN SMALL LETTER M,7291,7,"2017,2018,2019,2020,2021,2022,2023",3884,385,36,456,1294,527,709
lwg,Latn,lwg_Latn,Wanga,w,Ll,LATIN SMALL LETTER W,5192,7,"2017,2018,2019,2020,2021,2022,2023",2733,146,10,317,1133,282,571
lwg,Latn,lwg_Latn,Wanga,y,Ll,LATIN SMALL LETTER Y,5056,7,"2017,2018,2019,2020,2021,2022,2023",2674,380,22,241,749,444,546
lwg,Latn,lwg_Latn,Wanga,t,Ll,LATIN SMALL LETTER T,3637,7,"2017,2018,2019,2020,2021,2022,2023",1661,241,26,219,580,344,566
lwg,Latn,lwg_Latn,Wanga,r,Ll,LATIN SMALL LETTER R,3256,7,"2017,2018,2019,2020,2021,2022,2023",1214,161,25,287,743,195,631
lwg,Latn,lwg_Latn,Wanga,",",Po,COMMA,2815,7,"2017,2018,2019,2020,2021,2022,2023",1915,160,3,45,287,172,233
lwg,Latn,lwg_Latn,Wanga,d,Ll,LATIN SMALL LETTER D,2582,7,"2017,2018,2019,2020,2021,2022,2023",1166,223,6,157,474,208,348
lwg,Latn,lwg_Latn,Wanga,g,Ll,LATIN SMALL LETTER G,2232,7,"2017,2018,2019,2020,2021,2022,2023",1163,119,7,145,374,120,304
lwg,Latn,lwg_Latn,Wanga,.,Po,FULL STOP,2180,7,"2017,2018,2019,2020,2021,2022,2023",904,149,10,100,383,228,406
lwg,Latn,lwg_Latn,Wanga,f,Ll,LATIN SMALL LETTER F,862,7,"2017,2018,2019,2020,2021,2022,2023",272,117,2,84,176,53,158
lwg,Latn,lwg_Latn,Wanga,c,Ll,LATIN SMALL LETTER C,844,7,"2017,2018,2019,2020,2021,2022,2023",165,36,11,112,252,62,206
lwg,Latn,lwg_Latn,Wanga,N,Lu,LATIN CAPITAL LETTER N,776,7,"2017,2018,2019,2020,2021,2022,2023",437,30,8,12,55,126,108
