iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2015_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2024_frequency
mav,Latn,mav_Latn,Sateré-Mawé, ,Zs,SPACE,111365,8,"2014,2015,2017,2018,2019,2020,2021,2024",2453,443,178,935,49956,2482,30898,24020
mav,Latn,mav_Latn,Sateré-Mawé,a,Ll,LATIN SMALL LETTER A,81043,8,"2014,2015,2017,2018,2019,2020,2021,2024",1621,284,93,601,36048,1698,22886,17812
mav,Latn,mav_Latn,Sateré-Mawé,i,Ll,LATIN SMALL LETTER I,56668,8,"2014,2015,2017,2018,2019,2020,2021,2024",1231,174,58,556,25922,1426,15294,12007
mav,Latn,mav_Latn,Sateré-Mawé,e,Ll,LATIN SMALL LETTER E,51612,8,"2014,2015,2017,2018,2019,2020,2021,2024",1261,214,94,365,23336,1252,14268,10822
mav,Latn,mav_Latn,Sateré-Mawé,t,Ll,LATIN SMALL LETTER T,50633,8,"2014,2015,2017,2018,2019,2020,2021,2024",1178,141,60,365,23052,1181,13713,10943
mav,Latn,mav_Latn,Sateré-Mawé,u,Ll,LATIN SMALL LETTER U,35457,8,"2014,2015,2017,2018,2019,2020,2021,2024",722,100,50,222,16373,782,10040,7168
mav,Latn,mav_Latn,Sateré-Mawé,o,Ll,LATIN SMALL LETTER O,33126,8,"2014,2015,2017,2018,2019,2020,2021,2024",704,211,66,242,15176,727,8974,7026
mav,Latn,mav_Latn,Sateré-Mawé,p,Ll,LATIN SMALL LETTER P,31354,8,"2014,2015,2017,2018,2019,2020,2021,2024",641,27,27,262,14177,643,8681,6896
mav,Latn,mav_Latn,Sateré-Mawé,',Po,APOSTROPHE,28565,6,"2014,2017,2018,2019,2021,2024",710,0,22,238,13939,0,7000,6656
mav,Latn,mav_Latn,Sateré-Mawé,y,Ll,LATIN SMALL LETTER Y,25067,8,"2014,2015,2017,2018,2019,2020,2021,2024",518,24,16,212,11179,551,6989,5578
mav,Latn,mav_Latn,Sateré-Mawé,w,Ll,LATIN SMALL LETTER W,23722,8,"2014,2015,2017,2018,2019,2020,2021,2024",441,12,11,176,10850,504,6432,5296
mav,Latn,mav_Latn,Sateré-Mawé,h,Ll,LATIN SMALL LETTER H,23281,8,"2014,2015,2017,2018,2019,2020,2021,2024",459,39,23,193,10579,471,6260,5257
mav,Latn,mav_Latn,Sateré-Mawé,n,Ll,LATIN SMALL LETTER N,21674,8,"2014,2015,2017,2018,2019,2020,2021,2024",487,133,26,139,10238,471,6299,3881
mav,Latn,mav_Latn,Sateré-Mawé,k,Ll,LATIN SMALL LETTER K,21262,8,"2014,2015,2017,2018,2019,2020,2021,2024",383,75,9,150,9606,418,5558,5063
mav,Latn,mav_Latn,Sateré-Mawé,r,Ll,LATIN SMALL LETTER R,18440,8,"2014,2015,2017,2018,2019,2020,2021,2024",362,121,40,192,7762,441,5634,3888
mav,Latn,mav_Latn,Sateré-Mawé,m,Ll,LATIN SMALL LETTER M,14350,8,"2014,2015,2017,2018,2019,2020,2021,2024",307,70,28,133,6696,387,3705,3024
mav,Latn,mav_Latn,Sateré-Mawé,s,Ll,LATIN SMALL LETTER S,8757,8,"2014,2015,2017,2018,2019,2020,2021,2024",271,147,40,61,3763,273,2491,1711
mav,Latn,mav_Latn,Sateré-Mawé,.,Po,FULL STOP,8630,8,"2014,2015,2017,2018,2019,2020,2021,2024",166,6,5,80,3836,194,2472,1871
mav,Latn,mav_Latn,Sateré-Mawé,g,Ll,LATIN SMALL LETTER G,4140,8,"2014,2015,2017,2018,2019,2020,2021,2024",45,23,7,10,1884,40,1189,942
mav,Latn,mav_Latn,Sateré-Mawé,T,Lu,LATIN CAPITAL LETTER T,4021,7,"2014,2017,2018,2019,2020,2021,2024",102,0,2,61,1684,69,1354,749
mav,Latn,mav_Latn,Sateré-Mawé,M,Lu,LATIN CAPITAL LETTER M,3631,8,"2014,2015,2017,2018,2019,2020,2021,2024",174,1,2,102,1401,147,1020,784
mav,Latn,mav_Latn,Sateré-Mawé,ã,Ll,LATIN SMALL LETTER A WITH TILDE,3045,7,"2014,2015,2018,2019,2020,2021,2024",78,4,0,17,1376,70,833,667
mav,Latn,mav_Latn,Sateré-Mawé,I,Lu,LATIN CAPITAL LETTER I,2922,7,"2014,2017,2018,2019,2020,2021,2024",86,0,1,128,1273,126,750,558
mav,Latn,mav_Latn,Sateré-Mawé,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,2552,3,"2019,2020,2021",0,0,0,0,89,679,1784,0
mav,Latn,mav_Latn,Sateré-Mawé,ẽ,Ll,LATIN SMALL LETTER E WITH TILDE,2161,6,"2014,2018,2019,2020,2021,2024",38,0,0,24,1004,47,526,522
mav,Latn,mav_Latn,Sateré-Mawé,A,Lu,LATIN CAPITAL LETTER A,1633,7,"2014,2015,2018,2019,2020,2021,2024",37,2,0,137,661,48,474,274
mav,Latn,mav_Latn,Sateré-Mawé,ĩ,Ll,LATIN SMALL LETTER I WITH TILDE,1439,6,"2014,2018,2019,2020,2021,2024",55,0,0,8,780,13,316,267
mav,Latn,mav_Latn,Sateré-Mawé,1,Nd,DIGIT ONE,1259,7,"2014,2017,2018,2019,2020,2021,2024",23,0,4,18,521,43,374,276
mav,Latn,mav_Latn,Sateré-Mawé,P,Lu,LATIN CAPITAL LETTER P,1217,7,"2014,2015,2018,2019,2020,2021,2024",22,2,0,51,591,41,343,167
