iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
maz,Latn,maz_Latn,Central Mazahua, ,Zs,SPACE,405381,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",289403,21035,159,13420,30753,42931,642,2237,3641,592,568
maz,Latn,maz_Latn,Central Mazahua,a,Ll,LATIN SMALL LETTER A,147828,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",100310,7374,56,4749,13518,18742,314,867,1351,299,248
maz,Latn,maz_Latn,Central Mazahua,i,Ll,LATIN SMALL LETTER I,121180,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",85222,6477,49,4091,9500,13428,212,657,1184,223,137
maz,Latn,maz_Latn,Central Mazahua,e,Ll,LATIN SMALL LETTER E,118532,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",80233,5593,57,3795,11051,15445,305,585,1011,165,292
maz,Latn,maz_Latn,Central Mazahua,j,Ll,LATIN SMALL LETTER J,115894,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",82448,6367,30,3892,8883,12084,192,512,1096,233,157
maz,Latn,maz_Latn,Central Mazahua,o,Ll,LATIN SMALL LETTER O,101467,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",67981,4806,38,3299,9658,13773,174,486,905,179,168
maz,Latn,maz_Latn,Central Mazahua,n,Ll,LATIN SMALL LETTER N,84338,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",59694,4341,13,2786,6496,9169,195,436,841,182,185
maz,Latn,maz_Latn,Central Mazahua,c,Ll,LATIN SMALL LETTER C,79696,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",68071,4966,30,3300,772,1053,69,518,825,31,61
maz,Latn,maz_Latn,Central Mazahua,',Po,APOSTROPHE,79081,9,"2013,2014,2016,2017,2018,2021,2022,2023,2024",69663,4926,27,3094,21,0,0,531,806,12,1
maz,Latn,maz_Latn,Central Mazahua,u,Ll,LATIN SMALL LETTER U,67639,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",45376,3402,20,2120,6572,8793,128,328,664,95,141
