iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
mbb,Latn,mbb_Latn,Western Bukidnon Manobo, ,Zs,SPACE,482238,6,"2018,2019,2020,2021,2022,2023",206242,33190,557,167119,70625,4505
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,e,Ll,LATIN SMALL LETTER E,392981,6,"2018,2019,2020,2021,2022,2023",164960,27154,444,139810,56338,4275
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,n,Ll,LATIN SMALL LETTER N,239361,6,"2018,2019,2020,2021,2022,2023",102362,15633,254,83819,34903,2390
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,a,Ll,LATIN SMALL LETTER A,213468,6,"2018,2019,2020,2021,2022,2023",87133,14226,265,77695,32234,1915
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,i,Ll,LATIN SMALL LETTER I,194726,6,"2018,2019,2020,2021,2022,2023",83020,12830,244,67532,29294,1806
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,u,Ll,LATIN SMALL LETTER U,130962,6,"2018,2019,2020,2021,2022,2023",61902,8077,133,42412,17330,1108
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,t,Ll,LATIN SMALL LETTER T,110106,6,"2018,2019,2020,2021,2022,2023",46633,7238,135,39097,15977,1026
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,s,Ll,LATIN SMALL LETTER S,90729,6,"2018,2019,2020,2021,2022,2023",43464,5521,116,28544,12311,773
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,k,Ll,LATIN SMALL LETTER K,88206,6,"2018,2019,2020,2021,2022,2023",37927,6015,105,30397,12845,917
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,d,Ll,LATIN SMALL LETTER D,85786,6,"2018,2019,2020,2021,2022,2023",37412,5649,89,29050,12813,773
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,g,Ll,LATIN SMALL LETTER G,80946,6,"2018,2019,2020,2021,2022,2023",36238,5520,105,27396,10680,1007
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,m,Ll,LATIN SMALL LETTER M,79730,6,"2018,2019,2020,2021,2022,2023",32201,5533,87,29298,11868,743
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,h,Ll,LATIN SMALL LETTER H,69827,6,"2018,2019,2020,2021,2022,2023",27522,5016,66,25825,10761,637
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,y,Ll,LATIN SMALL LETTER Y,57045,6,"2018,2019,2020,2021,2022,2023",24089,3963,63,20152,8167,611
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,l,Ll,LATIN SMALL LETTER L,46108,6,"2018,2019,2020,2021,2022,2023",18355,3079,58,17063,7087,466
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,z,Ll,LATIN SMALL LETTER Z,40664,6,"2018,2019,2020,2021,2022,2023",18046,2700,40,13937,5536,405
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,w,Ll,LATIN SMALL LETTER W,39631,6,"2018,2019,2020,2021,2022,2023",17922,2685,49,13048,5389,538
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,p,Ll,LATIN SMALL LETTER P,38837,6,"2018,2019,2020,2021,2022,2023",15006,2581,65,14805,5931,449
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,b,Ll,LATIN SMALL LETTER B,33989,6,"2018,2019,2020,2021,2022,2023",13564,2360,59,12148,5436,422
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,à,Ll,LATIN SMALL LETTER A WITH GRAVE,29325,6,"2018,2019,2020,2021,2022,2023",14021,1979,26,9105,3926,268
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,",",Po,COMMA,25905,6,"2018,2019,2020,2021,2022,2023",10996,1617,24,9476,3583,209
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,.,Po,FULL STOP,23329,6,"2018,2019,2020,2021,2022,2023",8926,1678,31,8736,3690,268
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,r,Ll,LATIN SMALL LETTER R,23074,6,"2018,2019,2020,2021,2022,2023",7125,1798,26,9679,4149,297
mbb,Latn,mbb_Latn,Western Bukidnon Manobo,v,Ll,LATIN SMALL LETTER V,21854,6,"2018,2019,2020,2021,2022,2023",9080,1423,28,7818,3280,225
