iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
mbf,Latn,mbf_Latn,Baba Malay, ,Zs,SPACE,39334,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",8696,245,582,16757,2409,2130,2575,2291,1944,1705
mbf,Latn,mbf_Latn,Baba Malay,a,Ll,LATIN SMALL LETTER A,33923,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",11557,265,307,10863,1413,1002,3348,2690,2145,333
mbf,Latn,mbf_Latn,Baba Malay,n,Ll,LATIN SMALL LETTER N,16236,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",4719,124,288,4931,592,1287,1235,1146,892,1022
mbf,Latn,mbf_Latn,Baba Malay,i,Ll,LATIN SMALL LETTER I,10705,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",3134,92,212,4135,456,172,981,652,686,185
mbf,Latn,mbf_Latn,Baba Malay,k,Ll,LATIN SMALL LETTER K,9852,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",2302,72,145,4145,604,474,728,559,476,347
mbf,Latn,mbf_Latn,Baba Malay,t,Ll,LATIN SMALL LETTER T,9318,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",2024,80,165,3641,521,686,692,538,470,501
mbf,Latn,mbf_Latn,Baba Malay,u,Ll,LATIN SMALL LETTER U,9238,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",2585,53,157,3056,492,597,755,651,491,401
mbf,Latn,mbf_Latn,Baba Malay,d,Ll,LATIN SMALL LETTER D,8546,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",2715,44,140,2553,307,431,716,662,585,393
mbf,Latn,mbf_Latn,Baba Malay,s,Ll,LATIN SMALL LETTER S,7543,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",2223,63,226,2800,346,209,656,529,400,91
mbf,Latn,mbf_Latn,Baba Malay,r,Ll,LATIN SMALL LETTER R,7100,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",1946,70,141,2381,238,510,500,465,391,458
mbf,Latn,mbf_Latn,Baba Malay,g,Ll,LATIN SMALL LETTER G,7059,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",1761,51,100,2603,316,524,487,479,391,347
mbf,Latn,mbf_Latn,Baba Malay,m,Ll,LATIN SMALL LETTER M,6933,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",1570,60,140,2781,338,480,449,420,308,387
mbf,Latn,mbf_Latn,Baba Malay,l,Ll,LATIN SMALL LETTER L,6702,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",1611,50,107,2632,297,480,454,406,354,311
mbf,Latn,mbf_Latn,Baba Malay,h,Ll,LATIN SMALL LETTER H,6406,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",1973,53,81,2194,371,262,514,484,325,149
mbf,Latn,mbf_Latn,Baba Malay,e,Ll,LATIN SMALL LETTER E,5030,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",1158,26,34,2186,297,378,307,262,245,137
mbf,Latn,mbf_Latn,Baba Malay,p,Ll,LATIN SMALL LETTER P,5003,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",1458,44,85,1956,287,123,422,376,204,48
mbf,Latn,mbf_Latn,Baba Malay,b,Ll,LATIN SMALL LETTER B,4751,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",1134,47,92,1795,256,368,285,316,266,192
mbf,Latn,mbf_Latn,Baba Malay,y,Ll,LATIN SMALL LETTER Y,4005,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",1228,31,60,1401,230,110,345,342,223,35
mbf,Latn,mbf_Latn,Baba Malay,а,Ll,CYRILLIC SMALL LETTER A,3629,5,"2017,2019,2021,2022,2023",0,0,0,152,0,1597,0,319,267,1294
mbf,Latn,mbf_Latn,Baba Malay,o,Ll,LATIN SMALL LETTER O,3034,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",882,22,95,1081,181,53,253,208,178,81
mbf,Latn,mbf_Latn,Baba Malay,|,Sm,VERTICAL LINE,2772,6,"2013,2017,2018,2020,2021,2022",1680,0,0,8,2,0,480,350,252,0
mbf,Latn,mbf_Latn,Baba Malay,.,Po,FULL STOP,2626,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",234,1,34,1636,266,82,89,64,96,124
