iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency
mcd,Latn,mcd_Latn,Sharanahua, ,Zs,SPACE,147598,5,"2014,2017,2018,2019,2020",2623,480,33898,106936,3661
mcd,Latn,mcd_Latn,Sharanahua,n,Ll,LATIN SMALL LETTER N,133566,5,"2014,2017,2018,2019,2020",2564,605,31667,95504,3226
mcd,Latn,mcd_Latn,Sharanahua,a,Ll,LATIN SMALL LETTER A,120959,5,"2014,2017,2018,2019,2020",2646,681,5519,107735,4378
mcd,Latn,mcd_Latn,Sharanahua,i,Ll,LATIN SMALL LETTER I,97579,5,"2014,2017,2018,2019,2020",2183,549,9261,82539,3047
mcd,Latn,mcd_Latn,Sharanahua,o,Ll,LATIN SMALL LETTER O,90013,5,"2014,2017,2018,2019,2020",1729,419,19820,65793,2252
mcd,Latn,mcd_Latn,Sharanahua,u,Ll,LATIN SMALL LETTER U,64307,5,"2014,2017,2018,2019,2020",1370,272,6111,54561,1993
mcd,Latn,mcd_Latn,Sharanahua,s,Ll,LATIN SMALL LETTER S,48949,5,"2014,2017,2018,2019,2020",1075,189,4950,41051,1684
mcd,Latn,mcd_Latn,Sharanahua,c,Ll,LATIN SMALL LETTER C,38215,5,"2014,2017,2018,2019,2020",806,168,2048,33644,1549
mcd,Latn,mcd_Latn,Sharanahua,h,Ll,LATIN SMALL LETTER H,31770,5,"2014,2017,2018,2019,2020",692,185,728,28913,1252
mcd,Latn,mcd_Latn,Sharanahua,t,Ll,LATIN SMALL LETTER T,29600,5,"2014,2017,2018,2019,2020",594,194,4641,23290,881
mcd,Latn,mcd_Latn,Sharanahua,f,Ll,LATIN SMALL LETTER F,27490,5,"2014,2017,2018,2019,2020",642,222,503,25154,969
mcd,Latn,mcd_Latn,Sharanahua,m,Ll,LATIN SMALL LETTER M,25130,5,"2014,2017,2018,2019,2020",487,102,3463,20243,835
mcd,Latn,mcd_Latn,Sharanahua,r,Ll,LATIN SMALL LETTER R,24750,5,"2014,2017,2018,2019,2020",440,189,5140,18311,670
mcd,Latn,mcd_Latn,Sharanahua,e,Ll,LATIN SMALL LETTER E,17145,4,"2014,2018,2019,2020",179,0,9245,7611,110
mcd,Latn,mcd_Latn,Sharanahua,.,Po,FULL STOP,12327,5,"2014,2017,2018,2019,2020",342,88,481,10988,428
mcd,Latn,mcd_Latn,Sharanahua,p,Ll,LATIN SMALL LETTER P,10546,5,"2014,2017,2018,2019,2020",201,36,1839,8104,366
mcd,Latn,mcd_Latn,Sharanahua,y,Ll,LATIN SMALL LETTER Y,10055,5,"2014,2017,2018,2019,2020",254,66,200,9203,332
mcd,Latn,mcd_Latn,Sharanahua,q,Ll,LATIN SMALL LETTER Q,7624,5,"2014,2017,2018,2019,2020",210,51,173,6925,265
mcd,Latn,mcd_Latn,Sharanahua,",",Po,COMMA,6845,5,"2014,2017,2018,2019,2020",136,14,2034,4564,97
mcd,Latn,mcd_Latn,Sharanahua,A,Lu,LATIN CAPITAL LETTER A,6714,5,"2014,2017,2018,2019,2020",144,26,773,5550,221
mcd,Latn,mcd_Latn,Sharanahua,l,Ll,LATIN SMALL LETTER L,5125,5,"2014,2017,2018,2019,2020",47,1,3068,1992,17
mcd,Latn,mcd_Latn,Sharanahua,N,Lu,LATIN CAPITAL LETTER N,3979,5,"2014,2017,2018,2019,2020",96,37,587,3169,90
mcd,Latn,mcd_Latn,Sharanahua,1,Nd,DIGIT ONE,3849,4,"2014,2018,2019,2020",76,0,1618,2092,63
mcd,Latn,mcd_Latn,Sharanahua,d,Ll,LATIN SMALL LETTER D,3845,4,"2014,2018,2019,2020",19,0,2095,1708,23
mcd,Latn,mcd_Latn,Sharanahua,D,Lu,LATIN CAPITAL LETTER D,3600,4,"2014,2018,2019,2020",92,0,460,2922,126
mcd,Latn,mcd_Latn,Sharanahua,0,Nd,DIGIT ZERO,3515,4,"2014,2018,2019,2020",18,0,2669,819,9
mcd,Latn,mcd_Latn,Sharanahua,—,Pd,EM DASH,3476,3,"2014,2019,2020",142,0,0,3250,84
mcd,Latn,mcd_Latn,Sharanahua,2,Nd,DIGIT TWO,3219,4,"2014,2018,2019,2020",53,0,1236,1899,31
mcd,Latn,mcd_Latn,Sharanahua,J,Lu,LATIN CAPITAL LETTER J,2942,4,"2014,2018,2019,2020",122,0,27,2721,72
mcd,Latn,mcd_Latn,Sharanahua,U,Lu,LATIN CAPITAL LETTER U,2661,5,"2014,2017,2018,2019,2020",59,2,383,2148,69
mcd,Latn,mcd_Latn,Sharanahua,M,Lu,LATIN CAPITAL LETTER M,2118,5,"2014,2017,2018,2019,2020",47,9,328,1667,67
mcd,Latn,mcd_Latn,Sharanahua,3,Nd,DIGIT THREE,2057,4,"2014,2018,2019,2020",39,0,700,1305,13
mcd,Latn,mcd_Latn,Sharanahua,I,Lu,LATIN CAPITAL LETTER I,2054,4,"2014,2018,2019,2020",29,0,722,1266,37
mcd,Latn,mcd_Latn,Sharanahua,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,1942,4,"2014,2017,2019,2020",75,1,0,1831,35
mcd,Latn,mcd_Latn,Sharanahua,g,Ll,LATIN SMALL LETTER G,1884,4,"2014,2018,2019,2020",6,0,1119,753,6
mcd,Latn,mcd_Latn,Sharanahua,E,Lu,LATIN CAPITAL LETTER E,1811,4,"2014,2018,2019,2020",9,0,1179,617,6
mcd,Latn,mcd_Latn,Sharanahua,S,Lu,LATIN CAPITAL LETTER S,1730,5,"2014,2017,2018,2019,2020",13,1,818,890,8
mcd,Latn,mcd_Latn,Sharanahua,4,Nd,DIGIT FOUR,1677,4,"2014,2018,2019,2020",37,0,638,990,12
mcd,Latn,mcd_Latn,Sharanahua,é,Ll,LATIN SMALL LETTER E WITH ACUTE,1648,4,"2014,2018,2019,2020",23,0,906,702,17
mcd,Latn,mcd_Latn,Sharanahua,b,Ll,LATIN SMALL LETTER B,1620,4,"2014,2018,2019,2020",1,0,1005,613,1
mcd,Latn,mcd_Latn,Sharanahua,6,Nd,DIGIT SIX,1465,4,"2014,2018,2019,2020",18,0,671,766,10
mcd,Latn,mcd_Latn,Sharanahua,5,Nd,DIGIT FIVE,1375,4,"2014,2018,2019,2020",22,0,578,763,12
mcd,Latn,mcd_Latn,Sharanahua,>,Sm,GREATER-THAN SIGN,1351,2,"2018,2019",0,0,928,423,0
