iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
mco,Latn,mco_Latn,Coatlán Mixe, ,Zs,SPACE,368242,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",1288,2063,13842,7855,29307,206981,8872,96932,1102
mco,Latn,mco_Latn,Coatlán Mixe,y,Ll,LATIN SMALL LETTER Y,193886,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",682,1017,4450,3926,15522,112173,2928,52508,680
mco,Latn,mco_Latn,Coatlán Mixe,a,Ll,LATIN SMALL LETTER A,176626,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",780,1102,7535,3393,14711,92304,4014,52127,660
mco,Latn,mco_Latn,Coatlán Mixe,t,Ll,LATIN SMALL LETTER T,149581,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",374,500,4541,3214,7636,104213,3997,24578,528
mco,Latn,mco_Latn,Coatlán Mixe,ë,Ll,LATIN SMALL LETTER E WITH DIAERESIS,148801,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",161,25,2263,3934,581,137421,2185,1521,710
mco,Latn,mco_Latn,Coatlán Mixe,j,Ll,LATIN SMALL LETTER J,136052,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",364,820,3707,2400,11994,71989,3206,40998,574
mco,Latn,mco_Latn,Coatlán Mixe,n,Ll,LATIN SMALL LETTER N,117033,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",382,542,4720,2498,7942,71320,2581,26675,373
mco,Latn,mco_Latn,Coatlán Mixe,i,Ll,LATIN SMALL LETTER I,97820,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",438,574,3965,2940,7397,56932,1517,23947,110
mco,Latn,mco_Latn,Coatlán Mixe,m,Ll,LATIN SMALL LETTER M,94570,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",280,418,2511,1765,7077,57618,1728,22927,246
mco,Latn,mco_Latn,Coatlán Mixe,u,Ll,LATIN SMALL LETTER U,80196,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",311,384,3387,1437,6309,44697,2092,21262,317
mco,Latn,mco_Latn,Coatlán Mixe,o,Ll,LATIN SMALL LETTER O,79504,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",285,386,3254,1894,6313,44678,2128,20431,135
mco,Latn,mco_Latn,Coatlán Mixe,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,78114,5,"2013,2014,2017,2019,2022",292,953,2404,0,17709,0,0,56756,0
mco,Latn,mco_Latn,Coatlán Mixe,ˈ,Lm,MODIFIER LETTER VERTICAL LINE,67816,4,"2017,2018,2019,2020",0,0,423,1860,133,65400,0,0,0
mco,Latn,mco_Latn,Coatlán Mixe,ä,Ll,LATIN SMALL LETTER A WITH DIAERESIS,66060,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",138,116,1411,1410,1323,55135,1786,4369,372
mco,Latn,mco_Latn,Coatlán Mixe,k,Ll,LATIN SMALL LETTER K,64429,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",99,19,1914,1568,134,57372,2408,486,429
mco,Latn,mco_Latn,Coatlán Mixe,d,Ll,LATIN SMALL LETTER D,61234,9,"2013,2014,2017,2018,2019,2020,2021,2022,2023",230,335,2274,1270,5367,32139,797,18742,80
