iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
mcq,Latn,mcq_Latn,Ese,a,Ll,LATIN SMALL LETTER A,347505,7,"2017,2018,2019,2020,2021,2022,2023",478,211819,68837,12905,3298,1595,48573
mcq,Latn,mcq_Latn,Ese, ,Zs,SPACE,319999,7,"2017,2018,2019,2020,2021,2022,2023",481,205493,58605,10572,2461,1358,41029
mcq,Latn,mcq_Latn,Ese,i,Ll,LATIN SMALL LETTER I,181746,7,"2017,2018,2019,2020,2021,2022,2023",333,111190,35370,6656,1518,822,25857
mcq,Latn,mcq_Latn,Ese,e,Ll,LATIN SMALL LETTER E,146673,7,"2017,2018,2019,2020,2021,2022,2023",193,96997,24716,4550,1052,600,18565
mcq,Latn,mcq_Latn,Ese,n,Ll,LATIN SMALL LETTER N,139155,7,"2017,2018,2019,2020,2021,2022,2023",232,87073,25760,5037,1145,596,19312
mcq,Latn,mcq_Latn,Ese,u,Ll,LATIN SMALL LETTER U,95765,7,"2017,2018,2019,2020,2021,2022,2023",115,57409,19798,3420,760,451,13812
mcq,Latn,mcq_Latn,Ese,r,Ll,LATIN SMALL LETTER R,92327,7,"2017,2018,2019,2020,2021,2022,2023",117,60939,15703,3026,668,353,11521
mcq,Latn,mcq_Latn,Ese,o,Ll,LATIN SMALL LETTER O,91106,7,"2017,2018,2019,2020,2021,2022,2023",251,59289,15627,3062,682,318,11877
mcq,Latn,mcq_Latn,Ese,h,Ll,LATIN SMALL LETTER H,88301,7,"2017,2018,2019,2020,2021,2022,2023",151,56249,15776,3129,680,392,11924
mcq,Latn,mcq_Latn,Ese,j,Ll,LATIN SMALL LETTER J,77177,7,"2017,2018,2019,2020,2021,2022,2023",85,45526,15932,3151,728,392,11363
mcq,Latn,mcq_Latn,Ese,',Po,APOSTROPHE,65432,3,"2018,2019,2021",0,63935,470,0,1027,0,0
mcq,Latn,mcq_Latn,Ese,m,Ll,LATIN SMALL LETTER M,64708,7,"2017,2018,2019,2020,2021,2022,2023",113,40001,12836,2181,537,220,8820
mcq,Latn,mcq_Latn,Ese,v,Ll,LATIN SMALL LETTER V,43329,7,"2017,2018,2019,2020,2021,2022,2023",43,26737,8379,1624,416,219,5911
mcq,Latn,mcq_Latn,Ese,k,Ll,LATIN SMALL LETTER K,43067,7,"2017,2018,2019,2020,2021,2022,2023",59,26367,8183,1557,420,201,6280
mcq,Latn,mcq_Latn,Ese,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,40581,5,"2017,2019,2020,2022,2023",125,0,20321,3726,0,498,15911
