iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2021_frequency,year_2023_frequency
mek,Latn,mek_Latn,Mekeo,a,Ll,LATIN SMALL LETTER A,318628,4,"2017,2018,2021,2023",4766,270637,552,42673
mek,Latn,mek_Latn,Mekeo, ,Zs,SPACE,257507,4,"2017,2018,2021,2023",3328,221901,416,31862
mek,Latn,mek_Latn,Mekeo,i,Ll,LATIN SMALL LETTER I,163359,4,"2017,2018,2021,2023",2125,138966,304,21964
mek,Latn,mek_Latn,Mekeo,e,Ll,LATIN SMALL LETTER E,114360,4,"2017,2018,2021,2023",1161,100092,215,12892
mek,Latn,mek_Latn,Mekeo,o,Ll,LATIN SMALL LETTER O,97332,4,"2017,2018,2021,2023",1276,83385,160,12511
mek,Latn,mek_Latn,Mekeo,u,Ll,LATIN SMALL LETTER U,66128,4,"2017,2018,2021,2023",855,56265,93,8915
mek,Latn,mek_Latn,Mekeo,g,Ll,LATIN SMALL LETTER G,65740,4,"2017,2018,2021,2023",1038,55326,103,9273
mek,Latn,mek_Latn,Mekeo,k,Ll,LATIN SMALL LETTER K,53249,4,"2017,2018,2021,2023",537,45498,112,7102
mek,Latn,mek_Latn,Mekeo,p,Ll,LATIN SMALL LETTER P,51253,4,"2017,2018,2021,2023",564,44091,87,6511
mek,Latn,mek_Latn,Mekeo,n,Ll,LATIN SMALL LETTER N,49145,4,"2017,2018,2021,2023",569,43226,68,5282
mek,Latn,mek_Latn,Mekeo,m,Ll,LATIN SMALL LETTER M,46969,4,"2017,2018,2021,2023",551,40172,89,6157
mek,Latn,mek_Latn,Mekeo,',Po,APOSTROPHE,45163,3,"2017,2018,2023",791,44306,0,66
mek,Latn,mek_Latn,Mekeo,f,Ll,LATIN SMALL LETTER F,39419,4,"2017,2018,2021,2023",437,33487,70,5425
mek,Latn,mek_Latn,Mekeo,l,Ll,LATIN SMALL LETTER L,38342,4,"2017,2018,2021,2023",469,32999,48,4826
mek,Latn,mek_Latn,Mekeo,s,Ll,LATIN SMALL LETTER S,36208,4,"2017,2018,2021,2023",371,32663,51,3123
mek,Latn,mek_Latn,Mekeo,",",Po,COMMA,18956,4,"2017,2018,2021,2023",255,16303,36,2362
mek,Latn,mek_Latn,Mekeo,r,Ll,LATIN SMALL LETTER R,16746,4,"2017,2018,2021,2023",38,16061,7,640
mek,Latn,mek_Latn,Mekeo,t,Ll,LATIN SMALL LETTER T,16023,4,"2017,2018,2021,2023",58,15164,10,791
mek,Latn,mek_Latn,Mekeo,.,Po,FULL STOP,15967,4,"2017,2018,2021,2023",236,13785,24,1922
mek,Latn,mek_Latn,Mekeo,K,Lu,LATIN CAPITAL LETTER K,9937,4,"2017,2018,2021,2023",163,8362,19,1393
mek,Latn,mek_Latn,Mekeo,h,Ll,LATIN SMALL LETTER H,9120,3,"2017,2018,2023",2,9089,0,29
mek,Latn,mek_Latn,Mekeo,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,7082,2,"2021,2023",0,0,73,7009
mek,Latn,mek_Latn,Mekeo,I,Lu,LATIN CAPITAL LETTER I,7029,4,"2017,2018,2021,2023",93,5997,11,928
mek,Latn,mek_Latn,Mekeo,d,Ll,LATIN SMALL LETTER D,6340,3,"2017,2018,2023",1,6205,0,134
mek,Latn,mek_Latn,Mekeo,D,Lu,LATIN CAPITAL LETTER D,6062,4,"2017,2018,2021,2023",169,4943,17,933
mek,Latn,mek_Latn,Mekeo,E,Lu,LATIN CAPITAL LETTER E,6017,4,"2017,2018,2021,2023",36,5454,1,526
mek,Latn,mek_Latn,Mekeo,1,Nd,DIGIT ONE,4505,4,"2017,2018,2021,2023",62,3859,5,579
mek,Latn,mek_Latn,Mekeo,c,Ll,LATIN SMALL LETTER C,4047,2,"2018,2023",0,4040,0,7
mek,Latn,mek_Latn,Mekeo,b,Ll,LATIN SMALL LETTER B,3929,3,"2017,2018,2023",4,3853,0,72
mek,Latn,mek_Latn,Mekeo,S,Lu,LATIN CAPITAL LETTER S,3020,4,"2017,2018,2021,2023",21,2859,1,139
mek,Latn,mek_Latn,Mekeo,T,Lu,LATIN CAPITAL LETTER T,2791,3,"2018,2021,2023",0,2734,2,55
mek,Latn,mek_Latn,Mekeo,2,Nd,DIGIT TWO,2669,4,"2017,2018,2021,2023",31,2291,2,345
mek,Latn,mek_Latn,Mekeo,w,Ll,LATIN SMALL LETTER W,2535,2,"2017,2018",3,2532,0,0
mek,Latn,mek_Latn,Mekeo,V,Lu,LATIN CAPITAL LETTER V,2525,1,2018,0,2525,0,0
mek,Latn,mek_Latn,Mekeo,A,Lu,LATIN CAPITAL LETTER A,2242,4,"2017,2018,2021,2023",20,1941,4,277
mek,Latn,mek_Latn,Mekeo,v,Ll,LATIN SMALL LETTER V,2226,2,"2018,2023",0,2205,0,21
