iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2022_frequency,year_2023_frequency
men,Latn,men_Latn,Mende (Sierra Leone), ,Zs,SPACE,381443,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",226097,9854,2010,28138,8764,67820,72,37982,706
men,Latn,men_Latn,Mende (Sierra Leone),a,Ll,LATIN SMALL LETTER A,213431,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",128503,5704,1141,14489,5178,35614,42,22305,455
men,Latn,men_Latn,Mende (Sierra Leone),i,Ll,LATIN SMALL LETTER I,197620,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",119201,5203,961,14326,4032,33005,31,20434,427
men,Latn,men_Latn,Mende (Sierra Leone),n,Ll,LATIN SMALL LETTER N,99618,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",59406,2679,571,7519,1991,17174,24,10034,220
men,Latn,men_Latn,Mende (Sierra Leone),e,Ll,LATIN SMALL LETTER E,83726,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",51385,2283,462,5896,1757,12929,31,8819,164
men,Latn,men_Latn,Mende (Sierra Leone),l,Ll,LATIN SMALL LETTER L,77533,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",47583,1957,461,5584,1489,12197,12,8063,187
men,Latn,men_Latn,Mende (Sierra Leone),ɛ,Ll,LATIN SMALL LETTER OPEN E,75502,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",46242,1995,465,5733,1381,11805,7,7753,121
men,Latn,men_Latn,Mende (Sierra Leone),g,Ll,LATIN SMALL LETTER G,73638,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",44803,1966,444,5460,1607,11632,11,7590,125
men,Latn,men_Latn,Mende (Sierra Leone),u,Ll,LATIN SMALL LETTER U,73326,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",44134,1955,437,5252,1731,12401,22,7310,84
men,Latn,men_Latn,Mende (Sierra Leone),ɔ,Ll,LATIN SMALL LETTER OPEN O,67021,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",39975,1723,369,4993,1494,11733,4,6613,117
men,Latn,men_Latn,Mende (Sierra Leone),m,Ll,LATIN SMALL LETTER M,56099,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",33440,1480,343,3846,1530,9835,18,5489,118
men,Latn,men_Latn,Mende (Sierra Leone),w,Ll,LATIN SMALL LETTER W,43645,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",28514,1199,252,3054,643,5084,4,4825,70
men,Latn,men_Latn,Mende (Sierra Leone),t,Ll,LATIN SMALL LETTER T,41145,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",24870,1052,185,2616,1088,7136,12,4109,77
men,Latn,men_Latn,Mende (Sierra Leone),y,Ll,LATIN SMALL LETTER Y,40706,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",24400,1097,235,3066,808,7043,6,3960,91
men,Latn,men_Latn,Mende (Sierra Leone),o,Ll,LATIN SMALL LETTER O,39467,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",23597,940,257,2782,891,6940,24,3944,92
men,Latn,men_Latn,Mende (Sierra Leone),b,Ll,LATIN SMALL LETTER B,38267,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",22136,970,174,2551,973,7472,14,3900,77
men,Latn,men_Latn,Mende (Sierra Leone),k,Ll,LATIN SMALL LETTER K,33078,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",19218,816,209,2195,920,6370,17,3293,40
men,Latn,men_Latn,Mende (Sierra Leone),h,Ll,LATIN SMALL LETTER H,29230,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",17024,870,182,1829,743,5462,11,3035,74
men,Latn,men_Latn,Mende (Sierra Leone),s,Ll,LATIN SMALL LETTER S,23320,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",13966,593,120,1445,540,4253,15,2360,28
men,Latn,men_Latn,Mende (Sierra Leone),",",Po,COMMA,21823,8,"2013,2014,2016,2017,2018,2019,2022,2023",13515,633,117,1744,440,2915,0,2406,53
men,Latn,men_Latn,Mende (Sierra Leone),d,Ll,LATIN SMALL LETTER D,17901,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",10490,455,138,1318,342,3380,10,1732,36
men,Latn,men_Latn,Mende (Sierra Leone),p,Ll,LATIN SMALL LETTER P,17221,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",10436,513,97,985,435,2893,6,1839,17
men,Latn,men_Latn,Mende (Sierra Leone),.,Po,FULL STOP,16509,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",9201,445,89,1164,468,3594,1,1515,32
men,Latn,men_Latn,Mende (Sierra Leone),N,Lu,LATIN CAPITAL LETTER N,12673,8,"2013,2014,2016,2017,2018,2019,2022,2023",7723,313,69,887,282,2128,0,1248,23
men,Latn,men_Latn,Mende (Sierra Leone),v,Ll,LATIN SMALL LETTER V,12440,8,"2013,2014,2016,2017,2018,2019,2022,2023",6954,287,62,747,479,2760,0,1131,20
men,Latn,men_Latn,Mende (Sierra Leone),j,Ll,LATIN SMALL LETTER J,11740,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",6820,290,43,938,303,2129,2,1201,14
men,Latn,men_Latn,Mende (Sierra Leone),f,Ll,LATIN SMALL LETTER F,7573,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",4913,181,40,608,89,904,5,821,12
men,Latn,men_Latn,Mende (Sierra Leone),K,Lu,LATIN CAPITAL LETTER K,6710,8,"2013,2014,2016,2017,2018,2019,2022,2023",4096,212,26,550,81,1140,0,595,10
men,Latn,men_Latn,Mende (Sierra Leone),1,Nd,DIGIT ONE,5775,8,"2013,2014,2016,2017,2018,2019,2022,2023",3737,156,31,440,120,673,0,603,15
men,Latn,men_Latn,Mende (Sierra Leone),Y,Lu,LATIN CAPITAL LETTER Y,4871,8,"2013,2014,2016,2017,2018,2019,2022,2023",2876,128,13,434,52,886,0,477,5
men,Latn,men_Latn,Mende (Sierra Leone),2,Nd,DIGIT TWO,4377,8,"2013,2014,2016,2017,2018,2019,2022,2023",2836,131,18,367,73,444,0,500,8
men,Latn,men_Latn,Mende (Sierra Leone),J,Lu,LATIN CAPITAL LETTER J,3970,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",1747,39,13,226,175,1510,1,253,6
men,Latn,men_Latn,Mende (Sierra Leone),“,Pi,LEFT DOUBLE QUOTATION MARK,3553,8,"2013,2014,2016,2017,2018,2019,2022,2023",2215,119,7,425,28,280,0,472,7
men,Latn,men_Latn,Mende (Sierra Leone),I,Lu,LATIN CAPITAL LETTER I,3344,8,"2013,2014,2016,2017,2018,2019,2022,2023",1551,84,8,93,80,1287,0,237,4
men,Latn,men_Latn,Mende (Sierra Leone),A,Lu,LATIN CAPITAL LETTER A,3210,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",1602,89,15,90,44,1102,1,263,4
men,Latn,men_Latn,Mende (Sierra Leone),”,Pf,RIGHT DOUBLE QUOTATION MARK,3166,8,"2013,2014,2016,2017,2018,2019,2022,2023",1960,114,5,396,28,280,0,376,7
men,Latn,men_Latn,Mende (Sierra Leone),3,Nd,DIGIT THREE,2999,8,"2013,2014,2016,2017,2018,2019,2022,2023",1919,98,17,268,53,297,0,345,2
men,Latn,men_Latn,Mende (Sierra Leone),r,Ll,LATIN SMALL LETTER R,2928,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",2053,91,49,187,21,265,7,246,9
men,Latn,men_Latn,Mende (Sierra Leone),M,Lu,LATIN CAPITAL LETTER M,2885,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",1352,64,23,189,85,902,1,250,19
men,Latn,men_Latn,Mende (Sierra Leone),T,Lu,LATIN CAPITAL LETTER T,2541,8,"2013,2014,2016,2017,2018,2019,2022,2023",1369,60,16,151,100,627,0,211,7
men,Latn,men_Latn,Mende (Sierra Leone),S,Lu,LATIN CAPITAL LETTER S,2355,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",1328,74,11,136,77,520,1,204,4
men,Latn,men_Latn,Mende (Sierra Leone),;,Po,SEMICOLON,2298,8,"2013,2014,2016,2017,2018,2019,2022,2023",1565,75,24,280,15,80,0,253,6
men,Latn,men_Latn,Mende (Sierra Leone),B,Lu,LATIN CAPITAL LETTER B,2202,8,"2013,2014,2016,2017,2018,2019,2022,2023",759,40,3,75,77,1117,0,121,10
men,Latn,men_Latn,Mende (Sierra Leone),?,Po,QUESTION MARK,2181,8,"2013,2014,2016,2017,2018,2019,2022,2023",924,53,5,171,129,724,0,169,6
men,Latn,men_Latn,Mende (Sierra Leone),4,Nd,DIGIT FOUR,2149,8,"2013,2014,2016,2017,2018,2019,2022,2023",1369,82,7,201,37,207,0,244,2
men,Latn,men_Latn,Mende (Sierra Leone),G,Lu,LATIN CAPITAL LETTER G,2083,8,"2013,2014,2016,2017,2018,2019,2022,2023",963,55,5,131,78,681,0,169,1
men,Latn,men_Latn,Mende (Sierra Leone),W,Lu,LATIN CAPITAL LETTER W,1837,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",978,60,14,113,52,409,1,208,2
men,Latn,men_Latn,Mende (Sierra Leone),5,Nd,DIGIT FIVE,1718,8,"2013,2014,2016,2017,2018,2019,2022,2023",1074,72,7,154,39,184,0,186,2
men,Latn,men_Latn,Mende (Sierra Leone),H,Lu,LATIN CAPITAL LETTER H,1683,8,"2013,2014,2016,2017,2018,2019,2022,2023",885,31,7,133,39,387,0,199,2
men,Latn,men_Latn,Mende (Sierra Leone),ŋ,Ll,LATIN SMALL LETTER ENG,1569,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",823,33,3,81,26,446,1,153,3
men,Latn,men_Latn,Mende (Sierra Leone),F,Lu,LATIN CAPITAL LETTER F,1513,8,"2013,2014,2016,2017,2018,2019,2022,2023",888,45,12,121,12,272,0,157,6
men,Latn,men_Latn,Mende (Sierra Leone),6,Nd,DIGIT SIX,1445,8,"2013,2014,2016,2017,2018,2019,2022,2023",919,48,7,119,24,159,0,167,2
men,Latn,men_Latn,Mende (Sierra Leone),0,Nd,DIGIT ZERO,1407,8,"2013,2014,2016,2017,2018,2019,2022,2023",805,52,5,102,49,262,0,128,4
men,Latn,men_Latn,Mende (Sierra Leone),P,Lu,LATIN CAPITAL LETTER P,1387,8,"2013,2014,2016,2017,2018,2019,2022,2023",868,20,16,85,28,293,0,75,2
men,Latn,men_Latn,Mende (Sierra Leone),-,Pd,HYPHEN-MINUS,1373,8,"2013,2014,2016,2017,2018,2019,2020,2022",923,32,11,96,20,105,4,182,0
men,Latn,men_Latn,Mende (Sierra Leone),7,Nd,DIGIT SEVEN,1351,8,"2013,2014,2016,2017,2018,2019,2022,2023",866,47,7,110,22,147,0,150,2
men,Latn,men_Latn,Mende (Sierra Leone),:,Po,COLON,1320,8,"2013,2014,2016,2017,2018,2019,2020,2022",248,19,11,23,102,893,7,17,0
men,Latn,men_Latn,Mende (Sierra Leone),L,Lu,LATIN CAPITAL LETTER L,1297,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",673,40,4,54,31,390,1,91,13
men,Latn,men_Latn,Mende (Sierra Leone),8,Nd,DIGIT EIGHT,1256,8,"2013,2014,2016,2017,2018,2019,2022,2023",808,46,7,104,24,123,0,142,2
