iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2017_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency
mfh,Latn,mfh_Latn,Matal,a,Ll,LATIN SMALL LETTER A,41946,6,"2013,2014,2017,2019,2020,2021",506,729,24701,6095,8796,1119
mfh,Latn,mfh_Latn,Matal, ,Zs,SPACE,39377,6,"2013,2014,2017,2019,2020,2021",447,684,23429,5550,8183,1084
mfh,Latn,mfh_Latn,Matal,l,Ll,LATIN SMALL LETTER L,10715,6,"2013,2014,2017,2019,2020,2021",102,206,6224,1572,2281,330
mfh,Latn,mfh_Latn,Matal,à,Ll,LATIN SMALL LETTER A WITH GRAVE,10379,6,"2013,2014,2017,2019,2020,2021",118,198,5932,1539,2298,294
mfh,Latn,mfh_Latn,Matal,k,Ll,LATIN SMALL LETTER K,7636,6,"2013,2014,2017,2019,2020,2021",62,105,4693,1065,1542,169
mfh,Latn,mfh_Latn,Matal,ə,Ll,LATIN SMALL LETTER SCHWA,7133,6,"2013,2014,2017,2019,2020,2021",74,155,4063,1066,1535,240
mfh,Latn,mfh_Latn,Matal,g,Ll,LATIN SMALL LETTER G,6077,6,"2013,2014,2017,2019,2020,2021",40,84,3647,774,1358,174
mfh,Latn,mfh_Latn,Matal,u,Ll,LATIN SMALL LETTER U,6027,6,"2013,2014,2017,2019,2020,2021",88,110,3705,776,1212,136
mfh,Latn,mfh_Latn,Matal,w,Ll,LATIN SMALL LETTER W,5170,6,"2013,2014,2017,2019,2020,2021",40,75,3263,659,1004,129
mfh,Latn,mfh_Latn,Matal,s,Ll,LATIN SMALL LETTER S,4972,6,"2013,2014,2017,2019,2020,2021",76,108,2957,677,1024,130
mfh,Latn,mfh_Latn,Matal,m,Ll,LATIN SMALL LETTER M,4663,6,"2013,2014,2017,2019,2020,2021",71,90,2537,751,1071,143
mfh,Latn,mfh_Latn,Matal,t,Ll,LATIN SMALL LETTER T,4632,6,"2013,2014,2017,2019,2020,2021",37,124,2463,718,1159,131
mfh,Latn,mfh_Latn,Matal,ŋ,Ll,LATIN SMALL LETTER ENG,4470,6,"2013,2014,2017,2019,2020,2021",41,89,2583,654,959,144
mfh,Latn,mfh_Latn,Matal,y,Ll,LATIN SMALL LETTER Y,4028,6,"2013,2014,2017,2019,2020,2021",145,80,2347,567,779,110
mfh,Latn,mfh_Latn,Matal,n,Ll,LATIN SMALL LETTER N,3805,6,"2013,2014,2017,2019,2020,2021",46,67,2250,530,816,96
mfh,Latn,mfh_Latn,Matal,i,Ll,LATIN SMALL LETTER I,3729,6,"2013,2014,2017,2019,2020,2021",73,87,2198,521,700,150
