iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2023_frequency
mgc,Latn,mgc_Latn,Morokodo, ,Zs,SPACE,2433,1,2023,2433
mgc,Latn,mgc_Latn,Morokodo,a,Ll,LATIN SMALL LETTER A,1160,1,2023,1160
mgc,Latn,mgc_Latn,Morokodo,k,Ll,LATIN SMALL LETTER K,576,1,2023,576
mgc,Latn,mgc_Latn,Morokodo,e,Ll,LATIN SMALL LETTER E,575,1,2023,575
mgc,Latn,mgc_Latn,Morokodo,d,Ll,LATIN SMALL LETTER D,555,1,2023,555
mgc,Latn,mgc_Latn,Morokodo,ï,Ll,LATIN SMALL LETTER I WITH DIAERESIS,520,1,2023,520
mgc,Latn,mgc_Latn,Morokodo,',Po,APOSTROPHE,486,1,2023,486
mgc,Latn,mgc_Latn,Morokodo,m,Ll,LATIN SMALL LETTER M,469,1,2023,469
mgc,Latn,mgc_Latn,Morokodo,o,Ll,LATIN SMALL LETTER O,466,1,2023,466
mgc,Latn,mgc_Latn,Morokodo,i,Ll,LATIN SMALL LETTER I,410,1,2023,410
mgc,Latn,mgc_Latn,Morokodo,n,Ll,LATIN SMALL LETTER N,405,1,2023,405
mgc,Latn,mgc_Latn,Morokodo,ë,Ll,LATIN SMALL LETTER E WITH DIAERESIS,382,1,2023,382
mgc,Latn,mgc_Latn,Morokodo,y,Ll,LATIN SMALL LETTER Y,358,1,2023,358
mgc,Latn,mgc_Latn,Morokodo,ɔ,Ll,LATIN SMALL LETTER OPEN O,304,1,2023,304
mgc,Latn,mgc_Latn,Morokodo,u,Ll,LATIN SMALL LETTER U,282,1,2023,282
mgc,Latn,mgc_Latn,Morokodo,b,Ll,LATIN SMALL LETTER B,276,1,2023,276
mgc,Latn,mgc_Latn,Morokodo,r,Ll,LATIN SMALL LETTER R,251,1,2023,251
mgc,Latn,mgc_Latn,Morokodo,z,Ll,LATIN SMALL LETTER Z,208,1,2023,208
mgc,Latn,mgc_Latn,Morokodo,ö,Ll,LATIN SMALL LETTER O WITH DIAERESIS,199,1,2023,199
mgc,Latn,mgc_Latn,Morokodo,t,Ll,LATIN SMALL LETTER T,198,1,2023,198
mgc,Latn,mgc_Latn,Morokodo,",",Po,COMMA,188,1,2023,188
mgc,Latn,mgc_Latn,Morokodo,l,Ll,LATIN SMALL LETTER L,155,1,2023,155
mgc,Latn,mgc_Latn,Morokodo,.,Po,FULL STOP,144,1,2023,144
mgc,Latn,mgc_Latn,Morokodo,h,Ll,LATIN SMALL LETTER H,91,1,2023,91
mgc,Latn,mgc_Latn,Morokodo,w,Ll,LATIN SMALL LETTER W,82,1,2023,82
mgc,Latn,mgc_Latn,Morokodo,v,Ll,LATIN SMALL LETTER V,80,1,2023,80
mgc,Latn,mgc_Latn,Morokodo,g,Ll,LATIN SMALL LETTER G,79,1,2023,79
mgc,Latn,mgc_Latn,Morokodo,s,Ll,LATIN SMALL LETTER S,65,1,2023,65
mgc,Latn,mgc_Latn,Morokodo,1,Nd,DIGIT ONE,53,1,2023,53
mgc,Latn,mgc_Latn,Morokodo,W,Lu,LATIN CAPITAL LETTER W,44,1,2023,44
mgc,Latn,mgc_Latn,Morokodo,p,Ll,LATIN SMALL LETTER P,30,1,2023,30
mgc,Latn,mgc_Latn,Morokodo,M,Lu,LATIN CAPITAL LETTER M,29,1,2023,29
mgc,Latn,mgc_Latn,Morokodo,2,Nd,DIGIT TWO,28,1,2023,28
mgc,Latn,mgc_Latn,Morokodo,j,Ll,LATIN SMALL LETTER J,26,1,2023,26
mgc,Latn,mgc_Latn,Morokodo,K,Lu,LATIN CAPITAL LETTER K,25,1,2023,25
mgc,Latn,mgc_Latn,Morokodo,ŋ,Ll,LATIN SMALL LETTER ENG,25,1,2023,25
mgc,Latn,mgc_Latn,Morokodo,Y,Lu,LATIN CAPITAL LETTER Y,25,1,2023,25
mgc,Latn,mgc_Latn,Morokodo,Ë,Lu,LATIN CAPITAL LETTER E WITH DIAERESIS,18,1,2023,18
mgc,Latn,mgc_Latn,Morokodo,V,Lu,LATIN CAPITAL LETTER V,15,1,2023,15
mgc,Latn,mgc_Latn,Morokodo,Ö,Lu,LATIN CAPITAL LETTER O WITH DIAERESIS,13,1,2023,13
mgc,Latn,mgc_Latn,Morokodo,?,Po,QUESTION MARK,13,1,2023,13
mgc,Latn,mgc_Latn,Morokodo,A,Lu,LATIN CAPITAL LETTER A,13,1,2023,13
mgc,Latn,mgc_Latn,Morokodo,5,Nd,DIGIT FIVE,12,1,2023,12
mgc,Latn,mgc_Latn,Morokodo,O,Lu,LATIN CAPITAL LETTER O,12,1,2023,12
mgc,Latn,mgc_Latn,Morokodo,3,Nd,DIGIT THREE,12,1,2023,12
mgc,Latn,mgc_Latn,Morokodo,6,Nd,DIGIT SIX,11,1,2023,11
mgc,Latn,mgc_Latn,Morokodo,4,Nd,DIGIT FOUR,11,1,2023,11
mgc,Latn,mgc_Latn,Morokodo,”,Pf,RIGHT DOUBLE QUOTATION MARK,11,1,2023,11
mgc,Latn,mgc_Latn,Morokodo,“,Pi,LEFT DOUBLE QUOTATION MARK,11,1,2023,11
mgc,Latn,mgc_Latn,Morokodo,7,Nd,DIGIT SEVEN,10,1,2023,10
mgc,Latn,mgc_Latn,Morokodo,8,Nd,DIGIT EIGHT,9,1,2023,9
mgc,Latn,mgc_Latn,Morokodo,D,Lu,LATIN CAPITAL LETTER D,9,1,2023,9
mgc,Latn,mgc_Latn,Morokodo,H,Lu,LATIN CAPITAL LETTER H,9,1,2023,9
mgc,Latn,mgc_Latn,Morokodo,9,Nd,DIGIT NINE,8,1,2023,8
mgc,Latn,mgc_Latn,Morokodo,0,Nd,DIGIT ZERO,8,1,2023,8
mgc,Latn,mgc_Latn,Morokodo,f,Ll,LATIN SMALL LETTER F,6,1,2023,6
mgc,Latn,mgc_Latn,Morokodo,B,Lu,LATIN CAPITAL LETTER B,5,1,2023,5
mgc,Latn,mgc_Latn,Morokodo,L,Lu,LATIN CAPITAL LETTER L,4,1,2023,4
mgc,Latn,mgc_Latn,Morokodo,Z,Lu,LATIN CAPITAL LETTER Z,3,1,2023,3
mgc,Latn,mgc_Latn,Morokodo,S,Lu,LATIN CAPITAL LETTER S,3,1,2023,3
mgc,Latn,mgc_Latn,Morokodo,U,Lu,LATIN CAPITAL LETTER U,3,1,2023,3
mgc,Latn,mgc_Latn,Morokodo,I,Lu,LATIN CAPITAL LETTER I,3,1,2023,3
mgc,Latn,mgc_Latn,Morokodo,T,Lu,LATIN CAPITAL LETTER T,3,1,2023,3
mgc,Latn,mgc_Latn,Morokodo,:,Po,COLON,2,1,2023,2
mgc,Latn,mgc_Latn,Morokodo,N,Lu,LATIN CAPITAL LETTER N,2,1,2023,2
mgc,Latn,mgc_Latn,Morokodo,G,Lu,LATIN CAPITAL LETTER G,2,1,2023,2
mgc,Latn,mgc_Latn,Morokodo,Ï,Lu,LATIN CAPITAL LETTER I WITH DIAERESIS,2,1,2023,2
mgc,Latn,mgc_Latn,Morokodo,R,Lu,LATIN CAPITAL LETTER R,2,1,2023,2
mgc,Latn,mgc_Latn,Morokodo,Ɔ,Lu,LATIN CAPITAL LETTER OPEN O,2,1,2023,2
mgc,Latn,mgc_Latn,Morokodo,E,Lu,LATIN CAPITAL LETTER E,1,1,2023,1
mgc,Latn,mgc_Latn,Morokodo,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,1,1,2023,1
mgc,Latn,mgc_Latn,Morokodo,!,Po,EXCLAMATION MARK,1,1,2023,1
