iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency
mig,Latn,mig_Latn,San Miguel El Grande Mixtec, ,Zs,SPACE,36682,4,"2019,2020,2021,2022",27229,667,347,8439
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,n,Ll,LATIN SMALL LETTER N,18590,4,"2019,2020,2021,2022",13594,381,199,4416
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,̱,Mn,COMBINING MACRON BELOW,17246,4,"2019,2020,2021,2022",12400,329,174,4343
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,a,Ll,LATIN SMALL LETTER A,15991,4,"2019,2020,2021,2022",11590,347,134,3920
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,i,Ll,LATIN SMALL LETTER I,11293,4,"2019,2020,2021,2022",8315,206,121,2651
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,á,Ll,LATIN SMALL LETTER A WITH ACUTE,10823,4,"2019,2020,2021,2022",7895,168,143,2617
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,u,Ll,LATIN SMALL LETTER U,10197,4,"2019,2020,2021,2022",7573,140,124,2360
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,‐,Pd,HYPHEN,8609,4,"2019,2020,2021,2022",6020,148,122,2319
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,k,Ll,LATIN SMALL LETTER K,7886,4,"2019,2020,2021,2022",5796,144,95,1851
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,í,Ll,LATIN SMALL LETTER I WITH ACUTE,6802,4,"2019,2020,2021,2022",4889,122,93,1698
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,',Po,APOSTROPHE,6583,4,"2019,2020,2021,2022",4876,112,67,1528
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,t,Ll,LATIN SMALL LETTER T,5972,4,"2019,2020,2021,2022",4560,82,81,1249
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,5603,4,"2019,2020,2021,2022",4114,64,47,1378
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,e,Ll,LATIN SMALL LETTER E,5123,4,"2019,2020,2021,2022",3511,164,42,1406
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,j,Ll,LATIN SMALL LETTER J,4592,4,"2019,2020,2021,2022",3348,79,48,1117
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,s,Ll,LATIN SMALL LETTER S,4589,4,"2019,2020,2021,2022",3497,75,48,969
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,o,Ll,LATIN SMALL LETTER O,4479,4,"2019,2020,2021,2022",3429,87,72,891
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,4392,4,"2019,2020,2021,2022",3303,68,32,989
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,d,Ll,LATIN SMALL LETTER D,4117,4,"2019,2020,2021,2022",2916,121,26,1054
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,r,Ll,LATIN SMALL LETTER R,4106,4,"2019,2020,2021,2022",2771,44,82,1209
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,y,Ll,LATIN SMALL LETTER Y,3689,4,"2019,2020,2021,2022",2848,48,23,770
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,",",Po,COMMA,3130,4,"2019,2020,2021,2022",2352,56,37,685
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,.,Po,FULL STOP,2748,4,"2019,2020,2021,2022",1916,54,24,754
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,h,Ll,LATIN SMALL LETTER H,2664,4,"2019,2020,2021,2022",1939,55,23,647
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,c,Ll,LATIN SMALL LETTER C,2548,4,"2019,2020,2021,2022",1857,55,25,611
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,2105,4,"2019,2020,2021,2022",1622,9,35,439
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,2068,4,"2019,2020,2021,2022",1621,24,20,403
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,v,Ll,LATIN SMALL LETTER V,1962,4,"2019,2020,2021,2022",1407,46,10,499
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,T,Lu,LATIN CAPITAL LETTER T,1576,4,"2019,2020,2021,2022",1034,41,9,492
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,m,Ll,LATIN SMALL LETTER M,1468,4,"2019,2020,2021,2022",1032,20,22,394
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,́,Mn,COMBINING ACUTE ACCENT,1027,4,"2019,2020,2021,2022",812,15,6,194
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,é,Ll,LATIN SMALL LETTER E WITH ACUTE,1016,4,"2019,2020,2021,2022",725,30,8,253
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,1,Nd,DIGIT ONE,714,4,"2019,2020,2021,2022",530,13,11,160
mig,Latn,mig_Latn,San Miguel El Grande Mixtec,J,Lu,LATIN CAPITAL LETTER J,636,4,"2019,2020,2021,2022",450,17,12,157
