iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2019_frequency,year_2021_frequency,year_2023_frequency,year_2024_frequency
mih,Latn,mih_Latn,Chayuco Mixtec, ,Zs,SPACE,86434,5,"2014,2019,2021,2023,2024",1561,27109,463,4170,53131
mih,Latn,mih_Latn,Chayuco Mixtec,a,Ll,LATIN SMALL LETTER A,59688,5,"2014,2019,2021,2023,2024",1070,19183,350,2929,36156
mih,Latn,mih_Latn,Chayuco Mixtec,i,Ll,LATIN SMALL LETTER I,36722,5,"2014,2019,2021,2023,2024",603,11692,185,1738,22504
mih,Latn,mih_Latn,Chayuco Mixtec,u,Ll,LATIN SMALL LETTER U,28129,5,"2014,2019,2021,2023,2024",504,8558,137,1323,17607
mih,Latn,mih_Latn,Chayuco Mixtec,n,Ll,LATIN SMALL LETTER N,21259,5,"2014,2019,2021,2023,2024",396,6527,159,993,13184
mih,Latn,mih_Latn,Chayuco Mixtec,c,Ll,LATIN SMALL LETTER C,17617,5,"2014,2019,2021,2023,2024",297,5581,96,867,10776
mih,Latn,mih_Latn,Chayuco Mixtec,s,Ll,LATIN SMALL LETTER S,16216,5,"2014,2019,2021,2023,2024",298,5344,82,759,9733
mih,Latn,mih_Latn,Chayuco Mixtec,o,Ll,LATIN SMALL LETTER O,15326,5,"2014,2019,2021,2023,2024",274,4802,118,772,9360
mih,Latn,mih_Latn,Chayuco Mixtec,t,Ll,LATIN SMALL LETTER T,15250,5,"2014,2019,2021,2023,2024",260,4833,73,705,9379
mih,Latn,mih_Latn,Chayuco Mixtec,y,Ll,LATIN SMALL LETTER Y,14527,5,"2014,2019,2021,2023,2024",269,4621,81,685,8871
mih,Latn,mih_Latn,Chayuco Mixtec,h,Ll,LATIN SMALL LETTER H,13875,5,"2014,2019,2021,2023,2024",191,4354,83,622,8625
mih,Latn,mih_Latn,Chayuco Mixtec,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,11224,5,"2014,2019,2021,2023,2024",131,3576,51,502,6964
mih,Latn,mih_Latn,Chayuco Mixtec,r,Ll,LATIN SMALL LETTER R,10465,5,"2014,2019,2021,2023,2024",296,3655,55,542,5917
