iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec, ,Zs,SPACE,100111,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",1594,2478,3407,724,1795,1520,46888,41624,81
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,a,Ll,LATIN SMALL LETTER A,65680,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",1086,1673,2227,500,1264,1077,29924,27880,49
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,i,Ll,LATIN SMALL LETTER I,48453,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",736,1213,1529,248,698,663,23448,19883,35
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,c,Ll,LATIN SMALL LETTER C,35840,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",570,844,1432,263,620,527,16331,15202,51
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,u,Ll,LATIN SMALL LETTER U,34370,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",627,880,1463,337,730,567,15216,14499,51
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,n,Ll,LATIN SMALL LETTER N,33218,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",501,815,1009,181,523,522,15919,13714,34
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,h,Ll,LATIN SMALL LETTER H,28727,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",384,702,1198,134,417,450,13393,12009,40
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,t,Ll,LATIN SMALL LETTER T,18791,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",335,532,689,149,371,338,8474,7890,13
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,o,Ll,LATIN SMALL LETTER O,17628,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",246,294,407,108,210,154,9496,6711,2
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,d,Ll,LATIN SMALL LETTER D,12517,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",173,257,293,50,160,133,6372,5074,5
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,r,Ll,LATIN SMALL LETTER R,11645,8,"2014,2016,2017,2019,2020,2021,2022,2023",337,371,377,140,357,252,4557,5254,0
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,v,Ll,LATIN SMALL LETTER V,10275,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",118,204,304,55,120,115,5271,4077,11
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,8419,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",82,212,320,46,133,97,4066,3459,4
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,s,Ll,LATIN SMALL LETTER S,7127,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",107,167,241,109,159,92,3212,3036,4
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,e,Ll,LATIN SMALL LETTER E,6823,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",177,220,345,64,204,142,2610,3059,2
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,",",Po,COMMA,5871,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",85,163,177,44,113,111,2645,2529,4
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,y,Ll,LATIN SMALL LETTER Y,5331,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",89,100,191,11,34,58,2732,2111,5
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,.,Po,FULL STOP,5294,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",92,144,120,44,82,69,2453,2289,1
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,N,Lu,LATIN CAPITAL LETTER N,2703,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",61,40,60,14,43,30,1557,897,1
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,C,Lu,LATIN CAPITAL LETTER C,2343,8,"2014,2016,2017,2019,2020,2021,2022,2023",35,40,56,9,33,28,1200,942,0
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,m,Ll,LATIN SMALL LETTER M,2204,9,"2014,2016,2017,2019,2020,2021,2022,2023,2024",19,36,85,36,53,22,1096,855,2
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,q,Ll,LATIN SMALL LETTER Q,1933,8,"2014,2016,2017,2019,2020,2021,2022,2023",32,77,69,25,61,31,711,927,0
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,x,Ll,LATIN SMALL LETTER X,1824,8,"2014,2016,2017,2019,2020,2021,2022,2023",15,42,42,4,23,23,823,852,0
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,T,Lu,LATIN CAPITAL LETTER T,1581,8,"2014,2016,2017,2019,2020,2021,2022,2023",25,54,62,12,45,26,703,654,0
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,1,Nd,DIGIT ONE,1393,8,"2014,2016,2017,2019,2020,2021,2022,2023",23,53,31,15,27,16,606,622,0
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,J,Lu,LATIN CAPITAL LETTER J,1161,8,"2014,2016,2017,2019,2020,2021,2022,2023",53,63,33,30,41,45,334,562,0
mio,Latn,mio_Latn,Pinotepa Nacional Mixtec,2,Nd,DIGIT TWO,973,8,"2014,2016,2017,2019,2020,2021,2022,2023",16,37,19,11,17,15,401,457,0
