iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
miy,Latn,miy_Latn,Ayutla Mixtec, ,Zs,SPACE,50617,5,"2019,2020,2021,2022,2023",947,1608,34765,12638,659
miy,Latn,miy_Latn,Ayutla Mixtec,̱,Mn,COMBINING MACRON BELOW,48526,5,"2019,2020,2021,2022,2023",956,1615,33194,12123,638
miy,Latn,miy_Latn,Ayutla Mixtec,a,Ll,LATIN SMALL LETTER A,29459,5,"2019,2020,2021,2022,2023",496,1010,20375,7221,357
miy,Latn,miy_Latn,Ayutla Mixtec,i,Ll,LATIN SMALL LETTER I,25400,5,"2019,2020,2021,2022,2023",538,830,17398,6346,288
miy,Latn,miy_Latn,Ayutla Mixtec,n,Ll,LATIN SMALL LETTER N,24930,5,"2019,2020,2021,2022,2023",481,786,16709,6605,349
miy,Latn,miy_Latn,Ayutla Mixtec,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,24489,5,"2019,2020,2021,2022,2023",437,755,16580,6358,359
miy,Latn,miy_Latn,Ayutla Mixtec,u,Ll,LATIN SMALL LETTER U,14203,5,"2019,2020,2021,2022,2023",331,391,9719,3495,267
miy,Latn,miy_Latn,Ayutla Mixtec,e,Ll,LATIN SMALL LETTER E,9012,5,"2019,2020,2021,2022,2023",214,335,6154,2209,100
miy,Latn,miy_Latn,Ayutla Mixtec,d,Ll,LATIN SMALL LETTER D,8383,5,"2019,2020,2021,2022,2023",121,204,5494,2380,184
miy,Latn,miy_Latn,Ayutla Mixtec,k,Ll,LATIN SMALL LETTER K,8145,5,"2019,2020,2021,2022,2023",181,284,5532,2050,98
miy,Latn,miy_Latn,Ayutla Mixtec,o,Ll,LATIN SMALL LETTER O,7080,5,"2019,2020,2021,2022,2023",99,155,4696,1974,156
miy,Latn,miy_Latn,Ayutla Mixtec,t,Ll,LATIN SMALL LETTER T,6488,5,"2019,2020,2021,2022,2023",148,228,4391,1607,114
miy,Latn,miy_Latn,Ayutla Mixtec,x,Ll,LATIN SMALL LETTER X,5366,5,"2019,2020,2021,2022,2023",90,155,3730,1339,52
miy,Latn,miy_Latn,Ayutla Mixtec,s,Ll,LATIN SMALL LETTER S,5251,5,"2019,2020,2021,2022,2023",81,164,3776,1184,46
miy,Latn,miy_Latn,Ayutla Mixtec,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,4202,5,"2019,2020,2021,2022,2023",81,96,2910,1049,66
miy,Latn,miy_Latn,Ayutla Mixtec,",",Po,COMMA,3540,5,"2019,2020,2021,2022,2023",75,92,2433,900,40
miy,Latn,miy_Latn,Ayutla Mixtec,v,Ll,LATIN SMALL LETTER V,2417,5,"2019,2020,2021,2022,2023",28,74,1668,600,47
miy,Latn,miy_Latn,Ayutla Mixtec,.,Po,FULL STOP,1967,5,"2019,2020,2021,2022,2023",38,90,1306,510,23
miy,Latn,miy_Latn,Ayutla Mixtec,y,Ll,LATIN SMALL LETTER Y,1775,5,"2019,2020,2021,2022,2023",17,47,1221,436,54
miy,Latn,miy_Latn,Ayutla Mixtec,í,Ll,LATIN SMALL LETTER I WITH ACUTE,1646,5,"2019,2020,2021,2022,2023",23,25,1194,388,16
miy,Latn,miy_Latn,Ayutla Mixtec,r,Ll,LATIN SMALL LETTER R,1612,5,"2019,2020,2021,2022,2023",89,67,1114,324,18
miy,Latn,miy_Latn,Ayutla Mixtec,c,Ll,LATIN SMALL LETTER C,1603,5,"2019,2020,2021,2022,2023",21,64,1124,385,9
miy,Latn,miy_Latn,Ayutla Mixtec,h,Ll,LATIN SMALL LETTER H,1408,5,"2019,2020,2021,2022,2023",21,48,989,345,5
miy,Latn,miy_Latn,Ayutla Mixtec,j,Ll,LATIN SMALL LETTER J,1270,5,"2019,2020,2021,2022,2023",25,51,871,320,3
miy,Latn,miy_Latn,Ayutla Mixtec,N,Lu,LATIN CAPITAL LETTER N,1244,5,"2019,2020,2021,2022,2023",20,26,923,264,11
miy,Latn,miy_Latn,Ayutla Mixtec,m,Ll,LATIN SMALL LETTER M,1070,5,"2019,2020,2021,2022,2023",20,47,718,272,13
miy,Latn,miy_Latn,Ayutla Mixtec,á,Ll,LATIN SMALL LETTER A WITH ACUTE,1052,5,"2019,2020,2021,2022,2023",10,54,661,307,20
miy,Latn,miy_Latn,Ayutla Mixtec,T,Lu,LATIN CAPITAL LETTER T,1025,5,"2019,2020,2021,2022,2023",19,47,682,263,14
miy,Latn,miy_Latn,Ayutla Mixtec,1,Nd,DIGIT ONE,659,4,"2019,2020,2021,2022",13,48,437,161,0
miy,Latn,miy_Latn,Ayutla Mixtec,J,Lu,LATIN CAPITAL LETTER J,570,5,"2019,2020,2021,2022,2023",16,51,389,112,2
miy,Latn,miy_Latn,Ayutla Mixtec,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,542,5,"2019,2020,2021,2022,2023",10,35,357,139,1
miy,Latn,miy_Latn,Ayutla Mixtec,S,Lu,LATIN CAPITAL LETTER S,496,5,"2019,2020,2021,2022,2023",10,31,341,113,1
miy,Latn,miy_Latn,Ayutla Mixtec,2,Nd,DIGIT TWO,413,4,"2019,2020,2021,2022",8,25,264,116,0
miy,Latn,miy_Latn,Ayutla Mixtec,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,397,5,"2019,2020,2021,2022,2023",3,15,258,120,1
miy,Latn,miy_Latn,Ayutla Mixtec,l,Ll,LATIN SMALL LETTER L,379,5,"2019,2020,2021,2022,2023",35,17,242,76,9
miy,Latn,miy_Latn,Ayutla Mixtec,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,291,5,"2019,2020,2021,2022,2023",2,3,214,71,1
miy,Latn,miy_Latn,Ayutla Mixtec,K,Lu,LATIN CAPITAL LETTER K,260,5,"2019,2020,2021,2022,2023",10,6,170,70,4
miy,Latn,miy_Latn,Ayutla Mixtec,:,Po,COLON,237,5,"2019,2020,2021,2022,2023",9,33,117,74,4
