iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2019_frequency,year_2022_frequency
miz,Latn,miz_Latn,Coatzospan Mixtec, ,Zs,SPACE,56951,4,"2013,2014,2019,2022",674,708,40132,15437
miz,Latn,miz_Latn,Coatzospan Mixtec,n,Ll,LATIN SMALL LETTER N,21821,4,"2013,2014,2019,2022",266,302,15253,6000
miz,Latn,miz_Latn,Coatzospan Mixtec,a,Ll,LATIN SMALL LETTER A,20769,4,"2013,2014,2019,2022",317,278,14930,5244
miz,Latn,miz_Latn,Coatzospan Mixtec,t,Ll,LATIN SMALL LETTER T,15557,4,"2013,2014,2019,2022",86,138,10921,4412
miz,Latn,miz_Latn,Coatzospan Mixtec,i,Ll,LATIN SMALL LETTER I,12919,4,"2013,2014,2019,2022",220,143,9158,3398
miz,Latn,miz_Latn,Coatzospan Mixtec,k,Ll,LATIN SMALL LETTER K,12171,4,"2013,2014,2019,2022",75,153,8664,3279
miz,Latn,miz_Latn,Coatzospan Mixtec,u,Ll,LATIN SMALL LETTER U,11487,4,"2013,2014,2019,2022",134,149,8155,3049
miz,Latn,miz_Latn,Coatzospan Mixtec,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,8242,4,"2013,2014,2019,2022",91,133,5905,2113
miz,Latn,miz_Latn,Coatzospan Mixtec,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,7875,4,"2013,2014,2019,2022",104,115,5511,2145
miz,Latn,miz_Latn,Coatzospan Mixtec,o,Ll,LATIN SMALL LETTER O,7439,4,"2013,2014,2019,2022",64,52,5264,2059
miz,Latn,miz_Latn,Coatzospan Mixtec,e,Ll,LATIN SMALL LETTER E,7112,4,"2013,2014,2019,2022",99,126,4992,1895
miz,Latn,miz_Latn,Coatzospan Mixtec,v,Ll,LATIN SMALL LETTER V,5573,4,"2013,2014,2019,2022",36,38,4012,1487
miz,Latn,miz_Latn,Coatzospan Mixtec,á,Ll,LATIN SMALL LETTER A WITH ACUTE,5550,4,"2013,2014,2019,2022",80,74,3933,1463
miz,Latn,miz_Latn,Coatzospan Mixtec,é,Ll,LATIN SMALL LETTER E WITH ACUTE,5349,4,"2013,2014,2019,2022",84,71,3806,1388
miz,Latn,miz_Latn,Coatzospan Mixtec,s,Ll,LATIN SMALL LETTER S,5011,4,"2013,2014,2019,2022",67,67,3547,1330
miz,Latn,miz_Latn,Coatzospan Mixtec,d,Ll,LATIN SMALL LETTER D,4313,4,"2013,2014,2019,2022",38,62,3049,1164
miz,Latn,miz_Latn,Coatzospan Mixtec,í,Ll,LATIN SMALL LETTER I WITH ACUTE,3944,4,"2013,2014,2019,2022",75,64,2757,1048
miz,Latn,miz_Latn,Coatzospan Mixtec,",",Po,COMMA,3926,4,"2013,2014,2019,2022",41,63,2707,1115
miz,Latn,miz_Latn,Coatzospan Mixtec,ā,Ll,LATIN SMALL LETTER A WITH MACRON,3339,4,"2013,2014,2019,2022",51,51,2374,863
miz,Latn,miz_Latn,Coatzospan Mixtec,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,3286,4,"2013,2014,2019,2022",39,49,2189,1009
miz,Latn,miz_Latn,Coatzospan Mixtec,x,Ll,LATIN SMALL LETTER X,2776,4,"2013,2014,2019,2022",105,40,1887,744
miz,Latn,miz_Latn,Coatzospan Mixtec,.,Po,FULL STOP,2771,4,"2013,2014,2019,2022",24,37,1969,741
miz,Latn,miz_Latn,Coatzospan Mixtec,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,2398,4,"2013,2014,2019,2022",17,41,1665,675
miz,Latn,miz_Latn,Coatzospan Mixtec,ō,Ll,LATIN SMALL LETTER O WITH MACRON,2157,4,"2013,2014,2019,2022",62,16,1478,601
miz,Latn,miz_Latn,Coatzospan Mixtec,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,1873,4,"2013,2014,2019,2022",3,23,1335,512
miz,Latn,miz_Latn,Coatzospan Mixtec,ī,Ll,LATIN SMALL LETTER I WITH MACRON,1735,4,"2013,2014,2019,2022",12,33,1231,459
miz,Latn,miz_Latn,Coatzospan Mixtec,ū,Ll,LATIN SMALL LETTER U WITH MACRON,1585,4,"2013,2014,2019,2022",13,24,1153,395
miz,Latn,miz_Latn,Coatzospan Mixtec,X,Lu,LATIN CAPITAL LETTER X,1296,4,"2013,2014,2019,2022",12,8,941,335
miz,Latn,miz_Latn,Coatzospan Mixtec,ē,Ll,LATIN SMALL LETTER E WITH MACRON,1099,4,"2013,2014,2019,2022",11,19,776,293
miz,Latn,miz_Latn,Coatzospan Mixtec,r,Ll,LATIN SMALL LETTER R,957,4,"2013,2014,2019,2022",35,29,720,173
miz,Latn,miz_Latn,Coatzospan Mixtec,m,Ll,LATIN SMALL LETTER M,936,4,"2013,2014,2019,2022",16,14,682,224
miz,Latn,miz_Latn,Coatzospan Mixtec,1,Nd,DIGIT ONE,811,4,"2013,2014,2019,2022",19,13,564,215
miz,Latn,miz_Latn,Coatzospan Mixtec,́,Mn,COMBINING ACUTE ACCENT,718,4,"2013,2014,2019,2022",1,16,461,240
miz,Latn,miz_Latn,Coatzospan Mixtec,N,Lu,LATIN CAPITAL LETTER N,692,4,"2013,2014,2019,2022",8,12,484,188
miz,Latn,miz_Latn,Coatzospan Mixtec,T,Lu,LATIN CAPITAL LETTER T,687,4,"2013,2014,2019,2022",3,3,518,163
miz,Latn,miz_Latn,Coatzospan Mixtec,D,Lu,LATIN CAPITAL LETTER D,559,4,"2013,2014,2019,2022",11,11,377,160
miz,Latn,miz_Latn,Coatzospan Mixtec,2,Nd,DIGIT TWO,517,4,"2013,2014,2019,2022",9,8,363,137
miz,Latn,miz_Latn,Coatzospan Mixtec,K,Lu,LATIN CAPITAL LETTER K,487,4,"2013,2014,2019,2022",1,13,341,132
miz,Latn,miz_Latn,Coatzospan Mixtec,̄,Mn,COMBINING MACRON,449,4,"2013,2014,2019,2022",6,6,304,133
miz,Latn,miz_Latn,Coatzospan Mixtec,l,Ll,LATIN SMALL LETTER L,379,4,"2013,2014,2019,2022",15,11,291,62
miz,Latn,miz_Latn,Coatzospan Mixtec,J,Lu,LATIN CAPITAL LETTER J,375,4,"2013,2014,2019,2022",29,9,278,59
miz,Latn,miz_Latn,Coatzospan Mixtec,c,Ll,LATIN SMALL LETTER C,367,4,"2013,2014,2019,2022",11,4,303,49
miz,Latn,miz_Latn,Coatzospan Mixtec,Ñ,Lu,LATIN CAPITAL LETTER N WITH TILDE,330,4,"2013,2014,2019,2022",1,2,243,84
miz,Latn,miz_Latn,Coatzospan Mixtec,3,Nd,DIGIT THREE,267,4,"2013,2014,2019,2022",3,3,181,80
miz,Latn,miz_Latn,Coatzospan Mixtec,I,Lu,LATIN CAPITAL LETTER I,260,4,"2013,2014,2019,2022",6,7,202,45
miz,Latn,miz_Latn,Coatzospan Mixtec,C,Lu,LATIN CAPITAL LETTER C,222,4,"2013,2014,2019,2022",2,1,159,60
miz,Latn,miz_Latn,Coatzospan Mixtec,:,Po,COLON,216,4,"2013,2014,2019,2022",5,10,150,51
miz,Latn,miz_Latn,Coatzospan Mixtec,4,Nd,DIGIT FOUR,213,4,"2013,2014,2019,2022",3,2,140,68
miz,Latn,miz_Latn,Coatzospan Mixtec,5,Nd,DIGIT FIVE,192,4,"2013,2014,2019,2022",3,2,126,61
miz,Latn,miz_Latn,Coatzospan Mixtec,p,Ll,LATIN SMALL LETTER P,177,3,"2013,2019,2022",2,0,127,48
miz,Latn,miz_Latn,Coatzospan Mixtec,6,Nd,DIGIT SIX,168,4,"2013,2014,2019,2022",2,2,118,46
miz,Latn,miz_Latn,Coatzospan Mixtec,b,Ll,LATIN SMALL LETTER B,167,3,"2013,2019,2022",22,0,135,10
miz,Latn,miz_Latn,Coatzospan Mixtec,?,Po,QUESTION MARK,166,3,"2014,2019,2022",0,2,99,65
miz,Latn,miz_Latn,Coatzospan Mixtec,¿,Po,INVERTED QUESTION MARK,166,3,"2014,2019,2022",0,2,99,65
