iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2019_frequency,year_2020_frequency,year_2022_frequency,year_2023_frequency
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec, ,Zs,SPACE,62838,5,"2014,2019,2020,2022,2023",1740,14508,20098,22132,4360
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,a,Ll,LATIN SMALL LETTER A,43262,5,"2014,2019,2020,2022,2023",1276,10905,13202,14717,3162
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,n,Ll,LATIN SMALL LETTER N,24449,5,"2014,2019,2020,2022,2023",724,5646,7490,8763,1826
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,i,Ll,LATIN SMALL LETTER I,21275,5,"2014,2019,2020,2022,2023",544,4809,6701,7654,1567
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,t,Ll,LATIN SMALL LETTER T,20772,5,"2014,2019,2020,2022,2023",548,4706,6843,7205,1470
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,u,Ll,LATIN SMALL LETTER U,17476,5,"2014,2019,2020,2022,2023",523,3810,5787,5908,1448
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,s,Ll,LATIN SMALL LETTER S,12841,5,"2014,2019,2020,2022,2023",382,3093,4090,4426,850
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,y,Ll,LATIN SMALL LETTER Y,11964,5,"2014,2019,2020,2022,2023",342,2455,4111,4197,859
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,h,Ll,LATIN SMALL LETTER H,11528,5,"2014,2019,2020,2022,2023",289,3082,3343,4084,730
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,c,Ll,LATIN SMALL LETTER C,11428,5,"2014,2019,2020,2022,2023",332,2793,3413,3987,903
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,o,Ll,LATIN SMALL LETTER O,8947,5,"2014,2019,2020,2022,2023",191,1445,3288,3568,455
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,r,Ll,LATIN SMALL LETTER R,7114,5,"2014,2019,2020,2022,2023",335,1952,2138,2141,548
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,6888,5,"2014,2019,2020,2022,2023",118,1706,2121,2530,413
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,d,Ll,LATIN SMALL LETTER D,5829,5,"2014,2019,2020,2022,2023",118,1002,1960,2397,352
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,v,Ll,LATIN SMALL LETTER V,5796,5,"2014,2019,2020,2022,2023",163,1330,1794,2087,422
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,5774,5,"2014,2019,2020,2022,2023",112,1364,1827,2115,356
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,e,Ll,LATIN SMALL LETTER E,4459,5,"2014,2019,2020,2022,2023",169,1180,1380,1450,280
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,.,Po,FULL STOP,3539,5,"2014,2019,2020,2022,2023",105,877,1017,1214,326
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,̱,Mn,COMBINING MACRON BELOW,3112,5,"2014,2019,2020,2022,2023",115,887,831,1062,217
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,T,Lu,LATIN CAPITAL LETTER T,2456,5,"2014,2019,2020,2022,2023",84,599,717,847,209
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,í,Ll,LATIN SMALL LETTER I WITH ACUTE,2388,5,"2014,2019,2020,2022,2023",147,577,674,776,214
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,",",Po,COMMA,2124,5,"2014,2019,2020,2022,2023",72,534,643,729,146
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,á,Ll,LATIN SMALL LETTER A WITH ACUTE,1962,5,"2014,2019,2020,2022,2023",27,461,646,659,169
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,j,Ll,LATIN SMALL LETTER J,1924,5,"2014,2019,2020,2022,2023",33,421,663,701,106
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,m,Ll,LATIN SMALL LETTER M,1624,5,"2014,2019,2020,2022,2023",41,366,524,602,91
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,N,Lu,LATIN CAPITAL LETTER N,1529,5,"2014,2019,2020,2022,2023",59,280,576,554,60
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,J,Lu,LATIN CAPITAL LETTER J,1067,5,"2014,2019,2020,2022,2023",63,296,350,349,9
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,q,Ll,LATIN SMALL LETTER Q,1005,5,"2014,2019,2020,2022,2023",34,225,281,392,73
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,938,5,"2014,2019,2020,2022,2023",28,281,241,332,56
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,1,Nd,DIGIT ONE,822,5,"2014,2019,2020,2022,2023",23,213,265,308,13
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,798,5,"2014,2019,2020,2022,2023",30,153,291,287,37
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,x,Ll,LATIN SMALL LETTER X,771,5,"2014,2019,2020,2022,2023",4,154,250,237,126
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,l,Ll,LATIN SMALL LETTER L,695,5,"2014,2019,2020,2022,2023",36,175,199,241,44
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,C,Lu,LATIN CAPITAL LETTER C,604,5,"2014,2019,2020,2022,2023",14,86,247,202,55
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,M,Lu,LATIN CAPITAL LETTER M,524,5,"2014,2019,2020,2022,2023",22,130,148,214,10
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,2,Nd,DIGIT TWO,500,5,"2014,2019,2020,2022,2023",16,162,154,160,8
mjc,Latn,mjc_Latn,San Juan Colorado Mixtec,k,Ll,LATIN SMALL LETTER K,388,2,"2020,2023",0,0,228,0,160
