iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
mkn,Latn,mkn_Latn,Kupang Malay, ,Zs,SPACE,285515,11,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3139,6007,719,548,8364,139983,27873,10346,56629,31810,97
mkn,Latn,mkn_Latn,Kupang Malay,a,Ll,LATIN SMALL LETTER A,240865,11,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2539,5346,607,417,7178,117797,24330,8560,47419,26592,80
mkn,Latn,mkn_Latn,Kupang Malay,n,Ll,LATIN SMALL LETTER N,124430,11,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1455,2646,277,267,3446,61228,12486,4316,24764,13499,46
mkn,Latn,mkn_Latn,Kupang Malay,i,Ll,LATIN SMALL LETTER I,88403,11,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",897,1743,254,177,2866,43348,8660,3447,17281,9700,30
mkn,Latn,mkn_Latn,Kupang Malay,g,Ll,LATIN SMALL LETTER G,85843,11,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1064,1797,168,168,1745,43299,8365,2945,17251,9014,27
mkn,Latn,mkn_Latn,Kupang Malay,u,Ll,LATIN SMALL LETTER U,82995,11,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",940,1810,178,206,2333,41159,8207,3078,16281,8771,32
mkn,Latn,mkn_Latn,Kupang Malay,s,Ll,LATIN SMALL LETTER S,68826,11,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",826,1569,137,130,1677,35278,6635,2408,13513,6631,22
mkn,Latn,mkn_Latn,Kupang Malay,o,Ll,LATIN SMALL LETTER O,65460,11,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",905,1273,170,121,2120,32692,6181,2183,12952,6847,16
mkn,Latn,mkn_Latn,Kupang Malay,t,Ll,LATIN SMALL LETTER T,56206,11,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",638,1128,120,103,1628,28096,5691,2068,10977,5736,21
mkn,Latn,mkn_Latn,Kupang Malay,d,Ll,LATIN SMALL LETTER D,51082,11,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",584,1011,124,107,1505,25188,4799,1881,10140,5727,16
mkn,Latn,mkn_Latn,Kupang Malay,e,Ll,LATIN SMALL LETTER E,45583,11,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",515,924,136,128,1966,21767,4886,1531,8749,4970,11
mkn,Latn,mkn_Latn,Kupang Malay,k,Ll,LATIN SMALL LETTER K,41872,11,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",504,918,159,93,1474,19874,4362,1500,8072,4902,14
mkn,Latn,mkn_Latn,Kupang Malay,r,Ll,LATIN SMALL LETTER R,41174,11,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",431,855,96,104,1308,20405,4291,1474,7829,4373,8
