iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency
mks,Latn,mks_Latn,Silacayoapan Mixtec, ,Zs,SPACE,52111,5,"2014,2019,2020,2021,2022",3478,36533,4171,5878,2051
mks,Latn,mks_Latn,Silacayoapan Mixtec,̱,Mn,COMBINING MACRON BELOW,30352,5,"2014,2019,2020,2021,2022",2071,21805,2205,3190,1081
mks,Latn,mks_Latn,Silacayoapan Mixtec,a,Ll,LATIN SMALL LETTER A,29194,5,"2014,2019,2020,2021,2022",2148,20362,2218,3296,1170
mks,Latn,mks_Latn,Silacayoapan Mixtec,n,Ll,LATIN SMALL LETTER N,24119,5,"2014,2019,2020,2021,2022",1966,16480,1882,2820,971
mks,Latn,mks_Latn,Silacayoapan Mixtec,i,Ll,LATIN SMALL LETTER I,18748,5,"2014,2019,2020,2021,2022",1145,13505,1533,1981,584
mks,Latn,mks_Latn,Silacayoapan Mixtec,c,Ll,LATIN SMALL LETTER C,12687,5,"2014,2019,2020,2021,2022",886,8812,995,1445,549
mks,Latn,mks_Latn,Silacayoapan Mixtec,h,Ll,LATIN SMALL LETTER H,12415,5,"2014,2019,2020,2021,2022",851,8659,1002,1429,474
mks,Latn,mks_Latn,Silacayoapan Mixtec,á,Ll,LATIN SMALL LETTER A WITH ACUTE,11387,5,"2014,2019,2020,2021,2022",845,7887,863,1323,469
mks,Latn,mks_Latn,Silacayoapan Mixtec,u,Ll,LATIN SMALL LETTER U,10731,5,"2014,2019,2020,2021,2022",762,7513,873,1189,394
mks,Latn,mks_Latn,Silacayoapan Mixtec,d,Ll,LATIN SMALL LETTER D,9255,5,"2014,2019,2020,2021,2022",577,6677,709,1008,284
mks,Latn,mks_Latn,Silacayoapan Mixtec,t,Ll,LATIN SMALL LETTER T,6240,5,"2014,2019,2020,2021,2022",379,4408,514,689,250
mks,Latn,mks_Latn,Silacayoapan Mixtec,o,Ll,LATIN SMALL LETTER O,5980,5,"2014,2019,2020,2021,2022",378,4226,498,665,213
mks,Latn,mks_Latn,Silacayoapan Mixtec,í,Ll,LATIN SMALL LETTER I WITH ACUTE,5121,5,"2014,2019,2020,2021,2022",328,3531,452,565,245
mks,Latn,mks_Latn,Silacayoapan Mixtec,j,Ll,LATIN SMALL LETTER J,4728,5,"2014,2019,2020,2021,2022",321,3262,367,574,204
mks,Latn,mks_Latn,Silacayoapan Mixtec,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,4486,5,"2014,2019,2020,2021,2022",192,3227,407,525,135
mks,Latn,mks_Latn,Silacayoapan Mixtec,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,4403,5,"2014,2019,2020,2021,2022",291,2904,392,581,235
mks,Latn,mks_Latn,Silacayoapan Mixtec,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,4251,5,"2014,2019,2020,2021,2022",250,2949,355,502,195
mks,Latn,mks_Latn,Silacayoapan Mixtec,s,Ll,LATIN SMALL LETTER S,4155,5,"2014,2019,2020,2021,2022",390,2901,286,437,141
mks,Latn,mks_Latn,Silacayoapan Mixtec,v,Ll,LATIN SMALL LETTER V,3762,5,"2014,2019,2020,2021,2022",208,2646,325,444,139
mks,Latn,mks_Latn,Silacayoapan Mixtec,x,Ll,LATIN SMALL LETTER X,3714,5,"2014,2019,2020,2021,2022",277,2658,281,380,118
mks,Latn,mks_Latn,Silacayoapan Mixtec,e,Ll,LATIN SMALL LETTER E,3544,5,"2014,2019,2020,2021,2022",327,2557,203,339,118
mks,Latn,mks_Latn,Silacayoapan Mixtec,é,Ll,LATIN SMALL LETTER E WITH ACUTE,2800,5,"2014,2019,2020,2021,2022",123,2021,215,333,108
mks,Latn,mks_Latn,Silacayoapan Mixtec,.,Po,FULL STOP,2711,5,"2014,2019,2020,2021,2022",203,1866,229,310,103
mks,Latn,mks_Latn,Silacayoapan Mixtec,y,Ll,LATIN SMALL LETTER Y,2496,5,"2014,2019,2020,2021,2022",143,1769,228,250,106
mks,Latn,mks_Latn,Silacayoapan Mixtec,m,Ll,LATIN SMALL LETTER M,1996,5,"2014,2019,2020,2021,2022",93,1465,156,221,61
mks,Latn,mks_Latn,Silacayoapan Mixtec,q,Ll,LATIN SMALL LETTER Q,1840,5,"2014,2019,2020,2021,2022",100,1294,160,216,70
mks,Latn,mks_Latn,Silacayoapan Mixtec,J,Lu,LATIN CAPITAL LETTER J,1453,5,"2014,2019,2020,2021,2022",153,1010,91,144,55
mks,Latn,mks_Latn,Silacayoapan Mixtec,N,Lu,LATIN CAPITAL LETTER N,1436,5,"2014,2019,2020,2021,2022",50,1075,123,157,31
mks,Latn,mks_Latn,Silacayoapan Mixtec,T,Lu,LATIN CAPITAL LETTER T,1221,5,"2014,2019,2020,2021,2022",102,828,108,138,45
mks,Latn,mks_Latn,Silacayoapan Mixtec,r,Ll,LATIN SMALL LETTER R,1027,5,"2014,2019,2020,2021,2022",111,687,70,130,29
mks,Latn,mks_Latn,Silacayoapan Mixtec,",",Po,COMMA,764,5,"2014,2019,2020,2021,2022",36,562,64,86,16
mks,Latn,mks_Latn,Silacayoapan Mixtec,1,Nd,DIGIT ONE,704,5,"2014,2019,2020,2021,2022",66,472,58,82,26
mks,Latn,mks_Latn,Silacayoapan Mixtec,l,Ll,LATIN SMALL LETTER L,472,5,"2014,2019,2020,2021,2022",69,331,23,36,13
mks,Latn,mks_Latn,Silacayoapan Mixtec,2,Nd,DIGIT TWO,376,5,"2014,2019,2020,2021,2022",45,248,29,35,19
mks,Latn,mks_Latn,Silacayoapan Mixtec,g,Ll,LATIN SMALL LETTER G,347,5,"2014,2019,2020,2021,2022",17,255,20,32,23
mks,Latn,mks_Latn,Silacayoapan Mixtec,C,Lu,LATIN CAPITAL LETTER C,342,5,"2014,2019,2020,2021,2022",22,238,35,35,12
mks,Latn,mks_Latn,Silacayoapan Mixtec,M,Lu,LATIN CAPITAL LETTER M,216,5,"2014,2019,2020,2021,2022",27,159,14,7,9
mks,Latn,mks_Latn,Silacayoapan Mixtec,3,Nd,DIGIT THREE,190,5,"2014,2019,2020,2021,2022",25,129,14,16,6
mks,Latn,mks_Latn,Silacayoapan Mixtec,4,Nd,DIGIT FOUR,171,5,"2014,2019,2020,2021,2022",24,112,13,16,6
mks,Latn,mks_Latn,Silacayoapan Mixtec,5,Nd,DIGIT FIVE,156,5,"2014,2019,2020,2021,2022",16,106,11,15,8
mks,Latn,mks_Latn,Silacayoapan Mixtec,6,Nd,DIGIT SIX,147,5,"2014,2019,2020,2021,2022",15,102,9,16,5
mks,Latn,mks_Latn,Silacayoapan Mixtec,S,Lu,LATIN CAPITAL LETTER S,147,5,"2014,2019,2020,2021,2022",13,104,15,11,4
mks,Latn,mks_Latn,Silacayoapan Mixtec,:,Po,COLON,147,5,"2014,2019,2020,2021,2022",44,87,4,7,5
mks,Latn,mks_Latn,Silacayoapan Mixtec,A,Lu,LATIN CAPITAL LETTER A,144,5,"2014,2019,2020,2021,2022",23,107,7,4,3
mks,Latn,mks_Latn,Silacayoapan Mixtec,7,Nd,DIGIT SEVEN,134,5,"2014,2019,2020,2021,2022",9,99,9,13,4
mks,Latn,mks_Latn,Silacayoapan Mixtec,p,Ll,LATIN SMALL LETTER P,134,4,"2014,2019,2020,2021",24,92,9,9,0
mks,Latn,mks_Latn,Silacayoapan Mixtec,Ñ,Lu,LATIN CAPITAL LETTER N WITH TILDE,132,5,"2014,2019,2020,2021,2022",7,99,4,18,4
mks,Latn,mks_Latn,Silacayoapan Mixtec,8,Nd,DIGIT EIGHT,126,5,"2014,2019,2020,2021,2022",14,86,9,13,4
mks,Latn,mks_Latn,Silacayoapan Mixtec,b,Ll,LATIN SMALL LETTER B,126,5,"2014,2019,2020,2021,2022",4,109,8,4,1
mks,Latn,mks_Latn,Silacayoapan Mixtec,9,Nd,DIGIT NINE,110,5,"2014,2019,2020,2021,2022",12,75,8,11,4
mks,Latn,mks_Latn,Silacayoapan Mixtec,0,Nd,DIGIT ZERO,110,5,"2014,2019,2020,2021,2022",15,72,8,11,4
mks,Latn,mks_Latn,Silacayoapan Mixtec,I,Lu,LATIN CAPITAL LETTER I,90,5,"2014,2019,2020,2021,2022",13,62,3,11,1
