iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2020_frequency,year_2021_frequency
mnb,Latn,mnb_Latn,Muna,a,Ll,LATIN SMALL LETTER A,2716,4,"2013,2014,2020,2021",932,477,723,584
mnb,Latn,mnb_Latn,Muna, ,Zs,SPACE,2140,4,"2013,2014,2020,2021",582,344,661,553
mnb,Latn,mnb_Latn,Muna,o,Ll,LATIN SMALL LETTER O,1497,4,"2013,2014,2020,2021",351,326,479,341
mnb,Latn,mnb_Latn,Muna,n,Ll,LATIN SMALL LETTER N,1243,4,"2013,2014,2020,2021",356,239,370,278
mnb,Latn,mnb_Latn,Muna,e,Ll,LATIN SMALL LETTER E,923,4,"2013,2014,2020,2021",230,114,356,223
mnb,Latn,mnb_Latn,Muna,i,Ll,LATIN SMALL LETTER I,849,4,"2013,2014,2020,2021",195,129,314,211
mnb,Latn,mnb_Latn,Muna,m,Ll,LATIN SMALL LETTER M,736,4,"2013,2014,2020,2021",229,114,205,188
mnb,Latn,mnb_Latn,Muna,u,Ll,LATIN SMALL LETTER U,620,4,"2013,2014,2020,2021",152,92,192,184
mnb,Latn,mnb_Latn,Muna,h,Ll,LATIN SMALL LETTER H,491,4,"2013,2014,2020,2021",170,58,152,111
mnb,Latn,mnb_Latn,Muna,t,Ll,LATIN SMALL LETTER T,487,4,"2013,2014,2020,2021",140,60,142,145
mnb,Latn,mnb_Latn,Muna,d,Ll,LATIN SMALL LETTER D,459,4,"2013,2014,2020,2021",120,48,176,115
mnb,Latn,mnb_Latn,Muna,s,Ll,LATIN SMALL LETTER S,441,4,"2013,2014,2020,2021",106,78,106,151
mnb,Latn,mnb_Latn,Muna,k,Ll,LATIN SMALL LETTER K,434,4,"2013,2014,2020,2021",108,87,144,95
mnb,Latn,mnb_Latn,Muna,l,Ll,LATIN SMALL LETTER L,325,4,"2013,2014,2020,2021",65,48,117,95
mnb,Latn,mnb_Latn,Muna,b,Ll,LATIN SMALL LETTER B,283,4,"2013,2014,2020,2021",94,50,89,50
mnb,Latn,mnb_Latn,Muna,p,Ll,LATIN SMALL LETTER P,268,4,"2013,2014,2020,2021",88,40,71,69
mnb,Latn,mnb_Latn,Muna,r,Ll,LATIN SMALL LETTER R,259,4,"2013,2014,2020,2021",58,30,66,105
mnb,Latn,mnb_Latn,Muna,',Po,APOSTROPHE,224,3,"2013,2014,2021",87,97,0,40
mnb,Latn,mnb_Latn,Muna,w,Ll,LATIN SMALL LETTER W,203,4,"2013,2014,2020,2021",49,22,82,50
mnb,Latn,mnb_Latn,Muna,",",Po,COMMA,175,4,"2013,2014,2020,2021",46,49,48,32
mnb,Latn,mnb_Latn,Muna,.,Po,FULL STOP,163,4,"2013,2014,2020,2021",41,38,48,36
mnb,Latn,mnb_Latn,Muna,g,Ll,LATIN SMALL LETTER G,136,4,"2013,2014,2020,2021",38,5,35,58
mnb,Latn,mnb_Latn,Muna,f,Ll,LATIN SMALL LETTER F,128,4,"2013,2014,2020,2021",14,20,51,43
mnb,Latn,mnb_Latn,Muna,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,106,1,2020,0,0,106,0
mnb,Latn,mnb_Latn,Muna,A,Lu,LATIN CAPITAL LETTER A,96,4,"2013,2014,2020,2021",32,26,19,19
mnb,Latn,mnb_Latn,Muna,1,Nd,DIGIT ONE,77,4,"2013,2014,2020,2021",18,14,20,25
mnb,Latn,mnb_Latn,Muna,Y,Lu,LATIN CAPITAL LETTER Y,59,4,"2013,2014,2020,2021",6,28,19,6
mnb,Latn,mnb_Latn,Muna,L,Lu,LATIN CAPITAL LETTER L,53,4,"2013,2014,2020,2021",34,3,3,13
mnb,Latn,mnb_Latn,Muna,-,Pd,HYPHEN-MINUS,48,4,"2013,2014,2020,2021",7,3,20,18
mnb,Latn,mnb_Latn,Muna,M,Lu,LATIN CAPITAL LETTER M,47,4,"2013,2014,2020,2021",1,15,13,18
mnb,Latn,mnb_Latn,Muna,2,Nd,DIGIT TWO,40,4,"2013,2014,2020,2021",9,9,14,8
mnb,Latn,mnb_Latn,Muna,K,Lu,LATIN CAPITAL LETTER K,37,4,"2013,2014,2020,2021",9,6,8,14
mnb,Latn,mnb_Latn,Muna,y,Ll,LATIN SMALL LETTER Y,32,4,"2013,2014,2020,2021",1,2,1,28
mnb,Latn,mnb_Latn,Muna,P,Lu,LATIN CAPITAL LETTER P,29,4,"2013,2014,2020,2021",8,3,8,10
mnb,Latn,mnb_Latn,Muna,"""",Po,QUOTATION MARK,28,3,"2013,2014,2021",10,4,0,14
mnb,Latn,mnb_Latn,Muna,I,Lu,LATIN CAPITAL LETTER I,26,4,"2013,2014,2020,2021",5,6,4,11
mnb,Latn,mnb_Latn,Muna,D,Lu,LATIN CAPITAL LETTER D,24,4,"2013,2014,2020,2021",4,7,7,6
mnb,Latn,mnb_Latn,Muna,N,Lu,LATIN CAPITAL LETTER N,23,4,"2013,2014,2020,2021",4,4,7,8
mnb,Latn,mnb_Latn,Muna,B,Lu,LATIN CAPITAL LETTER B,22,4,"2013,2014,2020,2021",3,6,8,5
mnb,Latn,mnb_Latn,Muna,H,Lu,LATIN CAPITAL LETTER H,22,4,"2013,2014,2020,2021",1,5,11,5
mnb,Latn,mnb_Latn,Muna,O,Lu,LATIN CAPITAL LETTER O,21,4,"2013,2014,2020,2021",1,5,8,7
mnb,Latn,mnb_Latn,Muna,v,Ll,LATIN SMALL LETTER V,19,3,"2013,2020,2021",1,0,1,17
mnb,Latn,mnb_Latn,Muna,S,Lu,LATIN CAPITAL LETTER S,19,4,"2013,2014,2020,2021",4,6,2,7
mnb,Latn,mnb_Latn,Muna,3,Nd,DIGIT THREE,18,4,"2013,2014,2020,2021",3,3,5,7
