iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2017_frequency
mnf,Latn,mnf_Latn,Mundani, ,Zs,SPACE,31837,3,"2013,2014,2017",2403,729,28705
mnf,Latn,mnf_Latn,Mundani,a,Ll,LATIN SMALL LETTER A,10803,3,"2013,2014,2017",640,199,9964
mnf,Latn,mnf_Latn,Mundani,n,Ll,LATIN SMALL LETTER N,6390,3,"2013,2014,2017",439,138,5813
mnf,Latn,mnf_Latn,Mundani,à,Ll,LATIN SMALL LETTER A WITH GRAVE,6115,3,"2013,2014,2017",468,134,5513
mnf,Latn,mnf_Latn,Mundani,t,Ll,LATIN SMALL LETTER T,5457,3,"2013,2014,2017",531,116,4810
mnf,Latn,mnf_Latn,Mundani,b,Ll,LATIN SMALL LETTER B,5411,3,"2013,2014,2017",448,156,4807
mnf,Latn,mnf_Latn,Mundani,e,Ll,LATIN SMALL LETTER E,5053,3,"2013,2014,2017",395,116,4542
mnf,Latn,mnf_Latn,Mundani,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,4289,3,"2013,2014,2017",242,93,3954
mnf,Latn,mnf_Latn,Mundani,m,Ll,LATIN SMALL LETTER M,3943,3,"2013,2014,2017",239,69,3635
mnf,Latn,mnf_Latn,Mundani,ɔ,Ll,LATIN SMALL LETTER OPEN O,3836,3,"2013,2014,2017",300,125,3411
mnf,Latn,mnf_Latn,Mundani,è,Ll,LATIN SMALL LETTER E WITH GRAVE,3814,3,"2013,2014,2017",304,86,3424
mnf,Latn,mnf_Latn,Mundani,l,Ll,LATIN SMALL LETTER L,3566,3,"2013,2014,2017",386,113,3067
mnf,Latn,mnf_Latn,Mundani,u,Ll,LATIN SMALL LETTER U,3188,3,"2013,2014,2017",329,78,2781
mnf,Latn,mnf_Latn,Mundani,k,Ll,LATIN SMALL LETTER K,3085,3,"2013,2014,2017",179,44,2862
mnf,Latn,mnf_Latn,Mundani,̧,Mn,COMBINING CEDILLA,3011,3,"2013,2014,2017",182,76,2753
mnf,Latn,mnf_Latn,Mundani,̀,Mn,COMBINING GRAVE ACCENT,2815,3,"2013,2014,2017",183,84,2548
mnf,Latn,mnf_Latn,Mundani,w,Ll,LATIN SMALL LETTER W,2638,3,"2013,2014,2017",265,56,2317
mnf,Latn,mnf_Latn,Mundani,s,Ll,LATIN SMALL LETTER S,2497,3,"2013,2014,2017",236,51,2210
mnf,Latn,mnf_Latn,Mundani,ˈ,Lm,MODIFIER LETTER VERTICAL LINE,2297,3,"2013,2014,2017",145,77,2075
mnf,Latn,mnf_Latn,Mundani,",",Po,COMMA,2169,3,"2013,2014,2017",185,61,1923
mnf,Latn,mnf_Latn,Mundani,g,Ll,LATIN SMALL LETTER G,2100,3,"2013,2014,2017",115,49,1936
