iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
mni,Mtei,mni_Mtei,Manipuri, ,Zs,SPACE,53277,6,"2019,2020,2021,2022,2023,2024",202,723,882,5799,29911,15760
mni,Mtei,mni_Mtei,Manipuri,ꯤ,Mc,MEETEI MAYEK VOWEL SIGN INAP,27941,6,"2019,2020,2021,2022,2023,2024",103,269,477,3141,15766,8185
mni,Mtei,mni_Mtei,Manipuri,ꯥ,Mn,MEETEI MAYEK VOWEL SIGN ANAP,26844,6,"2019,2020,2021,2022,2023,2024",71,116,327,2352,16844,7134
mni,Mtei,mni_Mtei,Manipuri,ꯁ,Lo,MEETEI MAYEK LETTER SAM,15939,6,"2019,2020,2021,2022,2023,2024",59,130,236,1632,9174,4708
mni,Mtei,mni_Mtei,Manipuri,ꯃ,Lo,MEETEI MAYEK LETTER MIT,14930,6,"2019,2020,2021,2022,2023,2024",36,67,200,1337,8612,4678
mni,Mtei,mni_Mtei,Manipuri,ꯅ,Lo,MEETEI MAYEK LETTER NA,13532,6,"2019,2020,2021,2022,2023,2024",53,88,178,1381,7620,4212
mni,Mtei,mni_Mtei,Manipuri,ꯑ,Lo,MEETEI MAYEK LETTER ATIYA,12669,6,"2019,2020,2021,2022,2023,2024",24,40,156,1123,7215,4111
mni,Mtei,mni_Mtei,Manipuri,ꯗ,Lo,MEETEI MAYEK LETTER DIL,10958,6,"2019,2020,2021,2022,2023,2024",28,71,96,947,6722,3094
mni,Mtei,mni_Mtei,Manipuri,ꯔ,Lo,MEETEI MAYEK LETTER RAI,10541,6,"2019,2020,2021,2022,2023,2024",17,58,171,1072,6400,2823
mni,Mtei,mni_Mtei,Manipuri,ꯕ,Lo,MEETEI MAYEK LETTER BA,10426,6,"2019,2020,2021,2022,2023,2024",47,106,133,1036,6091,3013
mni,Mtei,mni_Mtei,Manipuri,ꯨ,Mn,MEETEI MAYEK VOWEL SIGN UNAP,10296,6,"2019,2020,2021,2022,2023,2024",26,57,151,1051,5629,3382
mni,Mtei,mni_Mtei,Manipuri,ꯣ,Mc,MEETEI MAYEK VOWEL SIGN ONAP,10101,6,"2019,2020,2021,2022,2023,2024",41,60,146,985,5922,2947
mni,Mtei,mni_Mtei,Manipuri,ꯦ,Mc,MEETEI MAYEK VOWEL SIGN YENAP,9898,6,"2019,2020,2021,2022,2023,2024",12,30,118,911,6036,2791
mni,Mtei,mni_Mtei,Manipuri,ꯡ,Lo,MEETEI MAYEK LETTER NGOU LONSUM,9158,6,"2019,2020,2021,2022,2023,2024",57,82,117,969,5184,2749
mni,Mtei,mni_Mtei,Manipuri,ꯇ,Lo,MEETEI MAYEK LETTER TIL,8993,6,"2019,2020,2021,2022,2023,2024",13,56,148,694,5583,2499
mni,Mtei,mni_Mtei,Manipuri,ꯒ,Lo,MEETEI MAYEK LETTER GOK,8308,6,"2019,2020,2021,2022,2023,2024",22,61,129,898,5054,2144
