iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2021_frequency
moa,Latn,moa_Latn,Mwan, ,Zs,SPACE,4586,2,"2019,2021",2883,1703
moa,Latn,moa_Latn,Mwan,a,Ll,LATIN SMALL LETTER A,2431,2,"2019,2021",1578,853
moa,Latn,moa_Latn,Mwan,',Po,APOSTROPHE,2031,2,"2019,2021",1223,808
moa,Latn,moa_Latn,Mwan,ɛ,Ll,LATIN SMALL LETTER OPEN E,1676,2,"2019,2021",1072,604
moa,Latn,moa_Latn,Mwan,‐,Pd,HYPHEN,1283,2,"2019,2021",755,528
moa,Latn,moa_Latn,Mwan,e,Ll,LATIN SMALL LETTER E,1123,2,"2019,2021",747,376
moa,Latn,moa_Latn,Mwan,l,Ll,LATIN SMALL LETTER L,1033,2,"2019,2021",699,334
moa,Latn,moa_Latn,Mwan,i,Ll,LATIN SMALL LETTER I,935,2,"2019,2021",629,306
moa,Latn,moa_Latn,Mwan,n,Ll,LATIN SMALL LETTER N,837,2,"2019,2021",496,341
moa,Latn,moa_Latn,Mwan,b,Ll,LATIN SMALL LETTER B,673,2,"2019,2021",425,248
moa,Latn,moa_Latn,Mwan,k,Ll,LATIN SMALL LETTER K,529,2,"2019,2021",332,197
moa,Latn,moa_Latn,Mwan,y,Ll,LATIN SMALL LETTER Y,516,2,"2019,2021",358,158
moa,Latn,moa_Latn,Mwan,m,Ll,LATIN SMALL LETTER M,481,2,"2019,2021",286,195
moa,Latn,moa_Latn,Mwan,u,Ll,LATIN SMALL LETTER U,477,2,"2019,2021",344,133
moa,Latn,moa_Latn,Mwan,h,Ll,LATIN SMALL LETTER H,473,2,"2019,2021",304,169
moa,Latn,moa_Latn,Mwan,ɔ,Ll,LATIN SMALL LETTER OPEN O,459,2,"2019,2021",267,192
moa,Latn,moa_Latn,Mwan,o,Ll,LATIN SMALL LETTER O,454,2,"2019,2021",255,199
moa,Latn,moa_Latn,Mwan,z,Ll,LATIN SMALL LETTER Z,300,2,"2019,2021",198,102
moa,Latn,moa_Latn,Mwan,g,Ll,LATIN SMALL LETTER G,281,2,"2019,2021",183,98
moa,Latn,moa_Latn,Mwan,d,Ll,LATIN SMALL LETTER D,276,2,"2019,2021",171,105
moa,Latn,moa_Latn,Mwan,r,Ll,LATIN SMALL LETTER R,258,2,"2019,2021",172,86
moa,Latn,moa_Latn,Mwan,s,Ll,LATIN SMALL LETTER S,256,2,"2019,2021",177,79
moa,Latn,moa_Latn,Mwan,p,Ll,LATIN SMALL LETTER P,240,2,"2019,2021",126,114
moa,Latn,moa_Latn,Mwan,w,Ll,LATIN SMALL LETTER W,224,2,"2019,2021",131,93
moa,Latn,moa_Latn,Mwan,",",Po,COMMA,222,2,"2019,2021",138,84
moa,Latn,moa_Latn,Mwan,t,Ll,LATIN SMALL LETTER T,221,2,"2019,2021",149,72
moa,Latn,moa_Latn,Mwan,.,Po,FULL STOP,218,2,"2019,2021",144,74
moa,Latn,moa_Latn,Mwan,-,Pd,HYPHEN-MINUS,198,2,"2019,2021",188,10
moa,Latn,moa_Latn,Mwan,Z,Lu,LATIN CAPITAL LETTER Z,139,2,"2019,2021",127,12
moa,Latn,moa_Latn,Mwan,ŋ,Ll,LATIN SMALL LETTER ENG,114,2,"2019,2021",66,48
moa,Latn,moa_Latn,Mwan,;,Po,SEMICOLON,101,2,"2019,2021",78,23
