iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2017_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
moh,Latn,moh_Latn,Mohawk, ,Zs,SPACE,48365,7,"2013,2017,2019,2020,2021,2022,2023",2651,1996,6792,18150,16912,1355,509
moh,Latn,moh_Latn,Mohawk,e,Ll,LATIN SMALL LETTER E,43078,7,"2013,2017,2019,2020,2021,2022,2023",2636,2238,5882,17147,13637,1157,381
moh,Latn,moh_Latn,Mohawk,n,Ll,LATIN SMALL LETTER N,35479,7,"2013,2017,2019,2020,2021,2022,2023",3749,2829,5767,10415,11485,764,470
moh,Latn,moh_Latn,Mohawk,a,Ll,LATIN SMALL LETTER A,35333,7,"2013,2017,2019,2020,2021,2022,2023",2548,2164,5124,13950,10264,918,365
moh,Latn,moh_Latn,Mohawk,h,Ll,LATIN SMALL LETTER H,26881,7,"2013,2017,2019,2020,2021,2022,2023",1151,1076,4373,10176,9142,735,228
moh,Latn,moh_Latn,Mohawk,o,Ll,LATIN SMALL LETTER O,25045,7,"2013,2017,2019,2020,2021,2022,2023",2111,1529,3837,9246,7401,659,262
moh,Latn,moh_Latn,Mohawk,t,Ll,LATIN SMALL LETTER T,21130,7,"2013,2017,2019,2020,2021,2022,2023",1799,1447,2781,8001,6296,508,298
moh,Latn,moh_Latn,Mohawk,i,Ll,LATIN SMALL LETTER I,17061,7,"2013,2017,2019,2020,2021,2022,2023",2042,1343,2214,5781,5075,426,180
moh,Latn,moh_Latn,Mohawk,s,Ll,LATIN SMALL LETTER S,16772,7,"2013,2017,2019,2020,2021,2022,2023",1261,1086,2428,6353,5053,415,176
moh,Latn,moh_Latn,Mohawk,r,Ll,LATIN SMALL LETTER R,13554,7,"2013,2017,2019,2020,2021,2022,2023",779,727,2230,5242,4078,347,151
moh,Latn,moh_Latn,Mohawk,w,Ll,LATIN SMALL LETTER W,11094,7,"2013,2017,2019,2020,2021,2022,2023",1047,728,1649,3676,3630,271,93
moh,Latn,moh_Latn,Mohawk,g,Ll,LATIN SMALL LETTER G,10608,7,"2013,2017,2019,2020,2021,2022,2023",729,56,1826,3950,3715,301,31
moh,Latn,moh_Latn,Mohawk,k,Ll,LATIN SMALL LETTER K,10505,7,"2013,2017,2019,2020,2021,2022,2023",840,1098,1591,3651,2932,231,162
moh,Latn,moh_Latn,Mohawk,y,Ll,LATIN SMALL LETTER Y,9271,7,"2013,2017,2019,2020,2021,2022,2023",127,259,1537,4181,2839,244,84
moh,Latn,moh_Latn,Mohawk,d,Ll,LATIN SMALL LETTER D,8025,7,"2013,2017,2019,2020,2021,2022,2023",18,26,1213,3247,3207,270,44
