iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
mqj,Latn,mqj_Latn,Mamasa,a,Ll,LATIN SMALL LETTER A,121011,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",2192,230,2572,1204,27216,9095,3817,670,74015
mqj,Latn,mqj_Latn,Mamasa, ,Zs,SPACE,82486,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",1477,197,1850,846,17690,6214,2462,509,51241
mqj,Latn,mqj_Latn,Mamasa,n,Ll,LATIN SMALL LETTER N,61914,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",1092,130,1126,594,14119,4376,1784,397,38296
mqj,Latn,mqj_Latn,Mamasa,u,Ll,LATIN SMALL LETTER U,32418,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",544,68,763,275,7131,2184,1019,150,20284
mqj,Latn,mqj_Latn,Mamasa,i,Ll,LATIN SMALL LETTER I,28327,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",582,75,645,339,5650,2168,808,227,17833
mqj,Latn,mqj_Latn,Mamasa,l,Ll,LATIN SMALL LETTER L,27722,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",465,53,455,220,6460,2335,932,153,16649
mqj,Latn,mqj_Latn,Mamasa,o,Ll,LATIN SMALL LETTER O,26197,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",474,37,500,276,5710,1885,900,187,16228
mqj,Latn,mqj_Latn,Mamasa,m,Ll,LATIN SMALL LETTER M,25412,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",444,49,514,218,5111,1789,841,160,16286
mqj,Latn,mqj_Latn,Mamasa,e,Ll,LATIN SMALL LETTER E,24362,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",455,58,555,273,5074,1939,615,200,15193
mqj,Latn,mqj_Latn,Mamasa,k,Ll,LATIN SMALL LETTER K,21873,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",349,43,429,262,4867,1568,755,128,13472
mqj,Latn,mqj_Latn,Mamasa,s,Ll,LATIN SMALL LETTER S,20920,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",415,39,408,202,4741,1899,631,85,12500
mqj,Latn,mqj_Latn,Mamasa,t,Ll,LATIN SMALL LETTER T,20564,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",378,47,459,190,4497,1453,605,132,12803
mqj,Latn,mqj_Latn,Mamasa,g,Ll,LATIN SMALL LETTER G,18162,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",306,51,335,140,4060,1516,628,76,11050
mqj,Latn,mqj_Latn,Mamasa,',Po,APOSTROPHE,17090,8,"2014,2016,2018,2019,2020,2021,2022,2023",269,13,0,99,3799,1417,712,83,10698
mqj,Latn,mqj_Latn,Mamasa,p,Ll,LATIN SMALL LETTER P,14202,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",229,14,269,125,3231,1000,475,76,8783
mqj,Latn,mqj_Latn,Mamasa,d,Ll,LATIN SMALL LETTER D,11669,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",243,21,293,241,2572,832,282,94,7091
mqj,Latn,mqj_Latn,Mamasa,r,Ll,LATIN SMALL LETTER R,11602,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",187,51,306,129,2917,1094,394,79,6445
mqj,Latn,mqj_Latn,Mamasa,b,Ll,LATIN SMALL LETTER B,7635,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",140,10,180,128,1367,422,160,67,5161
