iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency
mse,Latn,mse_Latn,Musey, ,Zs,SPACE,2059,1,2019,2059
mse,Latn,mse_Latn,Musey,a,Ll,LATIN SMALL LETTER A,1593,1,2019,1593
mse,Latn,mse_Latn,Musey,i,Ll,LATIN SMALL LETTER I,790,1,2019,790
mse,Latn,mse_Latn,Musey,n,Ll,LATIN SMALL LETTER N,688,1,2019,688
mse,Latn,mse_Latn,Musey,u,Ll,LATIN SMALL LETTER U,593,1,2019,593
mse,Latn,mse_Latn,Musey,m,Ll,LATIN SMALL LETTER M,405,1,2019,405
mse,Latn,mse_Latn,Musey,o,Ll,LATIN SMALL LETTER O,324,1,2019,324
mse,Latn,mse_Latn,Musey,s,Ll,LATIN SMALL LETTER S,323,1,2019,323
mse,Latn,mse_Latn,Musey,k,Ll,LATIN SMALL LETTER K,311,1,2019,311
mse,Latn,mse_Latn,Musey,l,Ll,LATIN SMALL LETTER L,308,1,2019,308
mse,Latn,mse_Latn,Musey,y,Ll,LATIN SMALL LETTER Y,285,1,2019,285
mse,Latn,mse_Latn,Musey,e,Ll,LATIN SMALL LETTER E,265,1,2019,265
mse,Latn,mse_Latn,Musey,r,Ll,LATIN SMALL LETTER R,216,1,2019,216
mse,Latn,mse_Latn,Musey,g,Ll,LATIN SMALL LETTER G,210,1,2019,210
mse,Latn,mse_Latn,Musey,d,Ll,LATIN SMALL LETTER D,194,1,2019,194
mse,Latn,mse_Latn,Musey,t,Ll,LATIN SMALL LETTER T,168,1,2019,168
mse,Latn,mse_Latn,Musey,",",Po,COMMA,164,1,2019,164
mse,Latn,mse_Latn,Musey,ɗ,Ll,LATIN SMALL LETTER D WITH HOOK,160,1,2019,160
mse,Latn,mse_Latn,Musey,h,Ll,LATIN SMALL LETTER H,154,1,2019,154
mse,Latn,mse_Latn,Musey,.,Po,FULL STOP,141,1,2019,141
mse,Latn,mse_Latn,Musey,ŋ,Ll,LATIN SMALL LETTER ENG,132,1,2019,132
mse,Latn,mse_Latn,Musey,b,Ll,LATIN SMALL LETTER B,114,1,2019,114
mse,Latn,mse_Latn,Musey,w,Ll,LATIN SMALL LETTER W,90,1,2019,90
mse,Latn,mse_Latn,Musey,f,Ll,LATIN SMALL LETTER F,73,1,2019,73
mse,Latn,mse_Latn,Musey,j,Ll,LATIN SMALL LETTER J,59,1,2019,59
mse,Latn,mse_Latn,Musey,L,Lu,LATIN CAPITAL LETTER L,57,1,2019,57
mse,Latn,mse_Latn,Musey,z,Ll,LATIN SMALL LETTER Z,55,1,2019,55
mse,Latn,mse_Latn,Musey,1,Nd,DIGIT ONE,52,1,2019,52
mse,Latn,mse_Latn,Musey,v,Ll,LATIN SMALL LETTER V,47,1,2019,47
mse,Latn,mse_Latn,Musey,c,Ll,LATIN SMALL LETTER C,44,1,2019,44
mse,Latn,mse_Latn,Musey,Y,Lu,LATIN CAPITAL LETTER Y,39,1,2019,39
mse,Latn,mse_Latn,Musey,2,Nd,DIGIT TWO,37,1,2019,37
mse,Latn,mse_Latn,Musey,A,Lu,LATIN CAPITAL LETTER A,32,1,2019,32
mse,Latn,mse_Latn,Musey,N,Lu,LATIN CAPITAL LETTER N,31,1,2019,31
mse,Latn,mse_Latn,Musey,»,Pf,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,27,1,2019,27
mse,Latn,mse_Latn,Musey,«,Pi,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,27,1,2019,27
mse,Latn,mse_Latn,Musey,p,Ll,LATIN SMALL LETTER P,26,1,2019,26
mse,Latn,mse_Latn,Musey,ɓ,Ll,LATIN SMALL LETTER B WITH HOOK,24,1,2019,24
mse,Latn,mse_Latn,Musey,ɦ,Ll,LATIN SMALL LETTER H WITH HOOK,24,1,2019,24
