iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
mti,Latn,mti_Latn,Maiwa (Papua New Guinea), ,Zs,SPACE,199641,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",851,514,2361,133958,44232,11664,2645,544,2872
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),a,Ll,LATIN SMALL LETTER A,178674,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",801,511,2205,115483,43006,11016,2482,521,2649
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),e,Ll,LATIN SMALL LETTER E,100020,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",430,256,1176,69346,20478,5492,1187,251,1404
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),i,Ll,LATIN SMALL LETTER I,76606,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",336,205,868,50865,17541,4522,1030,231,1008
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),n,Ll,LATIN SMALL LETTER N,76180,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",297,185,1000,50632,17048,4518,1059,197,1244
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),m,Ll,LATIN SMALL LETTER M,55572,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",267,186,697,36023,13144,3526,833,167,729
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),u,Ll,LATIN SMALL LETTER U,53800,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",291,172,806,33951,13264,3464,777,195,880
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),o,Ll,LATIN SMALL LETTER O,44483,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",165,100,430,31042,9254,2256,523,101,612
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),w,Ll,LATIN SMALL LETTER W,43682,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",211,136,545,28517,10354,2634,597,135,553
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),g,Ll,LATIN SMALL LETTER G,34614,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",169,103,430,22216,8576,2002,474,117,527
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),y,Ll,LATIN SMALL LETTER Y,34038,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",172,98,340,21752,8465,2123,438,98,552
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),r,Ll,LATIN SMALL LETTER R,32217,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",122,76,238,24114,5578,1371,356,65,297
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),t,Ll,LATIN SMALL LETTER T,31299,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",93,54,323,22681,5846,1471,355,68,408
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),s,Ll,LATIN SMALL LETTER S,24517,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",86,46,165,19620,3363,757,222,58,200
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),d,Ll,LATIN SMALL LETTER D,23975,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",115,48,300,16600,4813,1390,283,65,361
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),p,Ll,LATIN SMALL LETTER P,20906,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",97,40,196,13657,4902,1347,260,53,354
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),b,Ll,LATIN SMALL LETTER B,20102,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",73,55,338,13652,4322,1120,244,45,253
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),.,Po,FULL STOP,15998,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",92,37,225,10695,3571,901,211,45,221
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),k,Ll,LATIN SMALL LETTER K,15475,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",73,29,197,10129,3621,957,190,36,243
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),v,Ll,LATIN SMALL LETTER V,13160,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",71,33,111,8906,2913,755,175,38,158
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),",",Po,COMMA,12396,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",49,27,155,8479,2582,695,139,45,225
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),h,Ll,LATIN SMALL LETTER H,7407,2,"2017,2018",0,0,9,7398,0,0,0,0,0
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),M,Lu,LATIN CAPITAL LETTER M,6212,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",66,24,77,3899,1540,398,102,24,82
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),1,Nd,DIGIT ONE,5680,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",38,24,64,3029,1845,457,89,14,120
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),G,Lu,LATIN CAPITAL LETTER G,5147,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",9,7,124,3392,1297,196,63,6,53
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),l,Ll,LATIN SMALL LETTER L,4054,3,"2014,2017,2018",1,0,2,4051,0,0,0,0,0
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),2,Nd,DIGIT TWO,3532,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",30,17,31,1795,1203,304,79,11,62
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),I,Lu,LATIN CAPITAL LETTER I,3432,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",18,20,19,2620,569,109,42,19,16
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),c,Ll,LATIN SMALL LETTER C,3410,1,2018,0,0,0,3410,0,0,0,0,0
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),S,Lu,LATIN CAPITAL LETTER S,3230,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",14,5,16,2590,444,105,28,1,27
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),K,Lu,LATIN CAPITAL LETTER K,3182,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",9,6,48,2147,738,158,40,7,29
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),N,Lu,LATIN CAPITAL LETTER N,3143,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",6,1,37,2208,565,211,41,7,67
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),T,Lu,LATIN CAPITAL LETTER T,2926,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",1,5,4,2588,256,41,7,4,20
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),A,Lu,LATIN CAPITAL LETTER A,2812,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",10,2,10,1634,881,171,45,11,48
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),V,Lu,LATIN CAPITAL LETTER V,2185,6,"2014,2016,2018,2019,2020,2021",1,1,0,2159,17,6,1,0,0
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),E,Lu,LATIN CAPITAL LETTER E,2176,8,"2014,2016,2018,2019,2020,2021,2022,2023",2,1,0,1899,211,26,29,7,1
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),',Po,APOSTROPHE,2020,1,2018,0,0,0,2020,0,0,0,0,0
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),3,Nd,DIGIT THREE,2016,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",18,6,12,1005,703,192,46,3,31
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),f,Ll,LATIN SMALL LETTER F,1900,2,"2014,2018",1,0,0,1899,0,0,0,0,0
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),P,Lu,LATIN CAPITAL LETTER P,1881,8,"2014,2017,2018,2019,2020,2021,2022,2023",3,0,3,1227,472,110,13,6,47
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),J,Lu,LATIN CAPITAL LETTER J,1659,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",11,9,7,1109,390,84,24,4,21
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),4,Nd,DIGIT FOUR,1566,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",20,7,12,783,547,135,35,3,24
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),:,Po,COLON,1436,8,"2014,2016,2017,2018,2019,2020,2021,2023",14,11,2,237,880,204,42,0,46
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),Y,Lu,LATIN CAPITAL LETTER Y,1326,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",10,1,10,943,257,61,20,2,22
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),5,Nd,DIGIT FIVE,1300,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",14,5,11,626,463,118,32,3,28
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),U,Lu,LATIN CAPITAL LETTER U,1263,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",2,5,31,1064,127,15,7,7,5
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),0,Nd,DIGIT ZERO,1247,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",7,5,9,751,324,108,26,2,15
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),x,Ll,LATIN SMALL LETTER X,1193,1,2018,0,0,0,1193,0,0,0,0,0
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),6,Nd,DIGIT SIX,1087,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",9,10,10,518,401,91,23,4,21
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),8,Nd,DIGIT EIGHT,1083,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",6,4,10,637,314,72,21,2,17
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),B,Lu,LATIN CAPITAL LETTER B,1069,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",4,5,25,799,176,38,9,3,10
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),D,Lu,LATIN CAPITAL LETTER D,1064,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",3,2,23,765,200,48,15,2,6
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),H,Lu,LATIN CAPITAL LETTER H,1045,1,2018,0,0,0,1045,0,0,0,0,0
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),7,Nd,DIGIT SEVEN,1044,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",6,7,10,557,342,82,17,4,19
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),“,Pi,LEFT DOUBLE QUOTATION MARK,996,8,"2014,2016,2017,2018,2019,2020,2021,2023",14,11,8,678,215,56,5,0,9
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),”,Pf,RIGHT DOUBLE QUOTATION MARK,988,8,"2014,2016,2017,2018,2019,2020,2021,2023",14,10,8,673,213,56,5,0,9
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),✡,So,STAR OF DAVID,936,5,"2019,2020,2021,2022,2023",0,0,0,0,685,149,60,9,33
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),9,Nd,DIGIT NINE,896,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",9,5,10,438,312,78,23,2,19
mti,Latn,mti_Latn,Maiwa (Papua New Guinea),?,Po,QUESTION MARK,763,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",7,3,4,530,131,49,16,8,15
