iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2021_frequency
mwm,Latn,mwm_Latn,Sar, ,Zs,SPACE,3907,2,"2014,2021",1958,1949
mwm,Latn,mwm_Latn,Sar,ə,Ll,LATIN SMALL LETTER SCHWA,1362,2,"2014,2021",669,693
mwm,Latn,mwm_Latn,Sar,n,Ll,LATIN SMALL LETTER N,1290,2,"2014,2021",648,642
mwm,Latn,mwm_Latn,Sar,a,Ll,LATIN SMALL LETTER A,1109,2,"2014,2021",561,548
mwm,Latn,mwm_Latn,Sar,̄,Mn,COMBINING MACRON,857,2,"2014,2021",413,444
mwm,Latn,mwm_Latn,Sar,k,Ll,LATIN SMALL LETTER K,659,2,"2014,2021",313,346
mwm,Latn,mwm_Latn,Sar,d,Ll,LATIN SMALL LETTER D,610,2,"2014,2021",258,352
mwm,Latn,mwm_Latn,Sar,́,Mn,COMBINING ACUTE ACCENT,573,2,"2014,2021",260,313
mwm,Latn,mwm_Latn,Sar,g,Ll,LATIN SMALL LETTER G,525,2,"2014,2021",255,270
mwm,Latn,mwm_Latn,Sar,t,Ll,LATIN SMALL LETTER T,504,2,"2014,2021",263,241
mwm,Latn,mwm_Latn,Sar,ā,Ll,LATIN SMALL LETTER A WITH MACRON,438,2,"2014,2021",199,239
mwm,Latn,mwm_Latn,Sar,ɔ,Ll,LATIN SMALL LETTER OPEN O,406,2,"2014,2021",145,261
mwm,Latn,mwm_Latn,Sar,e,Ll,LATIN SMALL LETTER E,405,2,"2014,2021",226,179
mwm,Latn,mwm_Latn,Sar,i,Ll,LATIN SMALL LETTER I,367,2,"2014,2021",199,168
mwm,Latn,mwm_Latn,Sar,̰,Mn,COMBINING TILDE BELOW,339,2,"2014,2021",183,156
mwm,Latn,mwm_Latn,Sar,r,Ll,LATIN SMALL LETTER R,320,2,"2014,2021",147,173
mwm,Latn,mwm_Latn,Sar,m,Ll,LATIN SMALL LETTER M,318,2,"2014,2021",156,162
mwm,Latn,mwm_Latn,Sar,ō,Ll,LATIN SMALL LETTER O WITH MACRON,251,2,"2014,2021",117,134
mwm,Latn,mwm_Latn,Sar,l,Ll,LATIN SMALL LETTER L,244,2,"2014,2021",135,109
mwm,Latn,mwm_Latn,Sar,.,Po,FULL STOP,241,2,"2014,2021",115,126
mwm,Latn,mwm_Latn,Sar,á,Ll,LATIN SMALL LETTER A WITH ACUTE,239,2,"2014,2021",114,125
mwm,Latn,mwm_Latn,Sar,o,Ll,LATIN SMALL LETTER O,229,2,"2014,2021",130,99
mwm,Latn,mwm_Latn,Sar,ī,Ll,LATIN SMALL LETTER I WITH MACRON,218,2,"2014,2021",86,132
mwm,Latn,mwm_Latn,Sar,",",Po,COMMA,209,2,"2014,2021",101,108
mwm,Latn,mwm_Latn,Sar,j,Ll,LATIN SMALL LETTER J,207,2,"2014,2021",136,71
mwm,Latn,mwm_Latn,Sar,í,Ll,LATIN SMALL LETTER I WITH ACUTE,197,2,"2014,2021",90,107
mwm,Latn,mwm_Latn,Sar,y,Ll,LATIN SMALL LETTER Y,194,2,"2014,2021",106,88
mwm,Latn,mwm_Latn,Sar,é,Ll,LATIN SMALL LETTER E WITH ACUTE,170,2,"2014,2021",102,68
mwm,Latn,mwm_Latn,Sar,ɓ,Ll,LATIN SMALL LETTER B WITH HOOK,161,2,"2014,2021",52,109
mwm,Latn,mwm_Latn,Sar,u,Ll,LATIN SMALL LETTER U,156,2,"2014,2021",94,62
mwm,Latn,mwm_Latn,Sar,b,Ll,LATIN SMALL LETTER B,152,2,"2014,2021",71,81
mwm,Latn,mwm_Latn,Sar,ē,Ll,LATIN SMALL LETTER E WITH MACRON,151,2,"2014,2021",62,89
mwm,Latn,mwm_Latn,Sar,-,Pd,HYPHEN-MINUS,149,2,"2014,2021",78,71
mwm,Latn,mwm_Latn,Sar,N,Lu,LATIN CAPITAL LETTER N,137,2,"2014,2021",76,61
mwm,Latn,mwm_Latn,Sar,ń,Ll,LATIN SMALL LETTER N WITH ACUTE,125,2,"2014,2021",66,59
mwm,Latn,mwm_Latn,Sar,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,117,2,"2014,2021",62,55
mwm,Latn,mwm_Latn,Sar,s,Ll,LATIN SMALL LETTER S,111,2,"2014,2021",50,61
mwm,Latn,mwm_Latn,Sar,1,Nd,DIGIT ONE,95,2,"2014,2021",54,41
mwm,Latn,mwm_Latn,Sar,K,Lu,LATIN CAPITAL LETTER K,90,2,"2014,2021",32,58
mwm,Latn,mwm_Latn,Sar,2,Nd,DIGIT TWO,66,2,"2014,2021",33,33
mwm,Latn,mwm_Latn,Sar,:,Po,COLON,62,2,"2014,2021",37,25
mwm,Latn,mwm_Latn,Sar,J,Lu,LATIN CAPITAL LETTER J,59,1,2014,59,0
mwm,Latn,mwm_Latn,Sar,ḿ,Ll,LATIN SMALL LETTER M WITH ACUTE,52,2,"2014,2021",26,26
mwm,Latn,mwm_Latn,Sar,A,Lu,LATIN CAPITAL LETTER A,51,2,"2014,2021",22,29
mwm,Latn,mwm_Latn,Sar,*,Po,ASTERISK,48,2,"2014,2021",42,6
mwm,Latn,mwm_Latn,Sar,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,43,2,"2014,2021",32,11
mwm,Latn,mwm_Latn,Sar,ý,Ll,LATIN SMALL LETTER Y WITH ACUTE,42,2,"2014,2021",20,22
mwm,Latn,mwm_Latn,Sar,3,Nd,DIGIT THREE,37,2,"2014,2021",24,13
mwm,Latn,mwm_Latn,Sar,ū,Ll,LATIN SMALL LETTER U WITH MACRON,36,2,"2014,2021",23,13
