iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
mwn,Latn,mwn_Latn,Nyamwanga, ,Zs,SPACE,68978,6,"2017,2018,2019,2022,2023,2024",248,18584,29843,15927,65,4311
mwn,Latn,mwn_Latn,Nyamwanga,a,Ll,LATIN SMALL LETTER A,65270,6,"2017,2018,2019,2022,2023,2024",162,17973,28372,14641,46,4076
mwn,Latn,mwn_Latn,Nyamwanga,i,Ll,LATIN SMALL LETTER I,41341,6,"2017,2018,2019,2022,2023,2024",107,9026,19169,10388,57,2594
mwn,Latn,mwn_Latn,Nyamwanga,u,Ll,LATIN SMALL LETTER U,32826,6,"2017,2018,2019,2022,2023,2024",50,6924,15359,8226,42,2225
mwn,Latn,mwn_Latn,Nyamwanga,n,Ll,LATIN SMALL LETTER N,31381,6,"2017,2018,2019,2022,2023,2024",130,8512,13357,7519,22,1841
mwn,Latn,mwn_Latn,Nyamwanga,w,Ll,LATIN SMALL LETTER W,27894,6,"2017,2018,2019,2022,2023,2024",36,8016,11712,6321,22,1787
mwn,Latn,mwn_Latn,Nyamwanga,l,Ll,LATIN SMALL LETTER L,21918,6,"2017,2018,2019,2022,2023,2024",44,5703,9254,5560,29,1328
mwn,Latn,mwn_Latn,Nyamwanga,e,Ll,LATIN SMALL LETTER E,20875,6,"2017,2018,2019,2022,2023,2024",65,4278,9611,5307,33,1581
mwn,Latn,mwn_Latn,Nyamwanga,k,Ll,LATIN SMALL LETTER K,19651,6,"2017,2018,2019,2022,2023,2024",44,4474,8893,4834,16,1390
mwn,Latn,mwn_Latn,Nyamwanga,o,Ll,LATIN SMALL LETTER O,18519,6,"2017,2018,2019,2022,2023,2024",90,4496,8330,4413,17,1173
mwn,Latn,mwn_Latn,Nyamwanga,m,Ll,LATIN SMALL LETTER M,15820,6,"2017,2018,2019,2022,2023,2024",26,4325,7098,3446,14,911
mwn,Latn,mwn_Latn,Nyamwanga,y,Ll,LATIN SMALL LETTER Y,13394,6,"2017,2018,2019,2022,2023,2024",19,3072,6397,2863,15,1028
mwn,Latn,mwn_Latn,Nyamwanga,t,Ll,LATIN SMALL LETTER T,11735,6,"2017,2018,2019,2022,2023,2024",45,2399,5461,3024,5,801
mwn,Latn,mwn_Latn,Nyamwanga,s,Ll,LATIN SMALL LETTER S,7984,6,"2017,2018,2019,2022,2023,2024",35,1990,3661,1712,17,569
mwn,Latn,mwn_Latn,Nyamwanga,z,Ll,LATIN SMALL LETTER Z,7669,6,"2017,2018,2019,2022,2023,2024",17,1573,3411,2029,5,634
mwn,Latn,mwn_Latn,Nyamwanga,p,Ll,LATIN SMALL LETTER P,7289,6,"2017,2018,2019,2022,2023,2024",15,1719,3300,1810,1,444
mwn,Latn,mwn_Latn,Nyamwanga,v,Ll,LATIN SMALL LETTER V,6638,6,"2017,2018,2019,2022,2023,2024",66,797,3487,1740,17,531
mwn,Latn,mwn_Latn,Nyamwanga,.,Po,FULL STOP,6146,6,"2017,2018,2019,2022,2023,2024",8,2287,2117,1356,3,375
mwn,Latn,mwn_Latn,Nyamwanga,c,Ll,LATIN SMALL LETTER C,5889,5,"2017,2018,2019,2022,2024",23,1399,2627,1474,0,366
