iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2017_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2024_frequency
mwp,Latn,mwp_Latn,Kala Lagaw Ya,a,Ll,LATIN SMALL LETTER A,120654,6,"2014,2017,2019,2020,2021,2024",118,95733,1423,1372,4459,17549
mwp,Latn,mwp_Latn,Kala Lagaw Ya, ,Zs,SPACE,92856,6,"2014,2017,2019,2020,2021,2024",82,73139,1199,1171,3531,13734
mwp,Latn,mwp_Latn,Kala Lagaw Ya,n,Ll,LATIN SMALL LETTER N,52435,6,"2014,2017,2019,2020,2021,2024",36,41664,623,667,1965,7480
mwp,Latn,mwp_Latn,Kala Lagaw Ya,g,Ll,LATIN SMALL LETTER G,38145,6,"2014,2017,2019,2020,2021,2024",20,30356,460,443,1260,5606
mwp,Latn,mwp_Latn,Kala Lagaw Ya,u,Ll,LATIN SMALL LETTER U,35152,6,"2014,2017,2019,2020,2021,2024",24,27549,529,490,1395,5165
mwp,Latn,mwp_Latn,Kala Lagaw Ya,y,Ll,LATIN SMALL LETTER Y,34530,6,"2014,2017,2019,2020,2021,2024",35,27082,493,468,1372,5080
mwp,Latn,mwp_Latn,Kala Lagaw Ya,h,Ll,LATIN SMALL LETTER H,30758,6,"2014,2017,2019,2020,2021,2024",27,24405,468,315,1224,4319
mwp,Latn,mwp_Latn,Kala Lagaw Ya,i,Ll,LATIN SMALL LETTER I,30569,6,"2014,2017,2019,2020,2021,2024",21,24077,360,406,1246,4459
mwp,Latn,mwp_Latn,Kala Lagaw Ya,e,Ll,LATIN SMALL LETTER E,27913,6,"2014,2017,2019,2020,2021,2024",23,22076,456,379,1089,3890
mwp,Latn,mwp_Latn,Kala Lagaw Ya,m,Ll,LATIN SMALL LETTER M,25146,6,"2014,2017,2019,2020,2021,2024",27,19887,260,262,931,3779
mwp,Latn,mwp_Latn,Kala Lagaw Ya,d,Ll,LATIN SMALL LETTER D,19436,6,"2014,2017,2019,2020,2021,2024",21,15280,369,254,786,2726
mwp,Latn,mwp_Latn,Kala Lagaw Ya,p,Ll,LATIN SMALL LETTER P,18611,6,"2014,2017,2019,2020,2021,2024",21,14647,224,239,739,2741
mwp,Latn,mwp_Latn,Kala Lagaw Ya,l,Ll,LATIN SMALL LETTER L,18481,6,"2014,2017,2019,2020,2021,2024",26,14672,254,228,669,2632
mwp,Latn,mwp_Latn,Kala Lagaw Ya,k,Ll,LATIN SMALL LETTER K,18098,6,"2014,2017,2019,2020,2021,2024",21,14635,175,215,625,2427
mwp,Latn,mwp_Latn,Kala Lagaw Ya,o,Ll,LATIN SMALL LETTER O,16120,6,"2014,2017,2019,2020,2021,2024",17,12743,325,176,593,2266
mwp,Latn,mwp_Latn,Kala Lagaw Ya,t,Ll,LATIN SMALL LETTER T,14623,6,"2014,2017,2019,2020,2021,2024",6,11755,149,101,581,2031
mwp,Latn,mwp_Latn,Kala Lagaw Ya,b,Ll,LATIN SMALL LETTER B,12544,6,"2014,2017,2019,2020,2021,2024",12,10016,181,148,463,1724
mwp,Latn,mwp_Latn,Kala Lagaw Ya,w,Ll,LATIN SMALL LETTER W,12145,6,"2014,2017,2019,2020,2021,2024",13,9612,166,155,475,1724
mwp,Latn,mwp_Latn,Kala Lagaw Ya,r,Ll,LATIN SMALL LETTER R,11147,6,"2014,2017,2019,2020,2021,2024",8,8735,191,126,429,1658
mwp,Latn,mwp_Latn,Kala Lagaw Ya,",",Po,COMMA,9700,6,"2014,2017,2019,2020,2021,2024",7,7831,82,136,259,1385
mwp,Latn,mwp_Latn,Kala Lagaw Ya,s,Ll,LATIN SMALL LETTER S,7406,5,"2017,2019,2020,2021,2024",0,5826,96,105,297,1082
mwp,Latn,mwp_Latn,Kala Lagaw Ya,.,Po,FULL STOP,6117,6,"2014,2017,2019,2020,2021,2024",4,4778,87,76,283,889
mwp,Latn,mwp_Latn,Kala Lagaw Ya,z,Ll,LATIN SMALL LETTER Z,6104,6,"2014,2017,2019,2020,2021,2024",3,4869,61,59,206,906
mwp,Latn,mwp_Latn,Kala Lagaw Ya,N,Lu,LATIN CAPITAL LETTER N,3134,6,"2014,2017,2019,2020,2021,2024",2,2472,23,53,145,439
mwp,Latn,mwp_Latn,Kala Lagaw Ya,A,Lu,LATIN CAPITAL LETTER A,2386,6,"2014,2017,2019,2020,2021,2024",1,1954,41,29,93,268
mwp,Latn,mwp_Latn,Kala Lagaw Ya,Y,Lu,LATIN CAPITAL LETTER Y,1603,5,"2017,2019,2020,2021,2024",0,1222,1,43,91,246
mwp,Latn,mwp_Latn,Kala Lagaw Ya,1,Nd,DIGIT ONE,1537,5,"2017,2019,2020,2021,2024",0,1125,38,28,75,271
mwp,Latn,mwp_Latn,Kala Lagaw Ya,K,Lu,LATIN CAPITAL LETTER K,1520,5,"2017,2019,2020,2021,2024",0,1226,16,20,56,202
mwp,Latn,mwp_Latn,Kala Lagaw Ya,M,Lu,LATIN CAPITAL LETTER M,1260,5,"2017,2019,2020,2021,2024",0,921,17,29,66,227
mwp,Latn,mwp_Latn,Kala Lagaw Ya,“,Pi,LEFT DOUBLE QUOTATION MARK,1249,5,"2014,2017,2020,2021,2024",2,1205,0,1,7,34
mwp,Latn,mwp_Latn,Kala Lagaw Ya,2,Nd,DIGIT TWO,1220,5,"2017,2019,2020,2021,2024",0,907,24,19,54,216
mwp,Latn,mwp_Latn,Kala Lagaw Ya,”,Pf,RIGHT DOUBLE QUOTATION MARK,939,5,"2014,2017,2020,2021,2024",2,895,0,1,7,34
