iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2017_frequency,year_2023_frequency
mzm,Latn,mzm_Latn,Mumuye, ,Zs,SPACE,28008,3,"2013,2017,2023",714,26715,579
mzm,Latn,mzm_Latn,Mumuye,a,Ll,LATIN SMALL LETTER A,14374,3,"2013,2017,2023",531,13444,399
mzm,Latn,mzm_Latn,Mumuye,ɔ,Ll,LATIN SMALL LETTER OPEN O,9657,3,"2013,2017,2023",118,9390,149
mzm,Latn,mzm_Latn,Mumuye,n,Ll,LATIN SMALL LETTER N,9608,3,"2013,2017,2023",245,9149,214
mzm,Latn,mzm_Latn,Mumuye,ɛ,Ll,LATIN SMALL LETTER OPEN E,6532,3,"2013,2017,2023",139,6256,137
mzm,Latn,mzm_Latn,Mumuye,i,Ll,LATIN SMALL LETTER I,5908,3,"2013,2017,2023",244,5507,157
mzm,Latn,mzm_Latn,Mumuye,g,Ll,LATIN SMALL LETTER G,4960,3,"2013,2017,2023",106,4744,110
mzm,Latn,mzm_Latn,Mumuye,k,Ll,LATIN SMALL LETTER K,4629,3,"2013,2017,2023",94,4447,88
mzm,Latn,mzm_Latn,Mumuye,u,Ll,LATIN SMALL LETTER U,4603,3,"2013,2017,2023",147,4356,100
mzm,Latn,mzm_Latn,Mumuye,ɓ,Ll,LATIN SMALL LETTER B WITH HOOK,3763,3,"2013,2017,2023",77,3619,67
mzm,Latn,mzm_Latn,Mumuye,t,Ll,LATIN SMALL LETTER T,2778,3,"2013,2017,2023",75,2609,94
mzm,Latn,mzm_Latn,Mumuye,r,Ll,LATIN SMALL LETTER R,2624,3,"2013,2017,2023",68,2451,105
mzm,Latn,mzm_Latn,Mumuye,e,Ll,LATIN SMALL LETTER E,2444,3,"2013,2017,2023",91,2288,65
mzm,Latn,mzm_Latn,Mumuye,",",Po,COMMA,2340,3,"2013,2017,2023",74,2219,47
mzm,Latn,mzm_Latn,Mumuye,s,Ll,LATIN SMALL LETTER S,1797,3,"2013,2017,2023",56,1685,56
mzm,Latn,mzm_Latn,Mumuye,z,Ll,LATIN SMALL LETTER Z,1692,3,"2013,2017,2023",59,1607,26
mzm,Latn,mzm_Latn,Mumuye,y,Ll,LATIN SMALL LETTER Y,1599,3,"2013,2017,2023",100,1468,31
mzm,Latn,mzm_Latn,Mumuye,.,Po,FULL STOP,1483,3,"2013,2017,2023",43,1391,49
mzm,Latn,mzm_Latn,Mumuye,w,Ll,LATIN SMALL LETTER W,1436,3,"2013,2017,2023",40,1333,63
mzm,Latn,mzm_Latn,Mumuye,m,Ll,LATIN SMALL LETTER M,1333,3,"2013,2017,2023",31,1287,15
mzm,Latn,mzm_Latn,Mumuye,o,Ll,LATIN SMALL LETTER O,1273,3,"2013,2017,2023",73,1123,77
mzm,Latn,mzm_Latn,Mumuye,p,Ll,LATIN SMALL LETTER P,1257,3,"2013,2017,2023",35,1198,24
mzm,Latn,mzm_Latn,Mumuye,d,Ll,LATIN SMALL LETTER D,1252,3,"2013,2017,2023",60,1151,41
