iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2017_frequency,year_2019_frequency,year_2021_frequency
mzw,Latn,mzw_Latn,Deg, ,Zs,SPACE,309694,5,"2013,2014,2017,2019,2021",272516,12431,23704,102,941
mzw,Latn,mzw_Latn,Deg,a,Ll,LATIN SMALL LETTER A,184248,5,"2013,2014,2017,2019,2021",162622,7458,13499,65,604
mzw,Latn,mzw_Latn,Deg,ɛ,Ll,LATIN SMALL LETTER OPEN E,92041,5,"2013,2014,2017,2019,2021",81300,3730,6719,39,253
mzw,Latn,mzw_Latn,Deg,e,Ll,LATIN SMALL LETTER E,83625,5,"2013,2014,2017,2019,2021",73350,3204,6739,32,300
mzw,Latn,mzw_Latn,Deg,o,Ll,LATIN SMALL LETTER O,61997,5,"2013,2014,2017,2019,2021",55091,2493,4217,17,179
mzw,Latn,mzw_Latn,Deg,n,Ll,LATIN SMALL LETTER N,58799,5,"2013,2014,2017,2019,2021",51753,2375,4508,20,143
mzw,Latn,mzw_Latn,Deg,b,Ll,LATIN SMALL LETTER B,47531,5,"2013,2014,2017,2019,2021",41966,1866,3506,25,168
mzw,Latn,mzw_Latn,Deg,l,Ll,LATIN SMALL LETTER L,47413,5,"2013,2014,2017,2019,2021",41832,1744,3639,21,177
mzw,Latn,mzw_Latn,Deg,ɔ,Ll,LATIN SMALL LETTER OPEN O,39671,5,"2013,2014,2017,2019,2021",34607,1676,3255,10,123
mzw,Latn,mzw_Latn,Deg,i,Ll,LATIN SMALL LETTER I,37805,5,"2013,2014,2017,2019,2021",33940,1549,2188,23,105
mzw,Latn,mzw_Latn,Deg,w,Ll,LATIN SMALL LETTER W,35018,5,"2013,2014,2017,2019,2021",31287,1405,2204,19,103
mzw,Latn,mzw_Latn,Deg,d,Ll,LATIN SMALL LETTER D,33924,5,"2013,2014,2017,2019,2021",30090,1444,2279,13,98
mzw,Latn,mzw_Latn,Deg,r,Ll,LATIN SMALL LETTER R,31927,5,"2013,2014,2017,2019,2021",28500,1275,1994,14,144
mzw,Latn,mzw_Latn,Deg,t,Ll,LATIN SMALL LETTER T,26619,5,"2013,2014,2017,2019,2021",23627,1022,1887,2,81
