iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency
naf,Latn,naf_Latn,Nabak, ,Zs,SPACE,232043,5,"2017,2018,2020,2021,2022",9203,213548,1170,381,7741
naf,Latn,naf_Latn,Nabak,e,Ll,LATIN SMALL LETTER E,172890,5,"2017,2018,2020,2021,2022",6888,159010,886,276,5830
naf,Latn,naf_Latn,Nabak,a,Ll,LATIN SMALL LETTER A,170469,5,"2017,2018,2020,2021,2022",7815,154760,971,286,6637
naf,Latn,naf_Latn,Nabak,n,Ll,LATIN SMALL LETTER N,105718,5,"2017,2018,2020,2021,2022",4312,96774,577,241,3814
naf,Latn,naf_Latn,Nabak,m,Ll,LATIN SMALL LETTER M,99922,5,"2017,2018,2020,2021,2022",4487,90925,493,209,3808
naf,Latn,naf_Latn,Nabak,i,Ll,LATIN SMALL LETTER I,87465,5,"2017,2018,2020,2021,2022",3700,79984,478,170,3133
naf,Latn,naf_Latn,Nabak,ŋ,Ll,LATIN SMALL LETTER ENG,81577,5,"2017,2018,2020,2021,2022",4036,73495,455,128,3463
naf,Latn,naf_Latn,Nabak,t,Ll,LATIN SMALL LETTER T,76772,5,"2017,2018,2020,2021,2022",3205,70396,376,134,2661
naf,Latn,naf_Latn,Nabak,k,Ll,LATIN SMALL LETTER K,72555,5,"2017,2018,2020,2021,2022",3239,65972,393,138,2813
naf,Latn,naf_Latn,Nabak,o,Ll,LATIN SMALL LETTER O,39111,5,"2017,2018,2020,2021,2022",1195,36584,166,56,1110
naf,Latn,naf_Latn,Nabak,p,Ll,LATIN SMALL LETTER P,38931,5,"2017,2018,2020,2021,2022",1852,35230,207,81,1561
naf,Latn,naf_Latn,Nabak,s,Ll,LATIN SMALL LETTER S,38064,5,"2017,2018,2020,2021,2022",1024,35936,150,40,914
naf,Latn,naf_Latn,Nabak,g,Ll,LATIN SMALL LETTER G,32739,5,"2017,2018,2020,2021,2022",1477,29814,196,61,1191
naf,Latn,naf_Latn,Nabak,l,Ll,LATIN SMALL LETTER L,31389,5,"2017,2018,2020,2021,2022",1468,28521,129,49,1222
naf,Latn,naf_Latn,Nabak,u,Ll,LATIN SMALL LETTER U,29737,5,"2017,2018,2020,2021,2022",1297,27115,158,74,1093
naf,Latn,naf_Latn,Nabak,b,Ll,LATIN SMALL LETTER B,27973,5,"2017,2018,2020,2021,2022",1006,25831,144,55,937
naf,Latn,naf_Latn,Nabak,w,Ll,LATIN SMALL LETTER W,27686,5,"2017,2018,2020,2021,2022",1229,25176,142,47,1092
naf,Latn,naf_Latn,Nabak,d,Ll,LATIN SMALL LETTER D,21306,5,"2017,2018,2020,2021,2022",698,19752,125,44,687
naf,Latn,naf_Latn,Nabak,y,Ll,LATIN SMALL LETTER Y,20638,5,"2017,2018,2020,2021,2022",966,18713,149,29,781
naf,Latn,naf_Latn,Nabak,z,Ll,LATIN SMALL LETTER Z,18211,5,"2017,2018,2020,2021,2022",929,16507,116,28,631
naf,Latn,naf_Latn,Nabak,â,Ll,LATIN SMALL LETTER A WITH CIRCUMFLEX,13666,5,"2017,2018,2020,2021,2022",701,12332,70,20,543
naf,Latn,naf_Latn,Nabak,.,Po,FULL STOP,13619,5,"2017,2018,2020,2021,2022",574,12456,73,29,487
naf,Latn,naf_Latn,Nabak,r,Ll,LATIN SMALL LETTER R,12619,2,"2017,2018",1,12618,0,0,0
naf,Latn,naf_Latn,Nabak,h,Ll,LATIN SMALL LETTER H,8414,1,2018,0,8414,0,0,0
naf,Latn,naf_Latn,Nabak,K,Lu,LATIN CAPITAL LETTER K,7948,5,"2017,2018,2020,2021,2022",452,7074,36,8,378
naf,Latn,naf_Latn,Nabak,",",Po,COMMA,5018,5,"2017,2018,2020,2021,2022",53,4866,46,6,47
naf,Latn,naf_Latn,Nabak,Z,Lu,LATIN CAPITAL LETTER Z,4932,5,"2017,2018,2020,2021,2022",322,4331,69,6,204
naf,Latn,naf_Latn,Nabak,1,Nd,DIGIT ONE,4598,5,"2017,2018,2020,2021,2022",287,4076,25,11,199
naf,Latn,naf_Latn,Nabak,c,Ll,LATIN SMALL LETTER C,3726,1,2018,0,3726,0,0,0
naf,Latn,naf_Latn,Nabak,E,Lu,LATIN CAPITAL LETTER E,3677,5,"2017,2018,2020,2021,2022",83,3488,18,2,86
naf,Latn,naf_Latn,Nabak,N,Lu,LATIN CAPITAL LETTER N,3335,5,"2017,2018,2020,2021,2022",122,3076,33,11,93
naf,Latn,naf_Latn,Nabak,T,Lu,LATIN CAPITAL LETTER T,3134,4,"2017,2018,2020,2022",46,3035,5,0,48
naf,Latn,naf_Latn,Nabak,S,Lu,LATIN CAPITAL LETTER S,2886,5,"2017,2018,2020,2021,2022",8,2839,9,1,29
naf,Latn,naf_Latn,Nabak,A,Lu,LATIN CAPITAL LETTER A,2818,5,"2017,2018,2020,2021,2022",82,2599,23,12,102
naf,Latn,naf_Latn,Nabak,2,Nd,DIGIT TWO,2754,5,"2017,2018,2020,2021,2022",130,2494,17,2,111
naf,Latn,naf_Latn,Nabak,V,Lu,LATIN CAPITAL LETTER V,2542,1,2018,0,2542,0,0,0
naf,Latn,naf_Latn,Nabak,I,Lu,LATIN CAPITAL LETTER I,2421,5,"2017,2018,2020,2021,2022",40,2327,7,4,43
naf,Latn,naf_Latn,Nabak,',Po,APOSTROPHE,2246,1,2018,0,2246,0,0,0
naf,Latn,naf_Latn,Nabak,f,Ll,LATIN SMALL LETTER F,2091,1,2018,0,2091,0,0,0
naf,Latn,naf_Latn,Nabak,P,Lu,LATIN CAPITAL LETTER P,1969,5,"2017,2018,2020,2021,2022",164,1727,8,2,68
naf,Latn,naf_Latn,Nabak,M,Lu,LATIN CAPITAL LETTER M,1925,5,"2017,2018,2020,2021,2022",62,1780,13,1,69
naf,Latn,naf_Latn,Nabak,v,Ll,LATIN SMALL LETTER V,1907,1,2018,0,1907,0,0,0
naf,Latn,naf_Latn,Nabak,3,Nd,DIGIT THREE,1668,5,"2017,2018,2020,2021,2022",66,1534,17,2,49
naf,Latn,naf_Latn,Nabak,“,Pi,LEFT DOUBLE QUOTATION MARK,1642,5,"2017,2018,2020,2021,2022",13,1578,31,2,18
naf,Latn,naf_Latn,Nabak,”,Pf,RIGHT DOUBLE QUOTATION MARK,1550,5,"2017,2018,2020,2021,2022",13,1486,31,2,18
naf,Latn,naf_Latn,Nabak,G,Lu,LATIN CAPITAL LETTER G,1473,4,"2017,2018,2020,2022",27,1428,9,0,9
naf,Latn,naf_Latn,Nabak,Â,Lu,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,1444,5,"2017,2018,2020,2021,2022",34,1367,11,1,31
naf,Latn,naf_Latn,Nabak,x,Ll,LATIN SMALL LETTER X,1341,1,2018,0,1341,0,0,0
naf,Latn,naf_Latn,Nabak,4,Nd,DIGIT FOUR,1278,5,"2017,2018,2020,2021,2022",55,1156,17,2,48
naf,Latn,naf_Latn,Nabak,H,Lu,LATIN CAPITAL LETTER H,1256,2,"2017,2018",1,1255,0,0,0
naf,Latn,naf_Latn,Nabak,0,Nd,DIGIT ZERO,1026,5,"2017,2018,2020,2021,2022",34,963,6,1,22
naf,Latn,naf_Latn,Nabak,5,Nd,DIGIT FIVE,1004,5,"2017,2018,2020,2021,2022",46,909,7,2,40
naf,Latn,naf_Latn,Nabak,B,Lu,LATIN CAPITAL LETTER B,990,4,"2017,2018,2020,2022",23,935,5,0,27
naf,Latn,naf_Latn,Nabak,8,Nd,DIGIT EIGHT,956,5,"2017,2018,2020,2021,2022",35,887,7,2,25
naf,Latn,naf_Latn,Nabak,D,Lu,LATIN CAPITAL LETTER D,947,5,"2017,2018,2020,2021,2022",63,856,1,1,26
naf,Latn,naf_Latn,Nabak,U,Lu,LATIN CAPITAL LETTER U,879,1,2018,0,879,0,0,0
naf,Latn,naf_Latn,Nabak,6,Nd,DIGIT SIX,851,5,"2017,2018,2020,2021,2022",33,778,5,2,33
naf,Latn,naf_Latn,Nabak,7,Nd,DIGIT SEVEN,850,5,"2017,2018,2020,2021,2022",29,778,5,2,36
naf,Latn,naf_Latn,Nabak,:,Po,COLON,794,4,"2017,2018,2020,2022",100,609,5,0,80
naf,Latn,naf_Latn,Nabak,Y,Lu,LATIN CAPITAL LETTER Y,762,5,"2017,2018,2020,2021,2022",24,718,2,1,17
naf,Latn,naf_Latn,Nabak,9,Nd,DIGIT NINE,710,5,"2017,2018,2020,2021,2022",32,649,5,1,23
naf,Latn,naf_Latn,Nabak,J,Lu,LATIN CAPITAL LETTER J,701,1,2018,0,701,0,0,0
naf,Latn,naf_Latn,Nabak,C,Lu,LATIN CAPITAL LETTER C,684,1,2018,0,684,0,0,0
naf,Latn,naf_Latn,Nabak,W,Lu,LATIN CAPITAL LETTER W,647,5,"2017,2018,2020,2021,2022",11,626,2,2,6
naf,Latn,naf_Latn,Nabak,-,Pd,HYPHEN-MINUS,591,4,"2017,2018,2020,2022",57,490,4,0,40
naf,Latn,naf_Latn,Nabak,?,Po,QUESTION MARK,526,4,"2017,2018,2020,2022",5,506,12,0,3
naf,Latn,naf_Latn,Nabak,L,Lu,LATIN CAPITAL LETTER L,478,4,"2017,2018,2020,2022",26,439,2,0,11
naf,Latn,naf_Latn,Nabak,),Pe,RIGHT PARENTHESIS,438,4,"2017,2018,2020,2022",8,412,4,0,14
naf,Latn,naf_Latn,Nabak,(,Ps,LEFT PARENTHESIS,438,4,"2017,2018,2020,2022",8,412,4,0,14
naf,Latn,naf_Latn,Nabak,F,Lu,LATIN CAPITAL LETTER F,436,1,2018,0,436,0,0,0
naf,Latn,naf_Latn,Nabak,‘,Pi,LEFT SINGLE QUOTATION MARK,393,3,"2017,2018,2020",1,386,6,0,0
naf,Latn,naf_Latn,Nabak,’,Pf,RIGHT SINGLE QUOTATION MARK,387,3,"2017,2018,2020",1,380,6,0,0
naf,Latn,naf_Latn,Nabak,!,Po,EXCLAMATION MARK,302,4,"2017,2018,2020,2022",2,289,2,0,9
naf,Latn,naf_Latn,Nabak,R,Lu,LATIN CAPITAL LETTER R,252,1,2018,0,252,0,0,0
naf,Latn,naf_Latn,Nabak,©,So,COPYRIGHT SIGN,218,1,2018,0,218,0,0,0
naf,Latn,naf_Latn,Nabak,`,Sk,GRAVE ACCENT,218,1,2018,0,218,0,0,0
naf,Latn,naf_Latn,Nabak,q,Ll,LATIN SMALL LETTER Q,218,1,2018,0,218,0,0,0
naf,Latn,naf_Latn,Nabak,&,Po,AMPERSAND,181,1,2018,0,181,0,0,0
naf,Latn,naf_Latn,Nabak,;,Po,SEMICOLON,151,5,"2017,2018,2020,2021,2022",8,133,2,1,7
naf,Latn,naf_Latn,Nabak,O,Lu,LATIN CAPITAL LETTER O,83,2,"2017,2018",11,72,0,0,0
naf,Latn,naf_Latn,Nabak,Ŋ,Lu,LATIN CAPITAL LETTER ENG,71,3,"2017,2018,2022",1,69,0,0,1
naf,Latn,naf_Latn,Nabak,▼,So,BLACK DOWN-POINTING TRIANGLE,33,1,2018,0,33,0,0,0
naf,Latn,naf_Latn,Nabak,–,Pd,EN DASH,24,2,"2017,2022",13,0,0,0,11
naf,Latn,naf_Latn,Nabak,|,Sm,VERTICAL LINE,22,1,2017,22,0,0,0,0
naf,Latn,naf_Latn,Nabak,],Pe,RIGHT SQUARE BRACKET,13,1,2018,0,13,0,0,0
naf,Latn,naf_Latn,Nabak,[,Ps,LEFT SQUARE BRACKET,13,1,2018,0,13,0,0,0
naf,Latn,naf_Latn,Nabak,*,Po,ASTERISK,4,2,"2017,2022",2,0,0,0,2
naf,Latn,naf_Latn,Nabak,#,Po,NUMBER SIGN,1,1,2020,0,0,1,0,0
