iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
nbl,Latn,nbl_Latn,South Ndebele,a,Ll,LATIN SMALL LETTER A,1438198,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",23819,2693,1391,385591,171921,573048,70273,101537,69600,31212,7113
nbl,Latn,nbl_Latn,South Ndebele, ,Zs,SPACE,1264561,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",20398,2711,1384,342357,152886,509396,59955,81634,60821,26580,6439
nbl,Latn,nbl_Latn,South Ndebele,e,Ll,LATIN SMALL LETTER E,936884,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",19711,1931,895,244504,112331,363864,48115,65543,52577,22301,5112
nbl,Latn,nbl_Latn,South Ndebele,i,Ll,LATIN SMALL LETTER I,858961,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",15048,1760,883,230738,104015,343997,42406,53332,43066,19045,4671
nbl,Latn,nbl_Latn,South Ndebele,n,Ll,LATIN SMALL LETTER N,838963,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",15011,1610,911,220698,101247,336193,41918,56946,41569,18602,4258
nbl,Latn,nbl_Latn,South Ndebele,u,Ll,LATIN SMALL LETTER U,657473,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",12180,1572,863,178684,79383,271651,28356,36967,30669,14050,3098
nbl,Latn,nbl_Latn,South Ndebele,o,Ll,LATIN SMALL LETTER O,594980,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",11755,1271,700,157248,72629,234916,29170,39696,30597,13934,3064
nbl,Latn,nbl_Latn,South Ndebele,k,Ll,LATIN SMALL LETTER K,579446,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",12736,1218,629,154587,71029,229788,26994,37165,29107,13253,2940
nbl,Latn,nbl_Latn,South Ndebele,l,Ll,LATIN SMALL LETTER L,548201,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",11717,1126,584,140371,65415,214559,29169,38357,30061,13864,2978
nbl,Latn,nbl_Latn,South Ndebele,h,Ll,LATIN SMALL LETTER H,508998,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",9896,1073,509,137474,63346,201523,23056,31925,25022,12489,2685
nbl,Latn,nbl_Latn,South Ndebele,b,Ll,LATIN SMALL LETTER B,387605,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",6072,772,323,108505,47872,157491,16761,24573,16286,7441,1509
nbl,Latn,nbl_Latn,South Ndebele,s,Ll,LATIN SMALL LETTER S,311269,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",5756,761,342,84673,38112,125350,13764,18743,15447,6776,1545
nbl,Latn,nbl_Latn,South Ndebele,m,Ll,LATIN SMALL LETTER M,303544,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",5852,594,308,76269,34829,118344,16842,23155,17583,7904,1864
