iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2024_frequency
ncl,Latn,ncl_Latn,Michoacán Nahuatl, ,Zs,SPACE,110127,8,"2014,2017,2018,2019,2020,2021,2022,2024",1435,55,1881,79172,449,13826,11486,1823
ncl,Latn,ncl_Latn,Michoacán Nahuatl,a,Ll,LATIN SMALL LETTER A,107453,8,"2014,2017,2018,2019,2020,2021,2022,2024",1432,40,1662,77541,403,13490,11006,1879
ncl,Latn,ncl_Latn,Michoacán Nahuatl,i,Ll,LATIN SMALL LETTER I,93486,8,"2014,2017,2018,2019,2020,2021,2022,2024",1189,35,1593,66904,414,12056,9758,1537
ncl,Latn,ncl_Latn,Michoacán Nahuatl,n,Ll,LATIN SMALL LETTER N,57305,8,"2014,2017,2018,2019,2020,2021,2022,2024",722,24,719,41592,247,7089,5890,1022
ncl,Latn,ncl_Latn,Michoacán Nahuatl,u,Ll,LATIN SMALL LETTER U,55830,8,"2014,2017,2018,2019,2020,2021,2022,2024",801,23,904,40113,253,7057,5828,851
ncl,Latn,ncl_Latn,Michoacán Nahuatl,l,Ll,LATIN SMALL LETTER L,50643,8,"2014,2017,2018,2019,2020,2021,2022,2024",622,20,1041,36152,211,6643,5199,755
ncl,Latn,ncl_Latn,Michoacán Nahuatl,c,Ll,LATIN SMALL LETTER C,39210,8,"2014,2017,2018,2019,2020,2021,2022,2024",504,14,665,28314,172,4882,4023,636
ncl,Latn,ncl_Latn,Michoacán Nahuatl,o,Ll,LATIN SMALL LETTER O,34595,8,"2014,2017,2018,2019,2020,2021,2022,2024",337,17,689,24591,154,4405,3730,672
ncl,Latn,ncl_Latn,Michoacán Nahuatl,t,Ll,LATIN SMALL LETTER T,31348,8,"2014,2017,2018,2019,2020,2021,2022,2024",453,6,626,22147,167,3980,3266,703
ncl,Latn,ncl_Latn,Michoacán Nahuatl,e,Ll,LATIN SMALL LETTER E,30573,8,"2014,2017,2018,2019,2020,2021,2022,2024",421,15,466,22176,155,3660,3148,532
ncl,Latn,ncl_Latn,Michoacán Nahuatl,m,Ll,LATIN SMALL LETTER M,29936,8,"2014,2017,2018,2019,2020,2021,2022,2024",290,13,420,21656,132,3723,3118,584
ncl,Latn,ncl_Latn,Michoacán Nahuatl,h,Ll,LATIN SMALL LETTER H,27199,8,"2014,2017,2018,2019,2020,2021,2022,2024",392,7,432,19498,129,3518,2779,444
ncl,Latn,ncl_Latn,Michoacán Nahuatl,s,Ll,LATIN SMALL LETTER S,25463,8,"2014,2017,2018,2019,2020,2021,2022,2024",307,14,490,18229,73,3269,2653,428
ncl,Latn,ncl_Latn,Michoacán Nahuatl,q,Ll,LATIN SMALL LETTER Q,20324,8,"2014,2017,2018,2019,2020,2021,2022,2024",270,11,295,14447,98,2569,2299,335
ncl,Latn,ncl_Latn,Michoacán Nahuatl,p,Ll,LATIN SMALL LETTER P,19021,8,"2014,2017,2018,2019,2020,2021,2022,2024",190,9,302,13722,54,2454,1961,329
ncl,Latn,ncl_Latn,Michoacán Nahuatl,j,Ll,LATIN SMALL LETTER J,14813,8,"2014,2017,2018,2019,2020,2021,2022,2024",156,5,276,10606,80,1880,1598,212
ncl,Latn,ncl_Latn,Michoacán Nahuatl,y,Ll,LATIN SMALL LETTER Y,12044,8,"2014,2017,2018,2019,2020,2021,2022,2024",197,10,184,8664,55,1497,1217,220
ncl,Latn,ncl_Latn,Michoacán Nahuatl,.,Po,FULL STOP,7711,8,"2014,2017,2018,2019,2020,2021,2022,2024",117,4,129,5498,34,966,821,142
ncl,Latn,ncl_Latn,Michoacán Nahuatl,",",Po,COMMA,5534,8,"2014,2017,2018,2019,2020,2021,2022,2024",68,4,96,3976,25,682,599,84
ncl,Latn,ncl_Latn,Michoacán Nahuatl,í,Ll,LATIN SMALL LETTER I WITH ACUTE,5352,8,"2014,2017,2018,2019,2020,2021,2022,2024",66,3,82,3802,19,729,570,81
ncl,Latn,ncl_Latn,Michoacán Nahuatl,x,Ll,LATIN SMALL LETTER X,4982,8,"2014,2017,2018,2019,2020,2021,2022,2024",47,2,61,3585,17,578,596,96
ncl,Latn,ncl_Latn,Michoacán Nahuatl,z,Ll,LATIN SMALL LETTER Z,3181,7,"2014,2018,2019,2020,2021,2022,2024",36,0,33,2378,11,389,261,73
ncl,Latn,ncl_Latn,Michoacán Nahuatl,D,Lu,LATIN CAPITAL LETTER D,2813,8,"2014,2017,2018,2019,2020,2021,2022,2024",50,2,115,1892,16,417,278,43
