iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
nde,Latn,nde_Latn,North Ndebele,a,Ll,LATIN SMALL LETTER A,5490053,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",18499,36016,3526,3928,548563,600139,1094586,568949,1007209,720786,671225,216627
nde,Latn,nde_Latn,North Ndebele, ,Zs,SPACE,5283646,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",17769,34712,3253,3861,518065,616814,1118390,528513,933723,670834,638789,198923
nde,Latn,nde_Latn,North Ndebele,e,Ll,LATIN SMALL LETTER E,3937351,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",14604,28471,2659,3169,373415,440687,785924,405950,726606,517378,488555,149933
nde,Latn,nde_Latn,North Ndebele,i,Ll,LATIN SMALL LETTER I,3439983,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12836,22591,2156,2590,351086,387914,709341,346366,610657,443778,419604,131064
nde,Latn,nde_Latn,North Ndebele,n,Ll,LATIN SMALL LETTER N,2918940,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10865,19633,1913,2210,293424,324674,590379,298887,528461,378531,358665,111298
nde,Latn,nde_Latn,North Ndebele,u,Ll,LATIN SMALL LETTER U,2902565,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10189,19324,1689,2306,304241,295487,562626,304842,544815,380035,363679,113332
nde,Latn,nde_Latn,North Ndebele,l,Ll,LATIN SMALL LETTER L,2840329,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10895,21093,2025,2350,270072,299607,539005,299424,532839,383903,365604,113512
nde,Latn,nde_Latn,North Ndebele,o,Ll,LATIN SMALL LETTER O,2257417,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9390,15789,1531,1582,217642,262251,474244,223783,397125,289133,279229,85718
nde,Latn,nde_Latn,North Ndebele,k,Ll,LATIN SMALL LETTER K,2167617,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7536,13268,1297,1646,226886,236577,436447,222038,396050,281935,261068,82869
nde,Latn,nde_Latn,North Ndebele,h,Ll,LATIN SMALL LETTER H,2110357,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4819,13699,1316,1462,215954,233384,431709,215275,384537,272652,254439,81111
nde,Latn,nde_Latn,North Ndebele,s,Ll,LATIN SMALL LETTER S,1476608,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5203,9444,853,1083,142705,178216,320356,145020,258375,186151,173714,55488
nde,Latn,nde_Latn,North Ndebele,b,Ll,LATIN SMALL LETTER B,1472813,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4746,9504,852,1087,145543,159932,288773,155144,272529,194200,181807,58696
nde,Latn,nde_Latn,North Ndebele,t,Ll,LATIN SMALL LETTER T,1245487,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3831,8606,735,916,118682,139789,262330,125030,227138,159909,151226,47295
nde,Latn,nde_Latn,North Ndebele,m,Ll,LATIN SMALL LETTER M,1209113,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4585,8971,879,1029,106388,134061,238779,126291,224605,160800,154775,47950
nde,Latn,nde_Latn,North Ndebele,w,Ll,LATIN SMALL LETTER W,1034905,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3863,7229,755,816,98615,115138,201488,107546,192198,139111,128304,39842
nde,Latn,nde_Latn,North Ndebele,g,Ll,LATIN SMALL LETTER G,1020430,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3567,6860,639,761,99067,111382,207624,104792,183998,132239,129828,39673
nde,Latn,nde_Latn,North Ndebele,z,Ll,LATIN SMALL LETTER Z,974663,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3542,6565,623,744,104696,107912,194515,98124,170803,128800,120403,37936
nde,Latn,nde_Latn,North Ndebele,y,Ll,LATIN SMALL LETTER Y,796520,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2835,4848,481,511,85545,93165,168063,78618,137319,102263,92470,30402
nde,Latn,nde_Latn,North Ndebele,d,Ll,LATIN SMALL LETTER D,660808,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2240,4898,528,502,59572,77413,143041,65740,116124,83518,82440,24792
nde,Latn,nde_Latn,North Ndebele,.,Po,FULL STOP,419527,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2993,2323,214,307,44234,47823,98443,39423,69840,51165,47144,15618
nde,Latn,nde_Latn,North Ndebele,p,Ll,LATIN SMALL LETTER P,344774,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1297,2255,238,226,30172,40632,71891,34674,61093,44217,44383,13696
nde,Latn,nde_Latn,North Ndebele,r,Ll,LATIN SMALL LETTER R,319460,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1280,2244,227,243,17507,53473,96144,24682,46009,31657,37074,8920
nde,Latn,nde_Latn,North Ndebele,",",Po,COMMA,271711,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1090,1281,122,127,20763,42836,64346,23074,41780,34332,31169,10791
nde,Latn,nde_Latn,North Ndebele,c,Ll,LATIN SMALL LETTER C,236164,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1078,1704,153,155,18828,28810,54462,22563,41833,27046,31254,8278
