iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency
neb,Latn,neb_Latn,Toura (Côte d'Ivoire), ,Zs,SPACE,40115,5,"2013,2014,2017,2018,2019",2527,1096,34128,1413,951
neb,Latn,neb_Latn,Toura (Côte d'Ivoire),l,Ll,LATIN SMALL LETTER L,9010,5,"2013,2014,2017,2018,2019",549,240,7627,366,228
neb,Latn,neb_Latn,Toura (Côte d'Ivoire),ɛ,Ll,LATIN SMALL LETTER OPEN E,8983,5,"2013,2014,2017,2018,2019",443,277,7355,558,350
neb,Latn,neb_Latn,Toura (Côte d'Ivoire),à,Ll,LATIN SMALL LETTER A WITH GRAVE,8824,5,"2013,2014,2017,2018,2019",554,254,7566,289,161
neb,Latn,neb_Latn,Toura (Côte d'Ivoire),e,Ll,LATIN SMALL LETTER E,8066,5,"2013,2014,2017,2018,2019",545,220,7143,97,61
neb,Latn,neb_Latn,Toura (Côte d'Ivoire),n,Ll,LATIN SMALL LETTER N,7596,5,"2013,2014,2017,2018,2019",614,237,6632,74,39
neb,Latn,neb_Latn,Toura (Côte d'Ivoire),a,Ll,LATIN SMALL LETTER A,6499,5,"2013,2014,2017,2018,2019",546,245,5358,223,127
neb,Latn,neb_Latn,Toura (Côte d'Ivoire),i,Ll,LATIN SMALL LETTER I,6258,5,"2013,2014,2017,2018,2019",438,165,5473,117,65
neb,Latn,neb_Latn,Toura (Côte d'Ivoire),k,Ll,LATIN SMALL LETTER K,5883,5,"2013,2014,2017,2018,2019",365,177,4893,241,207
neb,Latn,neb_Latn,Toura (Côte d'Ivoire),̀,Mn,COMBINING GRAVE ACCENT,4460,5,"2013,2014,2017,2018,2019",220,121,3468,374,277
neb,Latn,neb_Latn,Toura (Côte d'Ivoire),á,Ll,LATIN SMALL LETTER A WITH ACUTE,4289,5,"2013,2014,2017,2018,2019",258,99,3667,162,103
neb,Latn,neb_Latn,Toura (Côte d'Ivoire),w,Ll,LATIN SMALL LETTER W,4060,5,"2013,2014,2017,2018,2019",278,130,3488,100,64
neb,Latn,neb_Latn,Toura (Côte d'Ivoire),g,Ll,LATIN SMALL LETTER G,4016,5,"2013,2014,2017,2018,2019",293,148,3427,98,50
neb,Latn,neb_Latn,Toura (Côte d'Ivoire),ɔ,Ll,LATIN SMALL LETTER OPEN O,3954,5,"2013,2014,2017,2018,2019",225,101,3132,233,263
