iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
new,Deva,new_Deva,Nepal Bhasa, ,Zs,SPACE,8503123,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",28182,23471,8465,2145,378572,1460525,2882046,1188780,925617,516637,755079,333604
new,Deva,new_Deva,Nepal Bhasa,ा,Mc,DEVANAGARI VOWEL SIGN AA,3773400,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",17229,12233,4521,1149,214713,436978,933841,685577,531840,301635,437436,196248
new,Deva,new_Deva,Nepal Bhasa,्,Mn,DEVANAGARI SIGN VIRAMA,2887400,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13351,11783,4348,1127,165966,321055,708175,534213,409686,229265,336521,151910
new,Deva,new_Deva,Nepal Bhasa,य,Lo,DEVANAGARI LETTER YA,2196030,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10229,7554,3017,817,130569,228936,513601,416552,317478,182461,264358,120458
new,Deva,new_Deva,Nepal Bhasa,न,Lo,DEVANAGARI LETTER NA,1661879,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7166,5258,1836,490,94583,203560,427314,294797,229693,128526,185838,82818
new,Deva,new_Deva,Nepal Bhasa,ु,Mn,DEVANAGARI VOWEL SIGN U,1590648,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6900,5131,2109,498,97992,154621,344897,314776,242203,137347,197129,87045
new,Deva,new_Deva,Nepal Bhasa,ि,Mc,DEVANAGARI VOWEL SIGN I,1559947,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6904,6059,2396,549,84251,202322,425009,266031,208306,115457,168359,74304
new,Deva,new_Deva,Nepal Bhasa,क,Lo,DEVANAGARI LETTER KA,1463589,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5708,5035,1773,392,66653,227633,461502,224544,172215,96010,140020,62104
new,Deva,new_Deva,Nepal Bhasa,र,Lo,DEVANAGARI LETTER RA,1406147,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6200,5293,1753,435,61278,210940,439366,216412,167511,96746,137035,63178
new,Deva,new_Deva,Nepal Bhasa,े,Mn,DEVANAGARI VOWEL SIGN E,1307494,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5211,3941,1402,277,65001,204597,403496,198278,153790,88603,126714,56184
new,Deva,new_Deva,Nepal Bhasa,ं,Mn,DEVANAGARI SIGN ANUSVARA,1306378,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4938,3066,1351,268,70698,169153,358033,225451,169585,99204,140280,64351
new,Deva,new_Deva,Nepal Bhasa,व,Lo,DEVANAGARI LETTER VA,1242441,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5431,4561,1880,541,74168,145000,316025,222396,170842,96755,140979,63863
new,Deva,new_Deva,Nepal Bhasa,स,Lo,DEVANAGARI LETTER SA,1190402,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5429,4564,1748,464,61778,157187,328864,200951,154854,88965,128947,56651
new,Deva,new_Deva,Nepal Bhasa,त,Lo,DEVANAGARI LETTER TA,1171742,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5591,4689,1758,372,68311,143980,306896,206268,158132,88141,129928,57676
new,Deva,new_Deva,Nepal Bhasa,ग,Lo,DEVANAGARI LETTER GA,1026884,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4689,3374,1380,313,60927,104564,234409,197469,150905,87964,125082,55808
new,Deva,new_Deva,Nepal Bhasa,म,Lo,DEVANAGARI LETTER MA,996407,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4116,3257,1312,287,55297,128376,266479,169599,134080,76112,109459,48033
new,Deva,new_Deva,Nepal Bhasa,ल,Lo,DEVANAGARI LETTER LA,976075,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4126,3255,1215,292,52723,123519,251660,172146,137933,72818,108348,48040
