iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
ngu,Latn,ngu_Latn,Guerrero Nahuatl, ,Zs,SPACE,338607,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",934,1306,335,74766,127026,16360,6617,99802,7295,1354,2679,133
ngu,Latn,ngu_Latn,Guerrero Nahuatl,a,Ll,LATIN SMALL LETTER A,284736,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",716,1014,128,62024,106081,12439,5023,87698,6043,1194,2269,107
ngu,Latn,ngu_Latn,Guerrero Nahuatl,i,Ll,LATIN SMALL LETTER I,260310,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",585,786,88,51305,92684,12179,4104,91186,4778,896,1615,104
ngu,Latn,ngu_Latn,Guerrero Nahuatl,n,Ll,LATIN SMALL LETTER N,195284,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",439,715,134,41712,75379,9146,3485,58388,3751,785,1281,69
ngu,Latn,ngu_Latn,Guerrero Nahuatl,e,Ll,LATIN SMALL LETTER E,169844,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",354,631,106,37459,62245,8405,3149,50929,4071,770,1647,78
ngu,Latn,ngu_Latn,Guerrero Nahuatl,t,Ll,LATIN SMALL LETTER T,153075,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",460,511,66,31352,53725,7842,2794,51172,3034,699,1348,72
ngu,Latn,ngu_Latn,Guerrero Nahuatl,o,Ll,LATIN SMALL LETTER O,144972,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",351,582,159,33254,55083,6887,2773,40676,3464,475,1219,49
ngu,Latn,ngu_Latn,Guerrero Nahuatl,u,Ll,LATIN SMALL LETTER U,124921,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",256,539,36,31255,57558,5102,2079,25293,1634,486,646,37
ngu,Latn,ngu_Latn,Guerrero Nahuatl,j,Ll,LATIN SMALL LETTER J,122825,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",184,478,7,25970,50249,5060,1900,36741,1452,291,491,2
ngu,Latn,ngu_Latn,Guerrero Nahuatl,l,Ll,LATIN SMALL LETTER L,121062,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",202,402,74,25712,43202,5526,1803,39581,2809,391,1290,70
ngu,Latn,ngu_Latn,Guerrero Nahuatl,c,Ll,LATIN SMALL LETTER C,96357,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",357,373,33,25681,48590,4051,1735,13403,1085,617,412,20
