iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2022_frequency
nhr,Latn,nhr_Latn,Naro, ,Zs,SPACE,241798,4,"2017,2018,2019,2022",5481,232114,486,3717
nhr,Latn,nhr_Latn,Naro,a,Ll,LATIN SMALL LETTER A,138745,4,"2017,2018,2019,2022",3170,133002,233,2340
nhr,Latn,nhr_Latn,Naro,e,Ll,LATIN SMALL LETTER E,66540,4,"2017,2018,2019,2022",1481,63961,228,870
nhr,Latn,nhr_Latn,Naro,k,Ll,LATIN SMALL LETTER K,50376,4,"2017,2018,2019,2022",1283,48111,85,897
nhr,Latn,nhr_Latn,Naro,o,Ll,LATIN SMALL LETTER O,44562,4,"2017,2018,2019,2022",1067,42795,117,583
nhr,Latn,nhr_Latn,Naro,t,Ll,LATIN SMALL LETTER T,41534,4,"2017,2018,2019,2022",727,40077,106,624
nhr,Latn,nhr_Latn,Naro,i,Ll,LATIN SMALL LETTER I,40688,4,"2017,2018,2019,2022",903,39023,111,651
nhr,Latn,nhr_Latn,Naro,s,Ll,LATIN SMALL LETTER S,40637,4,"2017,2018,2019,2022",872,39130,114,521
nhr,Latn,nhr_Latn,Naro,m,Ll,LATIN SMALL LETTER M,39652,4,"2017,2018,2019,2022",958,37886,89,719
nhr,Latn,nhr_Latn,Naro,n,Ll,LATIN SMALL LETTER N,39258,4,"2017,2018,2019,2022",700,37822,108,628
nhr,Latn,nhr_Latn,Naro,g,Ll,LATIN SMALL LETTER G,38429,4,"2017,2018,2019,2022",868,36812,68,681
nhr,Latn,nhr_Latn,Naro,h,Ll,LATIN SMALL LETTER H,32306,4,"2017,2018,2019,2022",650,31139,70,447
nhr,Latn,nhr_Latn,Naro,c,Ll,LATIN SMALL LETTER C,27463,4,"2017,2018,2019,2022",604,26287,68,504
nhr,Latn,nhr_Latn,Naro,r,Ll,LATIN SMALL LETTER R,27234,4,"2017,2018,2019,2022",631,26176,91,336
nhr,Latn,nhr_Latn,Naro,',Po,APOSTROPHE,22490,4,"2017,2018,2019,2022",590,21496,38,366
nhr,Latn,nhr_Latn,Naro,u,Ll,LATIN SMALL LETTER U,21986,4,"2017,2018,2019,2022",283,21243,38,422
nhr,Latn,nhr_Latn,Naro,á,Ll,LATIN SMALL LETTER A WITH ACUTE,19017,4,"2017,2018,2019,2022",510,18164,31,312
nhr,Latn,nhr_Latn,Naro,x,Ll,LATIN SMALL LETTER X,17881,4,"2017,2018,2019,2022",405,17199,17,260
nhr,Latn,nhr_Latn,Naro,é,Ll,LATIN SMALL LETTER E WITH ACUTE,17373,4,"2017,2018,2019,2022",400,16649,22,302
nhr,Latn,nhr_Latn,Naro,b,Ll,LATIN SMALL LETTER B,16841,4,"2017,2018,2019,2022",453,16180,40,168
nhr,Latn,nhr_Latn,Naro,",",Po,COMMA,15503,4,"2017,2018,2019,2022",208,15026,26,243
nhr,Latn,nhr_Latn,Naro,d,Ll,LATIN SMALL LETTER D,14993,4,"2017,2018,2019,2022",379,14315,51,248
nhr,Latn,nhr_Latn,Naro,ẽ,Ll,LATIN SMALL LETTER E WITH TILDE,14745,3,"2018,2019,2022",0,14430,26,289
nhr,Latn,nhr_Latn,Naro,è,Ll,LATIN SMALL LETTER E WITH GRAVE,14028,4,"2017,2018,2019,2022",337,13406,14,271
nhr,Latn,nhr_Latn,Naro,ò,Ll,LATIN SMALL LETTER O WITH GRAVE,13547,4,"2017,2018,2019,2022",296,13026,9,216
nhr,Latn,nhr_Latn,Naro,q,Ll,LATIN SMALL LETTER Q,13100,4,"2017,2018,2019,2022",359,12464,19,258
nhr,Latn,nhr_Latn,Naro,à,Ll,LATIN SMALL LETTER A WITH GRAVE,11518,4,"2017,2018,2019,2022",279,11036,21,182
nhr,Latn,nhr_Latn,Naro,ã,Ll,LATIN SMALL LETTER A WITH TILDE,10831,4,"2017,2018,2019,2022",161,10423,10,237
nhr,Latn,nhr_Latn,Naro,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,10674,4,"2017,2018,2019,2022",303,10155,27,189
nhr,Latn,nhr_Latn,Naro,.,Po,FULL STOP,9862,4,"2017,2018,2019,2022",288,9431,24,119
nhr,Latn,nhr_Latn,Naro,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,9241,4,"2017,2018,2019,2022",236,8830,17,158
nhr,Latn,nhr_Latn,Naro,-,Pd,HYPHEN-MINUS,7671,4,"2017,2018,2019,2022",273,7216,19,163
nhr,Latn,nhr_Latn,Naro,í,Ll,LATIN SMALL LETTER I WITH ACUTE,6117,4,"2017,2018,2019,2022",136,5905,10,66
nhr,Latn,nhr_Latn,Naro,l,Ll,LATIN SMALL LETTER L,5624,4,"2017,2018,2019,2022",35,5527,31,31
nhr,Latn,nhr_Latn,Naro,T,Lu,LATIN CAPITAL LETTER T,5100,4,"2017,2018,2019,2022",54,4984,20,42
nhr,Latn,nhr_Latn,Naro,õ,Ll,LATIN SMALL LETTER O WITH TILDE,4768,4,"2017,2018,2019,2022",107,4557,9,95
nhr,Latn,nhr_Latn,Naro,N,Lu,LATIN CAPITAL LETTER N,4688,4,"2017,2018,2019,2022",163,4438,15,72
nhr,Latn,nhr_Latn,Naro,1,Nd,DIGIT ONE,4092,4,"2017,2018,2019,2022",23,3997,6,66
nhr,Latn,nhr_Latn,Naro,z,Ll,LATIN SMALL LETTER Z,3754,4,"2017,2018,2019,2022",100,3567,6,81
nhr,Latn,nhr_Latn,Naro,w,Ll,LATIN SMALL LETTER W,3722,4,"2017,2018,2019,2022",91,3582,13,36
nhr,Latn,nhr_Latn,Naro,ù,Ll,LATIN SMALL LETTER U WITH GRAVE,3561,4,"2017,2018,2019,2022",77,3415,2,67
nhr,Latn,nhr_Latn,Naro,J,Lu,LATIN CAPITAL LETTER J,2847,4,"2017,2018,2019,2022",117,2684,7,39
nhr,Latn,nhr_Latn,Naro,E,Lu,LATIN CAPITAL LETTER E,2829,4,"2017,2018,2019,2022",17,2786,12,14
nhr,Latn,nhr_Latn,Naro,G,Lu,LATIN CAPITAL LETTER G,2784,4,"2017,2018,2019,2022",15,2701,10,58
nhr,Latn,nhr_Latn,Naro,p,Ll,LATIN SMALL LETTER P,2726,4,"2017,2018,2019,2022",8,2706,10,2
