iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2020_frequency,year_2022_frequency
nhu,Latn,nhu_Latn,Noone, ,Zs,SPACE,342851,7,"2013,2014,2016,2017,2018,2020,2022",278277,17472,650,40946,1395,1205,2906
nhu,Latn,nhu_Latn,Noone,e,Ll,LATIN SMALL LETTER E,152544,7,"2013,2014,2016,2017,2018,2020,2022",123664,7780,380,18059,704,572,1385
nhu,Latn,nhu_Latn,Noone,ɛ,Ll,LATIN SMALL LETTER OPEN E,105083,7,"2013,2014,2016,2017,2018,2020,2022",84938,5453,208,12644,543,363,934
nhu,Latn,nhu_Latn,Noone,n,Ll,LATIN SMALL LETTER N,85898,7,"2013,2014,2016,2017,2018,2020,2022",70026,4375,166,9919,361,320,731
nhu,Latn,nhu_Latn,Noone,o,Ll,LATIN SMALL LETTER O,66213,7,"2013,2014,2016,2017,2018,2020,2022",54479,3214,103,7345,307,222,543
nhu,Latn,nhu_Latn,Noone,u,Ll,LATIN SMALL LETTER U,59259,7,"2013,2014,2016,2017,2018,2020,2022",48180,2994,104,6971,254,241,515
nhu,Latn,nhu_Latn,Noone,b,Ll,LATIN SMALL LETTER B,55612,7,"2013,2014,2016,2017,2018,2020,2022",46246,2717,101,5686,171,188,503
nhu,Latn,nhu_Latn,Noone,w,Ll,LATIN SMALL LETTER W,49822,7,"2013,2014,2016,2017,2018,2020,2022",40141,2758,92,5949,252,183,447
nhu,Latn,nhu_Latn,Noone,i,Ll,LATIN SMALL LETTER I,48106,7,"2013,2014,2016,2017,2018,2020,2022",39881,2417,81,4923,227,145,432
nhu,Latn,nhu_Latn,Noone,a,Ll,LATIN SMALL LETTER A,45000,7,"2013,2014,2016,2017,2018,2020,2022",36929,2350,70,4942,216,145,348
nhu,Latn,nhu_Latn,Noone,k,Ll,LATIN SMALL LETTER K,43232,7,"2013,2014,2016,2017,2018,2020,2022",35185,2196,104,5024,184,177,362
nhu,Latn,nhu_Latn,Noone,y,Ll,LATIN SMALL LETTER Y,41836,7,"2013,2014,2016,2017,2018,2020,2022",34299,2114,73,4654,140,152,404
nhu,Latn,nhu_Latn,Noone,m,Ll,LATIN SMALL LETTER M,40396,7,"2013,2014,2016,2017,2018,2020,2022",32935,2062,79,4621,203,126,370
nhu,Latn,nhu_Latn,Noone,l,Ll,LATIN SMALL LETTER L,37780,7,"2013,2014,2016,2017,2018,2020,2022",31056,1804,76,4162,206,134,342
nhu,Latn,nhu_Latn,Noone,v,Ll,LATIN SMALL LETTER V,30625,7,"2013,2014,2016,2017,2018,2020,2022",24567,1705,72,3749,139,113,280
nhu,Latn,nhu_Latn,Noone,s,Ll,LATIN SMALL LETTER S,27996,7,"2013,2014,2016,2017,2018,2020,2022",22806,1363,59,3316,134,108,210
nhu,Latn,nhu_Latn,Noone,t,Ll,LATIN SMALL LETTER T,25413,7,"2013,2014,2016,2017,2018,2020,2022",20858,1257,51,2748,138,111,250
nhu,Latn,nhu_Latn,Noone,f,Ll,LATIN SMALL LETTER F,23241,7,"2013,2014,2016,2017,2018,2020,2022",18925,1161,43,2692,124,84,212
nhu,Latn,nhu_Latn,Noone,",",Po,COMMA,17763,7,"2013,2014,2016,2017,2018,2020,2022",14514,934,27,2040,89,38,121
nhu,Latn,nhu_Latn,Noone,ŋ,Ll,LATIN SMALL LETTER ENG,15435,7,"2013,2014,2016,2017,2018,2020,2022",12457,860,33,1853,57,42,133
nhu,Latn,nhu_Latn,Noone,.,Po,FULL STOP,14821,7,"2013,2014,2016,2017,2018,2020,2022",12006,801,19,1773,61,48,113
nhu,Latn,nhu_Latn,Noone,d,Ll,LATIN SMALL LETTER D,12658,7,"2013,2014,2016,2017,2018,2020,2022",10464,608,20,1328,84,36,118
nhu,Latn,nhu_Latn,Noone,g,Ll,LATIN SMALL LETTER G,12449,7,"2013,2014,2016,2017,2018,2020,2022",10039,693,21,1465,108,33,90
nhu,Latn,nhu_Latn,Noone,c,Ll,LATIN SMALL LETTER C,11662,7,"2013,2014,2016,2017,2018,2020,2022",9637,549,34,1267,48,41,86
nhu,Latn,nhu_Latn,Noone,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,10119,7,"2013,2014,2016,2017,2018,2020,2022",8072,588,21,1291,45,28,74
nhu,Latn,nhu_Latn,Noone,j,Ll,LATIN SMALL LETTER J,9973,7,"2013,2014,2016,2017,2018,2020,2022",8122,495,18,1210,30,29,69
nhu,Latn,nhu_Latn,Noone,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,8116,7,"2013,2014,2016,2017,2018,2020,2022",6774,368,14,853,15,23,69
nhu,Latn,nhu_Latn,Noone,Ɛ,Lu,LATIN CAPITAL LETTER OPEN E,7687,7,"2013,2014,2016,2017,2018,2020,2022",6263,425,5,931,25,11,27
nhu,Latn,nhu_Latn,Noone,',Po,APOSTROPHE,6368,7,"2013,2014,2016,2017,2018,2020,2022",5332,237,14,631,10,37,107
nhu,Latn,nhu_Latn,Noone,ù,Ll,LATIN SMALL LETTER U WITH GRAVE,6277,7,"2013,2014,2016,2017,2018,2020,2022",5007,323,23,794,16,32,82
nhu,Latn,nhu_Latn,Noone,̂,Mn,COMBINING CIRCUMFLEX ACCENT,6118,7,"2013,2014,2016,2017,2018,2020,2022",4845,344,10,849,25,10,35
nhu,Latn,nhu_Latn,Noone,N,Lu,LATIN CAPITAL LETTER N,6021,7,"2013,2014,2016,2017,2018,2020,2022",4948,279,14,649,14,37,80
nhu,Latn,nhu_Latn,Noone,ô,Ll,LATIN SMALL LETTER O WITH CIRCUMFLEX,5797,7,"2013,2014,2016,2017,2018,2020,2022",4832,282,12,562,17,26,66
nhu,Latn,nhu_Latn,Noone,̀,Mn,COMBINING GRAVE ACCENT,5226,7,"2013,2014,2016,2017,2018,2020,2022",4212,280,11,639,13,18,53
nhu,Latn,nhu_Latn,Noone,B,Lu,LATIN CAPITAL LETTER B,4547,7,"2013,2014,2016,2017,2018,2020,2022",3751,222,6,481,19,18,50
nhu,Latn,nhu_Latn,Noone,1,Nd,DIGIT ONE,4503,7,"2013,2014,2016,2017,2018,2020,2022",3555,312,10,491,44,31,60
nhu,Latn,nhu_Latn,Noone,h,Ll,LATIN SMALL LETTER H,4026,7,"2013,2014,2016,2017,2018,2020,2022",3303,201,4,419,51,8,40
nhu,Latn,nhu_Latn,Noone,́,Mn,COMBINING ACUTE ACCENT,3965,7,"2013,2014,2016,2017,2018,2020,2022",3165,221,5,513,27,8,26
nhu,Latn,nhu_Latn,Noone,ì,Ll,LATIN SMALL LETTER I WITH GRAVE,3640,7,"2013,2014,2016,2017,2018,2020,2022",2926,178,13,449,9,14,51
nhu,Latn,nhu_Latn,Noone,î,Ll,LATIN SMALL LETTER I WITH CIRCUMFLEX,3632,7,"2013,2014,2016,2017,2018,2020,2022",2961,142,8,457,5,23,36
nhu,Latn,nhu_Latn,Noone,J,Lu,LATIN CAPITAL LETTER J,3534,7,"2013,2014,2016,2017,2018,2020,2022",2769,170,4,551,11,8,21
nhu,Latn,nhu_Latn,Noone,2,Nd,DIGIT TWO,3357,7,"2013,2014,2016,2017,2018,2020,2022",2672,209,2,400,27,14,33
nhu,Latn,nhu_Latn,Noone,ò,Ll,LATIN SMALL LETTER O WITH GRAVE,2722,7,"2013,2014,2016,2017,2018,2020,2022",2354,109,3,210,3,7,36
nhu,Latn,nhu_Latn,Noone,K,Lu,LATIN CAPITAL LETTER K,2670,7,"2013,2014,2016,2017,2018,2020,2022",2131,138,6,323,7,28,37
nhu,Latn,nhu_Latn,Noone,”,Pf,RIGHT DOUBLE QUOTATION MARK,2427,6,"2013,2014,2017,2018,2020,2022",1861,120,0,427,11,2,6
nhu,Latn,nhu_Latn,Noone,“,Pi,LEFT DOUBLE QUOTATION MARK,2427,6,"2013,2014,2017,2018,2020,2022",1861,120,0,427,11,2,6
nhu,Latn,nhu_Latn,Noone,3,Nd,DIGIT THREE,2348,7,"2013,2014,2016,2017,2018,2020,2022",1829,176,2,308,15,5,13
nhu,Latn,nhu_Latn,Noone,è,Ll,LATIN SMALL LETTER E WITH GRAVE,2311,7,"2013,2014,2016,2017,2018,2020,2022",1941,100,5,197,12,20,36
nhu,Latn,nhu_Latn,Noone,W,Lu,LATIN CAPITAL LETTER W,2097,7,"2013,2014,2016,2017,2018,2020,2022",1572,138,3,358,11,4,11
nhu,Latn,nhu_Latn,Noone,í,Ll,LATIN SMALL LETTER I WITH ACUTE,1944,7,"2013,2014,2016,2017,2018,2020,2022",1587,98,1,220,11,9,18
nhu,Latn,nhu_Latn,Noone,p,Ll,LATIN SMALL LETTER P,1875,7,"2013,2014,2016,2017,2018,2020,2022",1521,91,1,197,41,8,16
nhu,Latn,nhu_Latn,Noone,M,Lu,LATIN CAPITAL LETTER M,1767,6,"2013,2014,2017,2018,2020,2022",1349,110,0,214,72,2,20
nhu,Latn,nhu_Latn,Noone,4,Nd,DIGIT FOUR,1733,7,"2013,2014,2016,2017,2018,2020,2022",1360,116,2,234,5,5,11
