iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2022_frequency,year_2024_frequency
nii,Latn,nii_Latn,Nii, ,Zs,SPACE,304440,4,"2018,2019,2022,2024",296618,2173,5165,484
nii,Latn,nii_Latn,Nii,i,Ll,LATIN SMALL LETTER I,191147,4,"2018,2019,2022,2024",185497,1525,3746,379
nii,Latn,nii_Latn,Nii,n,Ll,LATIN SMALL LETTER N,157716,4,"2018,2019,2022,2024",153328,1034,3030,324
nii,Latn,nii_Latn,Nii,e,Ll,LATIN SMALL LETTER E,111772,4,"2018,2019,2022,2024",109248,763,1626,135
nii,Latn,nii_Latn,Nii,m,Ll,LATIN SMALL LETTER M,89064,4,"2018,2019,2022,2024",86476,785,1652,151
nii,Latn,nii_Latn,Nii,u,Ll,LATIN SMALL LETTER U,67769,4,"2018,2019,2022,2024",66100,453,1101,115
nii,Latn,nii_Latn,Nii,k,Ll,LATIN SMALL LETTER K,67728,4,"2018,2019,2022,2024",65782,460,1362,124
nii,Latn,nii_Latn,Nii,a,Ll,LATIN SMALL LETTER A,63027,4,"2018,2019,2022,2024",61429,552,971,75
nii,Latn,nii_Latn,Nii,o,Ll,LATIN SMALL LETTER O,57654,4,"2018,2019,2022,2024",56293,423,855,83
nii,Latn,nii_Latn,Nii,p,Ll,LATIN SMALL LETTER P,42156,4,"2018,2019,2022,2024",40975,328,779,74
nii,Latn,nii_Latn,Nii,g,Ll,LATIN SMALL LETTER G,41658,4,"2018,2019,2022,2024",40628,305,649,76
nii,Latn,nii_Latn,Nii,s,Ll,LATIN SMALL LETTER S,37705,4,"2018,2019,2022,2024",36850,288,511,56
nii,Latn,nii_Latn,Nii,ł,Ll,LATIN SMALL LETTER L WITH STROKE,36744,4,"2018,2019,2022,2024",35653,282,754,55
nii,Latn,nii_Latn,Nii,",",Po,COMMA,32569,4,"2018,2019,2022,2024",31675,201,617,76
nii,Latn,nii_Latn,Nii,r,Ll,LATIN SMALL LETTER R,29539,4,"2018,2019,2022,2024",29031,154,325,29
