iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
njn,Latn,njn_Latn,Liangmai Naga, ,Zs,SPACE,26048,6,"2019,2020,2021,2022,2023,2024",559,12928,3026,6094,656,2785
njn,Latn,njn_Latn,Liangmai Naga,a,Ll,LATIN SMALL LETTER A,20365,6,"2019,2020,2021,2022,2023,2024",516,9911,2211,4760,494,2473
njn,Latn,njn_Latn,Liangmai Naga,i,Ll,LATIN SMALL LETTER I,15888,6,"2019,2020,2021,2022,2023,2024",552,7456,1869,3834,390,1787
njn,Latn,njn_Latn,Liangmai Naga,n,Ll,LATIN SMALL LETTER N,9671,6,"2019,2020,2021,2022,2023,2024",343,4703,1029,2251,279,1066
njn,Latn,njn_Latn,Liangmai Naga,u,Ll,LATIN SMALL LETTER U,9165,6,"2019,2020,2021,2022,2023,2024",282,4387,977,2224,235,1060
njn,Latn,njn_Latn,Liangmai Naga,m,Ll,LATIN SMALL LETTER M,6850,6,"2019,2020,2021,2022,2023,2024",125,3299,743,1685,193,805
njn,Latn,njn_Latn,Liangmai Naga,h,Ll,LATIN SMALL LETTER H,6315,6,"2019,2020,2021,2022,2023,2024",191,2902,684,1521,152,865
njn,Latn,njn_Latn,Liangmai Naga,e,Ll,LATIN SMALL LETTER E,6084,6,"2019,2020,2021,2022,2023,2024",108,2888,931,1455,151,551
njn,Latn,njn_Latn,Liangmai Naga,t,Ll,LATIN SMALL LETTER T,5779,6,"2019,2020,2021,2022,2023,2024",127,2708,734,1477,158,575
njn,Latn,njn_Latn,Liangmai Naga,g,Ll,LATIN SMALL LETTER G,5715,6,"2019,2020,2021,2022,2023,2024",210,2853,530,1275,150,697
njn,Latn,njn_Latn,Liangmai Naga,o,Ll,LATIN SMALL LETTER O,5686,6,"2019,2020,2021,2022,2023,2024",109,2836,750,1326,155,510
njn,Latn,njn_Latn,Liangmai Naga,k,Ll,LATIN SMALL LETTER K,5049,6,"2019,2020,2021,2022,2023,2024",161,2388,537,1237,122,604
njn,Latn,njn_Latn,Liangmai Naga,s,Ll,LATIN SMALL LETTER S,4122,6,"2019,2020,2021,2022,2023,2024",104,2029,531,1015,78,365
njn,Latn,njn_Latn,Liangmai Naga,r,Ll,LATIN SMALL LETTER R,3909,6,"2019,2020,2021,2022,2023,2024",55,2084,388,925,101,356
njn,Latn,njn_Latn,Liangmai Naga,l,Ll,LATIN SMALL LETTER L,3738,6,"2019,2020,2021,2022,2023,2024",60,1740,456,922,125,435
njn,Latn,njn_Latn,Liangmai Naga,d,Ll,LATIN SMALL LETTER D,3603,6,"2019,2020,2021,2022,2023,2024",152,1694,469,870,87,331
njn,Latn,njn_Latn,Liangmai Naga,b,Ll,LATIN SMALL LETTER B,3558,6,"2019,2020,2021,2022,2023,2024",90,1713,448,816,84,407
njn,Latn,njn_Latn,Liangmai Naga,p,Ll,LATIN SMALL LETTER P,2866,6,"2019,2020,2021,2022,2023,2024",117,1419,394,565,62,309
njn,Latn,njn_Latn,Liangmai Naga,c,Ll,LATIN SMALL LETTER C,2293,6,"2019,2020,2021,2022,2023,2024",52,1016,455,538,51,181
njn,Latn,njn_Latn,Liangmai Naga,j,Ll,LATIN SMALL LETTER J,1752,6,"2019,2020,2021,2022,2023,2024",49,823,188,450,41,201
njn,Latn,njn_Latn,Liangmai Naga,.,Po,FULL STOP,1416,6,"2019,2020,2021,2022,2023,2024",60,733,178,290,33,122
njn,Latn,njn_Latn,Liangmai Naga,w,Ll,LATIN SMALL LETTER W,1144,6,"2019,2020,2021,2022,2023,2024",38,583,101,269,23,130
njn,Latn,njn_Latn,Liangmai Naga,y,Ll,LATIN SMALL LETTER Y,1083,6,"2019,2020,2021,2022,2023,2024",4,572,140,265,20,82
njn,Latn,njn_Latn,Liangmai Naga,",",Po,COMMA,940,6,"2019,2020,2021,2022,2023,2024",42,443,184,181,13,77
njn,Latn,njn_Latn,Liangmai Naga,C,Lu,LATIN CAPITAL LETTER C,748,6,"2019,2020,2021,2022,2023,2024",4,427,126,137,17,37
njn,Latn,njn_Latn,Liangmai Naga,A,Lu,LATIN CAPITAL LETTER A,614,5,"2020,2021,2022,2023,2024",0,382,62,110,25,35
njn,Latn,njn_Latn,Liangmai Naga,-,Pd,HYPHEN-MINUS,601,6,"2019,2020,2021,2022,2023,2024",33,345,55,89,12,67
njn,Latn,njn_Latn,Liangmai Naga,T,Lu,LATIN CAPITAL LETTER T,584,6,"2019,2020,2021,2022,2023,2024",30,303,90,104,14,43
njn,Latn,njn_Latn,Liangmai Naga,v,Ll,LATIN SMALL LETTER V,530,5,"2020,2021,2022,2023,2024",0,246,148,105,10,21
njn,Latn,njn_Latn,Liangmai Naga,N,Lu,LATIN CAPITAL LETTER N,529,6,"2019,2020,2021,2022,2023,2024",10,275,40,94,10,100
njn,Latn,njn_Latn,Liangmai Naga,M,Lu,LATIN CAPITAL LETTER M,523,6,"2019,2020,2021,2022,2023,2024",2,248,71,137,13,52
njn,Latn,njn_Latn,Liangmai Naga,S,Lu,LATIN CAPITAL LETTER S,503,6,"2019,2020,2021,2022,2023,2024",17,260,56,124,13,33
njn,Latn,njn_Latn,Liangmai Naga,1,Nd,DIGIT ONE,421,6,"2019,2020,2021,2022,2023,2024",27,254,52,71,10,7
njn,Latn,njn_Latn,Liangmai Naga,I,Lu,LATIN CAPITAL LETTER I,419,6,"2019,2020,2021,2022,2023,2024",2,272,47,73,5,20
njn,Latn,njn_Latn,Liangmai Naga,f,Ll,LATIN SMALL LETTER F,407,5,"2020,2021,2022,2023,2024",0,152,98,115,16,26
njn,Latn,njn_Latn,Liangmai Naga,D,Lu,LATIN CAPITAL LETTER D,407,6,"2019,2020,2021,2022,2023,2024",2,230,34,103,7,31
njn,Latn,njn_Latn,Liangmai Naga,),Pe,RIGHT PARENTHESIS,393,5,"2020,2021,2022,2023,2024",0,217,66,84,6,20
njn,Latn,njn_Latn,Liangmai Naga,(,Ps,LEFT PARENTHESIS,384,5,"2020,2021,2022,2023,2024",0,207,67,84,6,20
njn,Latn,njn_Latn,Liangmai Naga,2,Nd,DIGIT TWO,372,6,"2019,2020,2021,2022,2023,2024",18,180,32,92,16,34
njn,Latn,njn_Latn,Liangmai Naga,P,Lu,LATIN CAPITAL LETTER P,372,6,"2019,2020,2021,2022,2023,2024",11,176,59,76,11,39
njn,Latn,njn_Latn,Liangmai Naga,H,Lu,LATIN CAPITAL LETTER H,356,6,"2019,2020,2021,2022,2023,2024",1,199,50,67,5,34
njn,Latn,njn_Latn,Liangmai Naga,0,Nd,DIGIT ZERO,352,6,"2019,2020,2021,2022,2023,2024",4,210,51,52,15,20
njn,Latn,njn_Latn,Liangmai Naga,L,Lu,LATIN CAPITAL LETTER L,340,5,"2020,2021,2022,2023,2024",0,201,42,59,11,27
njn,Latn,njn_Latn,Liangmai Naga,K,Lu,LATIN CAPITAL LETTER K,308,6,"2019,2020,2021,2022,2023,2024",9,156,31,66,13,33
njn,Latn,njn_Latn,Liangmai Naga,R,Lu,LATIN CAPITAL LETTER R,275,6,"2019,2020,2021,2022,2023,2024",1,137,26,38,3,70
njn,Latn,njn_Latn,Liangmai Naga,O,Lu,LATIN CAPITAL LETTER O,244,5,"2020,2021,2022,2023,2024",0,169,9,37,11,18
njn,Latn,njn_Latn,Liangmai Naga,9,Nd,DIGIT NINE,204,6,"2019,2020,2021,2022,2023,2024",4,125,28,38,4,5
njn,Latn,njn_Latn,Liangmai Naga,V,Lu,LATIN CAPITAL LETTER V,192,5,"2020,2021,2022,2023,2024",0,126,23,35,5,3
njn,Latn,njn_Latn,Liangmai Naga,G,Lu,LATIN CAPITAL LETTER G,179,5,"2020,2021,2022,2023,2024",0,117,23,25,6,8
njn,Latn,njn_Latn,Liangmai Naga,B,Lu,LATIN CAPITAL LETTER B,170,5,"2020,2021,2022,2023,2024",0,87,39,23,2,19
njn,Latn,njn_Latn,Liangmai Naga,E,Lu,LATIN CAPITAL LETTER E,152,5,"2020,2021,2022,2023,2024",0,83,8,48,3,10
njn,Latn,njn_Latn,Liangmai Naga,/,Po,SOLIDUS,137,5,"2020,2021,2022,2023,2024",0,96,14,20,3,4
njn,Latn,njn_Latn,Liangmai Naga,:,Po,COLON,136,6,"2019,2020,2021,2022,2023,2024",5,59,15,46,6,5
njn,Latn,njn_Latn,Liangmai Naga,3,Nd,DIGIT THREE,127,6,"2019,2020,2021,2022,2023,2024",6,78,8,31,1,3
njn,Latn,njn_Latn,Liangmai Naga,W,Lu,LATIN CAPITAL LETTER W,118,5,"2020,2021,2022,2023,2024",0,79,13,19,3,4
njn,Latn,njn_Latn,Liangmai Naga,4,Nd,DIGIT FOUR,109,6,"2019,2020,2021,2022,2023,2024",6,56,5,36,4,2
njn,Latn,njn_Latn,Liangmai Naga,F,Lu,LATIN CAPITAL LETTER F,101,5,"2020,2021,2022,2023,2024",0,44,12,12,7,26
njn,Latn,njn_Latn,Liangmai Naga,5,Nd,DIGIT FIVE,99,6,"2019,2020,2021,2022,2023,2024",5,54,6,27,4,3
njn,Latn,njn_Latn,Liangmai Naga,J,Lu,LATIN CAPITAL LETTER J,99,4,"2020,2021,2022,2024",0,57,11,27,0,4
njn,Latn,njn_Latn,Liangmai Naga,U,Lu,LATIN CAPITAL LETTER U,88,4,"2020,2021,2022,2024",0,60,2,15,0,11
njn,Latn,njn_Latn,Liangmai Naga,z,Ll,LATIN SMALL LETTER Z,87,5,"2020,2021,2022,2023,2024",0,39,8,20,7,13
njn,Latn,njn_Latn,Liangmai Naga,7,Nd,DIGIT SEVEN,76,6,"2019,2020,2021,2022,2023,2024",4,37,4,26,3,2
njn,Latn,njn_Latn,Liangmai Naga,6,Nd,DIGIT SIX,68,5,"2019,2020,2021,2022,2024",6,39,3,18,0,2
njn,Latn,njn_Latn,Liangmai Naga,x,Ll,LATIN SMALL LETTER X,67,5,"2020,2021,2022,2023,2024",0,39,15,11,1,1
njn,Latn,njn_Latn,Liangmai Naga,8,Nd,DIGIT EIGHT,64,6,"2019,2020,2021,2022,2023,2024",3,33,7,17,2,2
njn,Latn,njn_Latn,Liangmai Naga,?,Po,QUESTION MARK,58,5,"2020,2021,2022,2023,2024",0,49,2,5,1,1
njn,Latn,njn_Latn,Liangmai Naga,”,Pf,RIGHT DOUBLE QUOTATION MARK,45,6,"2019,2020,2021,2022,2023,2024",14,12,2,11,2,4
njn,Latn,njn_Latn,Liangmai Naga,“,Pi,LEFT DOUBLE QUOTATION MARK,45,6,"2019,2020,2021,2022,2023,2024",14,14,2,9,2,4
njn,Latn,njn_Latn,Liangmai Naga,Y,Lu,LATIN CAPITAL LETTER Y,42,4,"2020,2021,2022,2024",0,26,6,9,0,1
njn,Latn,njn_Latn,Liangmai Naga,·,Po,MIDDLE DOT,34,1,2020,0,34,0,0,0,0
njn,Latn,njn_Latn,Liangmai Naga,’,Pf,RIGHT SINGLE QUOTATION MARK,31,5,"2020,2021,2022,2023,2024",0,12,2,5,3,9
njn,Latn,njn_Latn,Liangmai Naga,*,Po,ASTERISK,27,1,2020,0,27,0,0,0,0
njn,Latn,njn_Latn,Liangmai Naga,%,Po,PERCENT SIGN,25,4,"2020,2021,2022,2024",0,4,19,1,0,1
njn,Latn,njn_Latn,Liangmai Naga,Z,Lu,LATIN CAPITAL LETTER Z,25,5,"2020,2021,2022,2023,2024",0,11,3,5,5,1
njn,Latn,njn_Latn,Liangmai Naga,q,Ll,LATIN SMALL LETTER Q,25,4,"2020,2021,2022,2023",0,19,2,3,1,0
njn,Latn,njn_Latn,Liangmai Naga,–,Pd,EN DASH,22,4,"2020,2021,2022,2023",0,15,2,4,1,0
njn,Latn,njn_Latn,Liangmai Naga,;,Po,SEMICOLON,21,5,"2019,2020,2021,2022,2024",6,5,6,2,0,2
njn,Latn,njn_Latn,Liangmai Naga,X,Lu,LATIN CAPITAL LETTER X,20,3,"2020,2021,2022",0,4,4,12,0,0
njn,Latn,njn_Latn,Liangmai Naga,#,Po,NUMBER SIGN,20,2,"2019,2020",9,11,0,0,0,0
njn,Latn,njn_Latn,Liangmai Naga,&,Po,AMPERSAND,20,4,"2020,2021,2022,2023",0,13,1,3,3,0
