iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
nmf,Latn,nmf_Latn,Tangkhul Naga (India),a,Ll,LATIN SMALL LETTER A,117080,8,"2017,2018,2019,2020,2021,2022,2023,2024",3087,18490,68753,6829,6282,10490,1634,1515
nmf,Latn,nmf_Latn,Tangkhul Naga (India), ,Zs,SPACE,93901,8,"2017,2018,2019,2020,2021,2022,2023,2024",2331,16669,53902,5634,4831,8114,1287,1133
nmf,Latn,nmf_Latn,Tangkhul Naga (India),i,Ll,LATIN SMALL LETTER I,65599,8,"2017,2018,2019,2020,2021,2022,2023,2024",1555,11539,37937,3866,3444,5596,889,773
nmf,Latn,nmf_Latn,Tangkhul Naga (India),h,Ll,LATIN SMALL LETTER H,56494,8,"2017,2018,2019,2020,2021,2022,2023,2024",1264,8028,34733,3431,2480,5310,673,575
nmf,Latn,nmf_Latn,Tangkhul Naga (India),n,Ll,LATIN SMALL LETTER N,48965,8,"2017,2018,2019,2020,2021,2022,2023,2024",1067,7832,29413,2798,2453,4238,624,540
nmf,Latn,nmf_Latn,Tangkhul Naga (India),k,Ll,LATIN SMALL LETTER K,33950,8,"2017,2018,2019,2020,2021,2022,2023,2024",879,5580,19537,1876,1879,3252,509,438
nmf,Latn,nmf_Latn,Tangkhul Naga (India),g,Ll,LATIN SMALL LETTER G,27911,8,"2017,2018,2019,2020,2021,2022,2023,2024",545,4079,17238,1645,1288,2475,326,315
nmf,Latn,nmf_Latn,Tangkhul Naga (India),l,Ll,LATIN SMALL LETTER L,24311,8,"2017,2018,2019,2020,2021,2022,2023,2024",635,4210,13885,1459,1436,2041,368,277
nmf,Latn,nmf_Latn,Tangkhul Naga (India),m,Ll,LATIN SMALL LETTER M,21845,8,"2017,2018,2019,2020,2021,2022,2023,2024",652,3887,12300,1196,1196,2020,340,254
nmf,Latn,nmf_Latn,Tangkhul Naga (India),u,Ll,LATIN SMALL LETTER U,21731,8,"2017,2018,2019,2020,2021,2022,2023,2024",543,3643,12534,1329,1227,1869,305,281
nmf,Latn,nmf_Latn,Tangkhul Naga (India),r,Ll,LATIN SMALL LETTER R,20682,8,"2017,2018,2019,2020,2021,2022,2023,2024",472,3905,11769,1240,1262,1513,301,220
nmf,Latn,nmf_Latn,Tangkhul Naga (India),o,Ll,LATIN SMALL LETTER O,20280,8,"2017,2018,2019,2020,2021,2022,2023,2024",465,3147,12276,1204,1075,1582,309,222
nmf,Latn,nmf_Latn,Tangkhul Naga (India),s,Ll,LATIN SMALL LETTER S,19983,8,"2017,2018,2019,2020,2021,2022,2023,2024",539,3379,11342,1199,1345,1599,351,229
nmf,Latn,nmf_Latn,Tangkhul Naga (India),t,Ll,LATIN SMALL LETTER T,19582,8,"2017,2018,2019,2020,2021,2022,2023,2024",475,3743,10780,1150,1248,1570,363,253
nmf,Latn,nmf_Latn,Tangkhul Naga (India),e,Ll,LATIN SMALL LETTER E,19326,8,"2017,2018,2019,2020,2021,2022,2023,2024",518,3920,10431,1093,1398,1355,392,219
nmf,Latn,nmf_Latn,Tangkhul Naga (India),ā,Ll,LATIN SMALL LETTER A WITH MACRON,16167,6,"2018,2019,2020,2021,2022,2023",0,137,12115,1256,343,2206,110,0
nmf,Latn,nmf_Latn,Tangkhul Naga (India),p,Ll,LATIN SMALL LETTER P,10531,8,"2017,2018,2019,2020,2021,2022,2023,2024",213,1598,6264,599,577,1010,163,107
nmf,Latn,nmf_Latn,Tangkhul Naga (India),c,Ll,LATIN SMALL LETTER C,10441,8,"2017,2018,2019,2020,2021,2022,2023,2024",263,1784,5813,570,684,1052,167,108
nmf,Latn,nmf_Latn,Tangkhul Naga (India),d,Ll,LATIN SMALL LETTER D,8063,8,"2017,2018,2019,2020,2021,2022,2023,2024",187,1492,4387,428,517,812,142,98
nmf,Latn,nmf_Latn,Tangkhul Naga (India),w,Ll,LATIN SMALL LETTER W,7594,8,"2017,2018,2019,2020,2021,2022,2023,2024",164,1327,4457,495,362,620,90,79
nmf,Latn,nmf_Latn,Tangkhul Naga (India),.,Po,FULL STOP,7479,8,"2017,2018,2019,2020,2021,2022,2023,2024",159,1044,4591,479,330,712,109,55
nmf,Latn,nmf_Latn,Tangkhul Naga (India),y,Ll,LATIN SMALL LETTER Y,6346,8,"2017,2018,2019,2020,2021,2022,2023,2024",169,873,3835,455,345,523,74,72
nmf,Latn,nmf_Latn,Tangkhul Naga (India),v,Ll,LATIN SMALL LETTER V,5544,8,"2017,2018,2019,2020,2021,2022,2023,2024",143,745,3325,404,293,488,73,73
nmf,Latn,nmf_Latn,Tangkhul Naga (India),",",Po,COMMA,4811,8,"2017,2018,2019,2020,2021,2022,2023,2024",118,786,3000,258,278,288,34,49
nmf,Latn,nmf_Latn,Tangkhul Naga (India),z,Ll,LATIN SMALL LETTER Z,3051,8,"2017,2018,2019,2020,2021,2022,2023,2024",70,348,1959,201,132,275,42,24
nmf,Latn,nmf_Latn,Tangkhul Naga (India),ã,Ll,LATIN SMALL LETTER A WITH TILDE,2834,5,"2018,2019,2020,2021,2022",0,1391,1313,21,105,4,0,0
nmf,Latn,nmf_Latn,Tangkhul Naga (India),K,Lu,LATIN CAPITAL LETTER K,2417,8,"2017,2018,2019,2020,2021,2022,2023,2024",40,244,1684,195,57,163,15,19
nmf,Latn,nmf_Latn,Tangkhul Naga (India),A,Lu,LATIN CAPITAL LETTER A,2398,8,"2017,2018,2019,2020,2021,2022,2023,2024",29,440,1518,139,94,146,24,8
nmf,Latn,nmf_Latn,Tangkhul Naga (India),b,Ll,LATIN SMALL LETTER B,2349,8,"2017,2018,2019,2020,2021,2022,2023,2024",89,630,1127,123,146,142,58,34
