iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
nmw,Latn,nmw_Latn,Nimoa, ,Zs,SPACE,5057,5,"2018,2019,2022,2023,2024",234,718,801,1257,2047
nmw,Latn,nmw_Latn,Nimoa,e,Ll,LATIN SMALL LETTER E,3472,5,"2018,2019,2022,2023,2024",156,470,530,856,1460
nmw,Latn,nmw_Latn,Nimoa,a,Ll,LATIN SMALL LETTER A,3412,5,"2018,2019,2022,2023,2024",171,451,532,829,1429
nmw,Latn,nmw_Latn,Nimoa,i,Ll,LATIN SMALL LETTER I,2773,5,"2018,2019,2022,2023,2024",132,409,415,671,1146
nmw,Latn,nmw_Latn,Nimoa,o,Ll,LATIN SMALL LETTER O,1602,5,"2018,2019,2022,2023,2024",79,193,275,358,697
nmw,Latn,nmw_Latn,Nimoa,n,Ll,LATIN SMALL LETTER N,1568,5,"2018,2019,2022,2023,2024",64,228,228,322,726
nmw,Latn,nmw_Latn,Nimoa,u,Ll,LATIN SMALL LETTER U,1367,5,"2018,2019,2022,2023,2024",75,154,209,315,614
nmw,Latn,nmw_Latn,Nimoa,h,Ll,LATIN SMALL LETTER H,1261,5,"2018,2019,2022,2023,2024",85,163,180,308,525
nmw,Latn,nmw_Latn,Nimoa,w,Ll,LATIN SMALL LETTER W,1152,5,"2018,2019,2022,2023,2024",62,121,196,290,483
nmw,Latn,nmw_Latn,Nimoa,g,Ll,LATIN SMALL LETTER G,962,5,"2018,2019,2022,2023,2024",57,108,118,228,451
nmw,Latn,nmw_Latn,Nimoa,d,Ll,LATIN SMALL LETTER D,885,5,"2018,2019,2022,2023,2024",40,108,124,228,385
nmw,Latn,nmw_Latn,Nimoa,l,Ll,LATIN SMALL LETTER L,822,5,"2018,2019,2022,2023,2024",55,125,143,203,296
nmw,Latn,nmw_Latn,Nimoa,y,Ll,LATIN SMALL LETTER Y,805,5,"2018,2019,2022,2023,2024",28,112,128,169,368
nmw,Latn,nmw_Latn,Nimoa,t,Ll,LATIN SMALL LETTER T,802,5,"2018,2019,2022,2023,2024",25,133,112,188,344
nmw,Latn,nmw_Latn,Nimoa,s,Ll,LATIN SMALL LETTER S,780,5,"2018,2019,2022,2023,2024",35,141,133,188,283
nmw,Latn,nmw_Latn,Nimoa,b,Ll,LATIN SMALL LETTER B,741,5,"2018,2019,2022,2023,2024",37,86,129,195,294
nmw,Latn,nmw_Latn,Nimoa,k,Ll,LATIN SMALL LETTER K,602,5,"2018,2019,2022,2023,2024",27,73,106,159,237
nmw,Latn,nmw_Latn,Nimoa,m,Ll,LATIN SMALL LETTER M,598,5,"2018,2019,2022,2023,2024",44,89,79,135,251
nmw,Latn,nmw_Latn,Nimoa,p,Ll,LATIN SMALL LETTER P,341,5,"2018,2019,2022,2023,2024",21,43,34,93,150
nmw,Latn,nmw_Latn,Nimoa,",",Po,COMMA,313,5,"2018,2019,2022,2023,2024",13,58,35,78,129
nmw,Latn,nmw_Latn,Nimoa,.,Po,FULL STOP,273,5,"2018,2019,2022,2023,2024",12,35,42,66,118
nmw,Latn,nmw_Latn,Nimoa,H,Lu,LATIN CAPITAL LETTER H,180,5,"2018,2019,2022,2023,2024",9,27,38,50,56
nmw,Latn,nmw_Latn,Nimoa,r,Ll,LATIN SMALL LETTER R,159,5,"2018,2019,2022,2023,2024",2,34,35,42,46
nmw,Latn,nmw_Latn,Nimoa,-,Pd,HYPHEN-MINUS,154,5,"2018,2019,2022,2023,2024",6,16,23,38,71
nmw,Latn,nmw_Latn,Nimoa,1,Nd,DIGIT ONE,130,5,"2018,2019,2022,2023,2024",12,16,22,39,41
nmw,Latn,nmw_Latn,Nimoa,v,Ll,LATIN SMALL LETTER V,86,5,"2018,2019,2022,2023,2024",4,5,9,40,28
nmw,Latn,nmw_Latn,Nimoa,K,Lu,LATIN CAPITAL LETTER K,81,4,"2019,2022,2023,2024",0,1,26,19,35
nmw,Latn,nmw_Latn,Nimoa,2,Nd,DIGIT TWO,81,5,"2018,2019,2022,2023,2024",1,10,19,19,32
nmw,Latn,nmw_Latn,Nimoa,I,Lu,LATIN CAPITAL LETTER I,62,5,"2018,2019,2022,2023,2024",2,15,8,14,23
nmw,Latn,nmw_Latn,Nimoa,G,Lu,LATIN CAPITAL LETTER G,60,5,"2018,2019,2022,2023,2024",6,5,9,9,31
nmw,Latn,nmw_Latn,Nimoa,T,Lu,LATIN CAPITAL LETTER T,53,5,"2018,2019,2022,2023,2024",1,3,8,16,25
nmw,Latn,nmw_Latn,Nimoa,Y,Lu,LATIN CAPITAL LETTER Y,50,5,"2018,2019,2022,2023,2024",2,2,12,18,16
nmw,Latn,nmw_Latn,Nimoa,S,Lu,LATIN CAPITAL LETTER S,45,5,"2018,2019,2022,2023,2024",3,9,5,13,15
nmw,Latn,nmw_Latn,Nimoa,J,Lu,LATIN CAPITAL LETTER J,40,4,"2019,2022,2023,2024",0,21,2,12,5
nmw,Latn,nmw_Latn,Nimoa,B,Lu,LATIN CAPITAL LETTER B,34,5,"2018,2019,2022,2023,2024",1,16,2,3,12
nmw,Latn,nmw_Latn,Nimoa,3,Nd,DIGIT THREE,34,5,"2018,2019,2022,2023,2024",1,3,7,6,17
nmw,Latn,nmw_Latn,Nimoa,0,Nd,DIGIT ZERO,25,5,"2018,2019,2022,2023,2024",2,2,4,9,8
nmw,Latn,nmw_Latn,Nimoa,6,Nd,DIGIT SIX,25,5,"2018,2019,2022,2023,2024",2,2,5,8,8
nmw,Latn,nmw_Latn,Nimoa,:,Po,COLON,25,5,"2018,2019,2022,2023,2024",3,4,9,8,1
nmw,Latn,nmw_Latn,Nimoa,A,Lu,LATIN CAPITAL LETTER A,24,5,"2018,2019,2022,2023,2024",2,2,3,8,9
nmw,Latn,nmw_Latn,Nimoa,4,Nd,DIGIT FOUR,24,5,"2018,2019,2022,2023,2024",1,2,4,8,9
nmw,Latn,nmw_Latn,Nimoa,8,Nd,DIGIT EIGHT,22,5,"2018,2019,2022,2023,2024",2,3,2,7,8
nmw,Latn,nmw_Latn,Nimoa,5,Nd,DIGIT FIVE,22,5,"2018,2019,2022,2023,2024",1,2,6,4,9
nmw,Latn,nmw_Latn,Nimoa,P,Lu,LATIN CAPITAL LETTER P,20,5,"2018,2019,2022,2023,2024",1,2,7,4,6
nmw,Latn,nmw_Latn,Nimoa,L,Lu,LATIN CAPITAL LETTER L,20,5,"2018,2019,2022,2023,2024",2,4,4,7,3
nmw,Latn,nmw_Latn,Nimoa,9,Nd,DIGIT NINE,19,4,"2019,2022,2023,2024",0,2,3,6,8
nmw,Latn,nmw_Latn,Nimoa,7,Nd,DIGIT SEVEN,18,5,"2018,2019,2022,2023,2024",1,2,3,4,8
nmw,Latn,nmw_Latn,Nimoa,N,Lu,LATIN CAPITAL LETTER N,18,5,"2018,2019,2022,2023,2024",2,4,2,1,9
nmw,Latn,nmw_Latn,Nimoa,E,Lu,LATIN CAPITAL LETTER E,18,3,"2018,2022,2024",2,0,13,0,3
nmw,Latn,nmw_Latn,Nimoa,f,Ll,LATIN SMALL LETTER F,18,5,"2018,2019,2022,2023,2024",1,5,8,1,3
nmw,Latn,nmw_Latn,Nimoa,),Pe,RIGHT PARENTHESIS,17,4,"2018,2022,2023,2024",1,0,8,4,4
nmw,Latn,nmw_Latn,Nimoa,“,Pi,LEFT DOUBLE QUOTATION MARK,17,3,"2019,2023,2024",0,8,0,6,3
nmw,Latn,nmw_Latn,Nimoa,”,Pf,RIGHT DOUBLE QUOTATION MARK,17,3,"2019,2023,2024",0,8,0,6,3
nmw,Latn,nmw_Latn,Nimoa,(,Ps,LEFT PARENTHESIS,17,4,"2018,2022,2023,2024",1,0,8,4,4
nmw,Latn,nmw_Latn,Nimoa,M,Lu,LATIN CAPITAL LETTER M,16,5,"2018,2019,2022,2023,2024",1,6,2,6,1
nmw,Latn,nmw_Latn,Nimoa,W,Lu,LATIN CAPITAL LETTER W,15,5,"2018,2019,2022,2023,2024",1,2,2,2,8
nmw,Latn,nmw_Latn,Nimoa,D,Lu,LATIN CAPITAL LETTER D,8,3,"2018,2022,2024",1,0,2,0,5
