iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2020_frequency
nnp,Latn,nnp_Latn,Wancho Naga, ,Zs,SPACE,2348,1,2020,2348
nnp,Latn,nnp_Latn,Wancho Naga,a,Ll,LATIN SMALL LETTER A,1750,1,2020,1750
nnp,Latn,nnp_Latn,Wancho Naga,n,Ll,LATIN SMALL LETTER N,962,1,2020,962
nnp,Latn,nnp_Latn,Wancho Naga,i,Ll,LATIN SMALL LETTER I,887,1,2020,887
nnp,Latn,nnp_Latn,Wancho Naga,h,Ll,LATIN SMALL LETTER H,880,1,2020,880
nnp,Latn,nnp_Latn,Wancho Naga,o,Ll,LATIN SMALL LETTER O,732,1,2020,732
nnp,Latn,nnp_Latn,Wancho Naga,e,Ll,LATIN SMALL LETTER E,665,1,2020,665
nnp,Latn,nnp_Latn,Wancho Naga,k,Ll,LATIN SMALL LETTER K,579,1,2020,579
nnp,Latn,nnp_Latn,Wancho Naga,g,Ll,LATIN SMALL LETTER G,564,1,2020,564
nnp,Latn,nnp_Latn,Wancho Naga,l,Ll,LATIN SMALL LETTER L,522,1,2020,522
nnp,Latn,nnp_Latn,Wancho Naga,t,Ll,LATIN SMALL LETTER T,502,1,2020,502
nnp,Latn,nnp_Latn,Wancho Naga,m,Ll,LATIN SMALL LETTER M,480,1,2020,480
nnp,Latn,nnp_Latn,Wancho Naga,u,Ll,LATIN SMALL LETTER U,453,1,2020,453
nnp,Latn,nnp_Latn,Wancho Naga,x,Ll,LATIN SMALL LETTER X,448,1,2020,448
nnp,Latn,nnp_Latn,Wancho Naga,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,405,1,2020,405
nnp,Latn,nnp_Latn,Wancho Naga,c,Ll,LATIN SMALL LETTER C,314,1,2020,314
nnp,Latn,nnp_Latn,Wancho Naga,s,Ll,LATIN SMALL LETTER S,220,1,2020,220
nnp,Latn,nnp_Latn,Wancho Naga,y,Ll,LATIN SMALL LETTER Y,209,1,2020,209
nnp,Latn,nnp_Latn,Wancho Naga,w,Ll,LATIN SMALL LETTER W,206,1,2020,206
nnp,Latn,nnp_Latn,Wancho Naga,p,Ll,LATIN SMALL LETTER P,186,1,2020,186
nnp,Latn,nnp_Latn,Wancho Naga,.,Po,FULL STOP,140,1,2020,140
nnp,Latn,nnp_Latn,Wancho Naga,b,Ll,LATIN SMALL LETTER B,125,1,2020,125
nnp,Latn,nnp_Latn,Wancho Naga,z,Ll,LATIN SMALL LETTER Z,114,1,2020,114
nnp,Latn,nnp_Latn,Wancho Naga,j,Ll,LATIN SMALL LETTER J,89,1,2020,89
nnp,Latn,nnp_Latn,Wancho Naga,J,Lu,LATIN CAPITAL LETTER J,85,1,2020,85
nnp,Latn,nnp_Latn,Wancho Naga,1,Nd,DIGIT ONE,80,1,2020,80
nnp,Latn,nnp_Latn,Wancho Naga,",",Po,COMMA,77,1,2020,77
nnp,Latn,nnp_Latn,Wancho Naga,f,Ll,LATIN SMALL LETTER F,76,1,2020,76
nnp,Latn,nnp_Latn,Wancho Naga,I,Lu,LATIN CAPITAL LETTER I,71,1,2020,71
nnp,Latn,nnp_Latn,Wancho Naga,-,Pd,HYPHEN-MINUS,65,1,2020,65
nnp,Latn,nnp_Latn,Wancho Naga,2,Nd,DIGIT TWO,53,1,2020,53
nnp,Latn,nnp_Latn,Wancho Naga,“,Pi,LEFT DOUBLE QUOTATION MARK,53,1,2020,53
nnp,Latn,nnp_Latn,Wancho Naga,”,Pf,RIGHT DOUBLE QUOTATION MARK,53,1,2020,53
nnp,Latn,nnp_Latn,Wancho Naga,:,Po,COLON,51,1,2020,51
nnp,Latn,nnp_Latn,Wancho Naga,d,Ll,LATIN SMALL LETTER D,45,1,2020,45
nnp,Latn,nnp_Latn,Wancho Naga,;,Po,SEMICOLON,42,1,2020,42
nnp,Latn,nnp_Latn,Wancho Naga,K,Lu,LATIN CAPITAL LETTER K,41,1,2020,41
nnp,Latn,nnp_Latn,Wancho Naga,H,Lu,LATIN CAPITAL LETTER H,39,1,2020,39
nnp,Latn,nnp_Latn,Wancho Naga,3,Nd,DIGIT THREE,39,1,2020,39
nnp,Latn,nnp_Latn,Wancho Naga,r,Ll,LATIN SMALL LETTER R,38,1,2020,38
nnp,Latn,nnp_Latn,Wancho Naga,4,Nd,DIGIT FOUR,37,1,2020,37
nnp,Latn,nnp_Latn,Wancho Naga,C,Lu,LATIN CAPITAL LETTER C,34,1,2020,34
nnp,Latn,nnp_Latn,Wancho Naga,Z,Lu,LATIN CAPITAL LETTER Z,29,1,2020,29
nnp,Latn,nnp_Latn,Wancho Naga,?,Po,QUESTION MARK,25,1,2020,25
nnp,Latn,nnp_Latn,Wancho Naga,N,Lu,LATIN CAPITAL LETTER N,23,1,2020,23
nnp,Latn,nnp_Latn,Wancho Naga,M,Lu,LATIN CAPITAL LETTER M,23,1,2020,23
nnp,Latn,nnp_Latn,Wancho Naga,O,Lu,LATIN CAPITAL LETTER O,23,1,2020,23
nnp,Latn,nnp_Latn,Wancho Naga,5,Nd,DIGIT FIVE,21,1,2020,21
nnp,Latn,nnp_Latn,Wancho Naga,6,Nd,DIGIT SIX,19,1,2020,19
nnp,Latn,nnp_Latn,Wancho Naga,8,Nd,DIGIT EIGHT,19,1,2020,19
nnp,Latn,nnp_Latn,Wancho Naga,0,Nd,DIGIT ZERO,18,1,2020,18
nnp,Latn,nnp_Latn,Wancho Naga,9,Nd,DIGIT NINE,16,1,2020,16
nnp,Latn,nnp_Latn,Wancho Naga,7,Nd,DIGIT SEVEN,13,1,2020,13
nnp,Latn,nnp_Latn,Wancho Naga,L,Lu,LATIN CAPITAL LETTER L,12,1,2020,12
nnp,Latn,nnp_Latn,Wancho Naga,A,Lu,LATIN CAPITAL LETTER A,11,1,2020,11
nnp,Latn,nnp_Latn,Wancho Naga,P,Lu,LATIN CAPITAL LETTER P,11,1,2020,11
nnp,Latn,nnp_Latn,Wancho Naga,!,Po,EXCLAMATION MARK,11,1,2020,11
nnp,Latn,nnp_Latn,Wancho Naga,),Pe,RIGHT PARENTHESIS,10,1,2020,10
