iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
nog,Cyrl,nog_Cyrl,Nogai, ,Zs,SPACE,595236,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1779,304,596,101445,52678,53867,49131,66354,90645,175481,2956
nog,Cyrl,nog_Cyrl,Nogai,а,Ll,CYRILLIC SMALL LETTER A,482993,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",746,163,282,78340,41615,43821,36640,55121,76322,147651,2292
nog,Cyrl,nog_Cyrl,Nogai,н,Ll,CYRILLIC SMALL LETTER EN,296023,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",486,122,157,46383,26209,27070,22580,33702,46729,91089,1496
nog,Cyrl,nog_Cyrl,Nogai,е,Ll,CYRILLIC SMALL LETTER IE,267909,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",554,102,160,43345,24428,24084,21813,30010,42282,79708,1423
nog,Cyrl,nog_Cyrl,Nogai,л,Ll,CYRILLIC SMALL LETTER EL,256348,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",237,51,148,36944,21923,23645,18966,29647,42335,81241,1211
nog,Cyrl,nog_Cyrl,Nogai,ы,Ll,CYRILLIC SMALL LETTER YERU,254675,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",400,96,155,40598,20952,22949,18889,29278,40916,79169,1273
nog,Cyrl,nog_Cyrl,Nogai,и,Ll,CYRILLIC SMALL LETTER I,252584,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",363,71,85,35787,23945,23195,19719,28163,41216,78736,1304
nog,Cyrl,nog_Cyrl,Nogai,р,Ll,CYRILLIC SMALL LETTER ER,218347,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",335,59,102,32390,19349,20153,15934,25600,35540,67816,1069
nog,Cyrl,nog_Cyrl,Nogai,к,Ll,CYRILLIC SMALL LETTER KA,176235,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",298,60,108,30429,15410,15361,13942,20399,27003,52315,910
nog,Cyrl,nog_Cyrl,Nogai,т,Ll,CYRILLIC SMALL LETTER TE,161375,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",263,51,87,26826,14746,14783,12417,18006,25004,48421,771
nog,Cyrl,nog_Cyrl,Nogai,д,Ll,CYRILLIC SMALL LETTER DE,156862,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",349,68,66,26608,13654,14442,12798,16783,24501,46793,800
nog,Cyrl,nog_Cyrl,Nogai,о,Ll,CYRILLIC SMALL LETTER O,156119,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",198,45,62,24308,15832,14906,13250,16559,23610,46537,812
nog,Cyrl,nog_Cyrl,Nogai,с,Ll,CYRILLIC SMALL LETTER ES,140721,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",295,53,79,21604,13561,12963,11305,15969,21737,42340,815
nog,Cyrl,nog_Cyrl,Nogai,м,Ll,CYRILLIC SMALL LETTER EM,115248,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",305,46,75,20157,10186,10341,9866,12128,17727,33766,651
nog,Cyrl,nog_Cyrl,Nogai,г,Ll,CYRILLIC SMALL LETTER GHE,106566,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",138,38,38,17119,9361,9389,7953,12384,17060,32586,500
nog,Cyrl,nog_Cyrl,Nogai,й,Ll,CYRILLIC SMALL LETTER SHORT I,91012,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",157,27,27,15775,7773,8274,7270,10167,14046,27061,435
nog,Cyrl,nog_Cyrl,Nogai,б,Ll,CYRILLIC SMALL LETTER BE,87573,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",173,40,60,13559,7736,8073,6956,10559,13826,26130,461
nog,Cyrl,nog_Cyrl,Nogai,ь,Ll,CYRILLIC SMALL LETTER SOFT SIGN,87193,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",5,0,8,14010,7335,7732,6683,10483,13600,26973,364
nog,Cyrl,nog_Cyrl,Nogai,у,Ll,CYRILLIC SMALL LETTER U,85727,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",165,33,38,12840,7949,7975,6843,10078,13482,25833,491
nog,Cyrl,nog_Cyrl,Nogai,в,Ll,CYRILLIC SMALL LETTER VE,69975,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",8,0,8,8970,6999,6594,5342,7935,11683,22135,301
nog,Cyrl,nog_Cyrl,Nogai,з,Ll,CYRILLIC SMALL LETTER ZE,60963,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",96,24,29,10504,5438,5498,4931,6510,9288,18302,343
nog,Cyrl,nog_Cyrl,Nogai,п,Ll,CYRILLIC SMALL LETTER PE,57727,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",112,17,32,11354,5532,4964,5123,5961,8085,16270,277
nog,Cyrl,nog_Cyrl,Nogai,",",Po,COMMA,54987,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",136,11,19,11162,4703,4656,5252,5822,7671,15265,290
nog,Cyrl,nog_Cyrl,Nogai,ш,Ll,CYRILLIC SMALL LETTER SHA,52795,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",75,10,21,8219,4309,4581,3848,6174,9037,16294,227
nog,Cyrl,nog_Cyrl,Nogai,.,Po,FULL STOP,52489,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",152,45,27,10672,4554,4460,4340,5497,7898,14649,195
nog,Cyrl,nog_Cyrl,Nogai,ъ,Ll,CYRILLIC SMALL LETTER HARD SIGN,48533,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0,0,4,7530,3733,4364,3303,6325,7712,15392,170
nog,Cyrl,nog_Cyrl,Nogai,я,Ll,CYRILLIC SMALL LETTER YA,40033,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",6,3,12,6291,3760,3475,3119,5509,5905,11765,188
nog,Cyrl,nog_Cyrl,Nogai,э,Ll,CYRILLIC SMALL LETTER E,27278,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0,0,5,4285,2249,2448,1983,2958,4606,8614,130
nog,Cyrl,nog_Cyrl,Nogai,А,Lu,CYRILLIC CAPITAL LETTER A,13753,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",34,2,16,2748,1189,1222,1236,1354,2036,3847,69
nog,Cyrl,nog_Cyrl,Nogai,-,Pd,HYPHEN-MINUS,13356,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",38,2,51,1823,1347,1712,1006,1268,2001,4051,57
nog,Cyrl,nog_Cyrl,Nogai,С,Lu,CYRILLIC CAPITAL LETTER ES,12224,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",25,2,7,1701,1028,1128,834,1434,2052,3967,46
nog,Cyrl,nog_Cyrl,Nogai,х,Ll,CYRILLIC SMALL LETTER HA,12054,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",12,3,8,2066,1345,1228,971,1044,1644,3650,83
nog,Cyrl,nog_Cyrl,Nogai,К,Lu,CYRILLIC CAPITAL LETTER KA,11822,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",21,5,4,2294,1006,1163,933,1152,1656,3527,61
nog,Cyrl,nog_Cyrl,Nogai,Б,Lu,CYRILLIC CAPITAL LETTER BE,9347,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",14,5,7,1615,752,844,668,995,1602,2819,26
nog,Cyrl,nog_Cyrl,Nogai,М,Lu,CYRILLIC CAPITAL LETTER EM,9254,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",20,2,4,1389,928,829,680,935,1505,2931,31
nog,Cyrl,nog_Cyrl,Nogai,О,Lu,CYRILLIC CAPITAL LETTER O,8488,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",12,4,6,1468,780,809,578,868,1413,2493,57
nog,Cyrl,nog_Cyrl,Nogai,ж,Ll,CYRILLIC SMALL LETTER ZHE,8199,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",117,23,28,1112,941,774,859,1224,1095,1941,85
nog,Cyrl,nog_Cyrl,Nogai,ю,Ll,CYRILLIC SMALL LETTER YU,7290,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",4,0,3,1292,683,618,607,860,1012,2180,31
nog,Cyrl,nog_Cyrl,Nogai,–,Pd,EN DASH,6936,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0,0,9,954,919,516,816,679,815,2218,10
nog,Cyrl,nog_Cyrl,Nogai,»,Pf,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,6860,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,0,819,630,610,471,714,1190,2411,15
