iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2017_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency
not,Latn,not_Latn,Nomatsiguenga,i,Ll,LATIN SMALL LETTER I,57625,6,"2013,2014,2017,2019,2021,2022",3012,1198,1646,450,18530,32789
not,Latn,not_Latn,Nomatsiguenga,a,Ll,LATIN SMALL LETTER A,56006,6,"2013,2014,2017,2019,2021,2022",3379,1105,2005,407,17242,31868
not,Latn,not_Latn,Nomatsiguenga, ,Zs,SPACE,39736,6,"2013,2014,2017,2019,2021,2022",2160,812,1267,385,12510,22602
not,Latn,not_Latn,Nomatsiguenga,o,Ll,LATIN SMALL LETTER O,27156,6,"2013,2014,2017,2019,2021,2022",1167,587,717,245,9169,15271
not,Latn,not_Latn,Nomatsiguenga,n,Ll,LATIN SMALL LETTER N,26726,6,"2013,2014,2017,2019,2021,2022",1598,529,939,167,8668,14825
not,Latn,not_Latn,Nomatsiguenga,r,Ll,LATIN SMALL LETTER R,26641,6,"2013,2014,2017,2019,2021,2022",1193,616,720,277,8499,15336
not,Latn,not_Latn,Nomatsiguenga,t,Ll,LATIN SMALL LETTER T,25669,6,"2013,2014,2017,2019,2021,2022",1444,526,837,161,8271,14430
not,Latn,not_Latn,Nomatsiguenga,g,Ll,LATIN SMALL LETTER G,17210,6,"2013,2014,2017,2019,2021,2022",1127,285,720,74,5076,9928
not,Latn,not_Latn,Nomatsiguenga,e,Ll,LATIN SMALL LETTER E,16133,6,"2013,2014,2017,2019,2021,2022",1087,334,692,100,4714,9206
not,Latn,not_Latn,Nomatsiguenga,s,Ll,LATIN SMALL LETTER S,16048,6,"2013,2014,2017,2019,2021,2022",667,341,404,132,5286,9218
not,Latn,not_Latn,Nomatsiguenga,u,Ll,LATIN SMALL LETTER U,14671,6,"2013,2014,2017,2019,2021,2022",865,272,479,90,4481,8484
not,Latn,not_Latn,Nomatsiguenga,c,Ll,LATIN SMALL LETTER C,10271,6,"2013,2014,2017,2019,2021,2022",600,218,362,78,3278,5735
not,Latn,not_Latn,Nomatsiguenga,m,Ll,LATIN SMALL LETTER M,9161,6,"2013,2014,2017,2019,2021,2022",530,136,340,90,2977,5088
not,Latn,not_Latn,Nomatsiguenga,q,Ll,LATIN SMALL LETTER Q,6520,6,"2013,2014,2017,2019,2021,2022",380,129,172,49,2025,3765
not,Latn,not_Latn,Nomatsiguenga,ë,Ll,LATIN SMALL LETTER E WITH DIAERESIS,5779,6,"2013,2014,2017,2019,2021,2022",202,133,82,34,1887,3441
not,Latn,not_Latn,Nomatsiguenga,p,Ll,LATIN SMALL LETTER P,5192,6,"2013,2014,2017,2019,2021,2022",314,87,142,17,1382,3250
not,Latn,not_Latn,Nomatsiguenga,b,Ll,LATIN SMALL LETTER B,4878,6,"2013,2014,2017,2019,2021,2022",208,121,107,40,1574,2828
not,Latn,not_Latn,Nomatsiguenga,.,Po,FULL STOP,4787,6,"2013,2014,2017,2019,2021,2022",294,107,167,75,1584,2560
not,Latn,not_Latn,Nomatsiguenga,",",Po,COMMA,2839,6,"2013,2014,2017,2019,2021,2022",89,30,51,23,842,1804
not,Latn,not_Latn,Nomatsiguenga,j,Ll,LATIN SMALL LETTER J,2286,6,"2013,2014,2017,2019,2021,2022",119,46,63,42,685,1331
not,Latn,not_Latn,Nomatsiguenga,I,Lu,LATIN CAPITAL LETTER I,2217,6,"2013,2014,2017,2019,2021,2022",56,88,43,38,951,1041
not,Latn,not_Latn,Nomatsiguenga,A,Lu,LATIN CAPITAL LETTER A,2070,6,"2013,2014,2017,2019,2021,2022",154,39,122,37,749,969
not,Latn,not_Latn,Nomatsiguenga,T,Lu,LATIN CAPITAL LETTER T,1718,6,"2013,2014,2017,2019,2021,2022",51,25,36,8,689,909
not,Latn,not_Latn,Nomatsiguenga,á,Ll,LATIN SMALL LETTER A WITH ACUTE,1367,6,"2013,2014,2017,2019,2021,2022",68,32,22,18,543,684
not,Latn,not_Latn,Nomatsiguenga,1,Nd,DIGIT ONE,1081,6,"2013,2014,2017,2019,2021,2022",27,23,13,18,338,662
not,Latn,not_Latn,Nomatsiguenga,y,Ll,LATIN SMALL LETTER Y,1079,6,"2013,2014,2017,2019,2021,2022",13,29,20,5,339,673
not,Latn,not_Latn,Nomatsiguenga,J,Lu,LATIN CAPITAL LETTER J,956,6,"2013,2014,2017,2019,2021,2022",4,55,5,31,409,452
not,Latn,not_Latn,Nomatsiguenga,P,Lu,LATIN CAPITAL LETTER P,770,6,"2013,2014,2017,2019,2021,2022",3,20,3,1,277,466
not,Latn,not_Latn,Nomatsiguenga,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,702,6,"2013,2014,2017,2019,2021,2022",26,13,19,13,275,356
not,Latn,not_Latn,Nomatsiguenga,N,Lu,LATIN CAPITAL LETTER N,682,6,"2013,2014,2017,2019,2021,2022",27,20,29,4,352,250
not,Latn,not_Latn,Nomatsiguenga,C,Lu,LATIN CAPITAL LETTER C,679,6,"2013,2014,2017,2019,2021,2022",87,24,42,6,219,301
not,Latn,not_Latn,Nomatsiguenga,2,Nd,DIGIT TWO,648,6,"2013,2014,2017,2019,2021,2022",27,16,13,11,199,382
not,Latn,not_Latn,Nomatsiguenga,:,Po,COLON,616,6,"2013,2014,2017,2019,2021,2022",9,32,3,9,186,377
not,Latn,not_Latn,Nomatsiguenga,Q,Lu,LATIN CAPITAL LETTER Q,552,6,"2013,2014,2017,2019,2021,2022",30,19,20,4,233,246
not,Latn,not_Latn,Nomatsiguenga,h,Ll,LATIN SMALL LETTER H,533,6,"2013,2014,2017,2019,2021,2022",22,9,15,10,124,353
not,Latn,not_Latn,Nomatsiguenga,O,Lu,LATIN CAPITAL LETTER O,480,6,"2013,2014,2017,2019,2021,2022",29,12,19,10,200,210
