iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
npi,Latn,npi_Latn,Nepali (individual language), ,Zs,SPACE,1639983,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",51762,137111,26790,59508,136659,96497,102517,441797,333333,154992,84994,14023
npi,Latn,npi_Latn,Nepali (individual language),a,Ll,LATIN SMALL LETTER A,1437523,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",47464,120820,22521,48397,125288,98094,93757,339661,296790,151124,79992,13615
npi,Latn,npi_Latn,Nepali (individual language),i,Ll,LATIN SMALL LETTER I,611057,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",17018,52366,9183,18571,47638,39960,39546,164530,122823,59862,34208,5352
npi,Latn,npi_Latn,Nepali (individual language),h,Ll,LATIN SMALL LETTER H,502061,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15325,43686,7949,18229,44596,34845,31683,121364,98892,53237,27592,4663
npi,Latn,npi_Latn,Nepali (individual language),e,Ll,LATIN SMALL LETTER E,498175,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",14345,42685,7123,18269,40921,31735,28922,141579,99772,46119,22491,4214
npi,Latn,npi_Latn,Nepali (individual language),n,Ll,LATIN SMALL LETTER N,439394,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15363,37051,7397,18246,38163,25701,26698,109804,90914,43857,22106,4094
npi,Latn,npi_Latn,Nepali (individual language),o,Ll,LATIN SMALL LETTER O,418960,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11647,36382,5998,14528,36109,26202,24427,120303,82828,38110,19120,3306
npi,Latn,npi_Latn,Nepali (individual language),r,Ll,LATIN SMALL LETTER R,386513,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13451,31375,6011,14088,32751,24704,23821,97429,77166,40407,21534,3776
npi,Latn,npi_Latn,Nepali (individual language),t,Ll,LATIN SMALL LETTER T,349629,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10335,31831,5097,13463,30798,23752,21727,95673,67692,30825,15430,3006
npi,Latn,npi_Latn,Nepali (individual language),s,Ll,LATIN SMALL LETTER S,291839,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9174,22420,4345,9472,23026,17647,18133,71383,67422,31407,14578,2832
npi,Latn,npi_Latn,Nepali (individual language),u,Ll,LATIN SMALL LETTER U,287372,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9274,25998,4496,9576,23320,17145,19719,74474,57466,29086,14380,2438
npi,Latn,npi_Latn,Nepali (individual language),k,Ll,LATIN SMALL LETTER K,276090,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8185,26158,4479,9281,22899,18172,17338,75164,53391,24913,13848,2262
npi,Latn,npi_Latn,Nepali (individual language),l,Ll,LATIN SMALL LETTER L,269515,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8063,24972,4351,9789,22421,17886,16548,74006,51364,24696,13196,2223
npi,Latn,npi_Latn,Nepali (individual language),m,Ll,LATIN SMALL LETTER M,243789,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8243,20963,4140,7028,20124,18648,15726,63250,46567,23474,13349,2277
npi,Latn,npi_Latn,Nepali (individual language),d,Ll,LATIN SMALL LETTER D,198120,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5962,15791,3314,6730,15325,12758,14312,52820,40993,18566,9621,1928
