iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency
nrf,Latn,nrf_Latn,Jèrriais, ,Zs,SPACE,55581,7,"2016,2017,2018,2019,2020,2021,2022",15705,19337,13386,5351,618,457,727
nrf,Latn,nrf_Latn,Jèrriais,e,Ll,LATIN SMALL LETTER E,27720,7,"2016,2017,2018,2019,2020,2021,2022",8885,7568,7919,2742,111,190,305
nrf,Latn,nrf_Latn,Jèrriais,s,Ll,LATIN SMALL LETTER S,17993,7,"2016,2017,2018,2019,2020,2021,2022",5980,6388,3769,1366,80,117,293
nrf,Latn,nrf_Latn,Jèrriais,i,Ll,LATIN SMALL LETTER I,16756,7,"2016,2017,2018,2019,2020,2021,2022",2604,5901,6114,1663,147,145,182
nrf,Latn,nrf_Latn,Jèrriais,n,Ll,LATIN SMALL LETTER N,16035,7,"2016,2017,2018,2019,2020,2021,2022",5364,5869,3150,1199,183,89,181
nrf,Latn,nrf_Latn,Jèrriais,à,Ll,LATIN SMALL LETTER A WITH GRAVE,15647,7,"2016,2017,2018,2019,2020,2021,2022",5915,5519,2926,1151,40,51,45
nrf,Latn,nrf_Latn,Jèrriais,r,Ll,LATIN SMALL LETTER R,12239,7,"2016,2017,2018,2019,2020,2021,2022",4379,3092,3214,1218,87,97,152
nrf,Latn,nrf_Latn,Jèrriais,t,Ll,LATIN SMALL LETTER T,12205,7,"2016,2017,2018,2019,2020,2021,2022",3928,3374,3218,1306,66,124,189
nrf,Latn,nrf_Latn,Jèrriais,l,Ll,LATIN SMALL LETTER L,11689,7,"2016,2017,2018,2019,2020,2021,2022",4255,3828,2296,990,84,96,140
nrf,Latn,nrf_Latn,Jèrriais,m,Ll,LATIN SMALL LETTER M,7777,7,"2016,2017,2018,2019,2020,2021,2022",1935,2734,2148,790,42,52,76
nrf,Latn,nrf_Latn,Jèrriais,O,Lu,LATIN CAPITAL LETTER O,7616,7,"2016,2017,2018,2019,2020,2021,2022",3078,2910,1163,425,8,31,1
nrf,Latn,nrf_Latn,Jèrriais,d,Ll,LATIN SMALL LETTER D,7410,7,"2016,2017,2018,2019,2020,2021,2022",2356,2732,1418,578,173,49,104
nrf,Latn,nrf_Latn,Jèrriais,E,Lu,LATIN CAPITAL LETTER E,6738,7,"2016,2017,2018,2019,2020,2021,2022",2007,4441,117,161,6,1,5
nrf,Latn,nrf_Latn,Jèrriais,p,Ll,LATIN SMALL LETTER P,6128,7,"2016,2017,2018,2019,2020,2021,2022",1386,2455,1540,604,21,53,69
nrf,Latn,nrf_Latn,Jèrriais,c,Ll,LATIN SMALL LETTER C,5530,7,"2016,2017,2018,2019,2020,2021,2022",1776,1566,1497,528,45,44,74
nrf,Latn,nrf_Latn,Jèrriais,ù,Ll,LATIN SMALL LETTER U WITH GRAVE,5431,7,"2016,2017,2018,2019,2020,2021,2022",33,1723,2702,911,15,38,9
nrf,Latn,nrf_Latn,Jèrriais,I,Lu,LATIN CAPITAL LETTER I,5232,7,"2016,2017,2018,2019,2020,2021,2022",2989,2071,94,64,8,3,3
nrf,Latn,nrf_Latn,Jèrriais,u,Ll,LATIN SMALL LETTER U,4871,7,"2016,2017,2018,2019,2020,2021,2022",1911,1305,907,366,74,87,221
nrf,Latn,nrf_Latn,Jèrriais,U,Lu,LATIN CAPITAL LETTER U,4454,5,"2016,2017,2018,2019,2020",2569,1790,51,42,2,0,0
nrf,Latn,nrf_Latn,Jèrriais,o,Ll,LATIN SMALL LETTER O,4152,7,"2016,2017,2018,2019,2020,2021,2022",935,1179,1237,523,90,56,132
nrf,Latn,nrf_Latn,Jèrriais,T,Lu,LATIN CAPITAL LETTER T,4001,7,"2016,2017,2018,2019,2020,2021,2022",1317,2375,203,96,2,6,2
