iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
nsn,Latn,nsn_Latn,Nehan, ,Zs,SPACE,247377,8,"2017,2018,2019,2020,2021,2022,2023,2024",916,151678,63547,24599,863,1456,2832,1486
nsn,Latn,nsn_Latn,Nehan,a,Ll,LATIN SMALL LETTER A,185828,8,"2017,2018,2019,2020,2021,2022,2023,2024",650,111299,48971,19495,736,1170,2345,1162
nsn,Latn,nsn_Latn,Nehan,e,Ll,LATIN SMALL LETTER E,101325,8,"2017,2018,2019,2020,2021,2022,2023,2024",417,64377,24770,9250,321,614,1070,506
nsn,Latn,nsn_Latn,Nehan,o,Ll,LATIN SMALL LETTER O,93977,8,"2017,2018,2019,2020,2021,2022,2023,2024",428,57321,24814,8862,357,562,1018,615
nsn,Latn,nsn_Latn,Nehan,n,Ll,LATIN SMALL LETTER N,93793,8,"2017,2018,2019,2020,2021,2022,2023,2024",227,57021,24615,9413,382,495,1082,558
nsn,Latn,nsn_Latn,Nehan,t,Ll,LATIN SMALL LETTER T,90229,8,"2017,2018,2019,2020,2021,2022,2023,2024",880,54462,23401,8673,344,924,1000,545
nsn,Latn,nsn_Latn,Nehan,i,Ll,LATIN SMALL LETTER I,88416,8,"2017,2018,2019,2020,2021,2022,2023,2024",412,53224,23310,8950,377,563,1052,528
nsn,Latn,nsn_Latn,Nehan,u,Ll,LATIN SMALL LETTER U,83978,8,"2017,2018,2019,2020,2021,2022,2023,2024",250,49891,23009,8465,379,354,1017,613
nsn,Latn,nsn_Latn,Nehan,r,Ll,LATIN SMALL LETTER R,72453,8,"2017,2018,2019,2020,2021,2022,2023,2024",605,45235,17793,6764,243,604,729,480
nsn,Latn,nsn_Latn,Nehan,g,Ll,LATIN SMALL LETTER G,55759,8,"2017,2018,2019,2020,2021,2022,2023,2024",236,32559,15489,5754,285,352,693,391
nsn,Latn,nsn_Latn,Nehan,k,Ll,LATIN SMALL LETTER K,50156,8,"2017,2018,2019,2020,2021,2022,2023,2024",3,30310,13156,5469,170,146,572,330
nsn,Latn,nsn_Latn,Nehan,m,Ll,LATIN SMALL LETTER M,44295,8,"2017,2018,2019,2020,2021,2022,2023,2024",108,26379,12008,4475,272,232,586,235
nsn,Latn,nsn_Latn,Nehan,l,Ll,LATIN SMALL LETTER L,36179,8,"2017,2018,2019,2020,2021,2022,2023,2024",161,22250,9161,3677,129,156,389,256
nsn,Latn,nsn_Latn,Nehan,h,Ll,LATIN SMALL LETTER H,35569,8,"2017,2018,2019,2020,2021,2022,2023,2024",10,23471,8192,3064,133,121,385,193
nsn,Latn,nsn_Latn,Nehan,s,Ll,LATIN SMALL LETTER S,35522,8,"2017,2018,2019,2020,2021,2022,2023,2024",112,24237,7438,3079,68,112,332,144
nsn,Latn,nsn_Latn,Nehan,p,Ll,LATIN SMALL LETTER P,26359,8,"2017,2018,2019,2020,2021,2022,2023,2024",50,15764,6843,3035,85,115,328,139
nsn,Latn,nsn_Latn,Nehan,",",Po,COMMA,17545,8,"2017,2018,2019,2020,2021,2022,2023,2024",7,10971,4323,1788,65,61,209,121
nsn,Latn,nsn_Latn,Nehan,d,Ll,LATIN SMALL LETTER D,14081,8,"2017,2018,2019,2020,2021,2022,2023,2024",56,9484,3093,1054,59,70,196,69
nsn,Latn,nsn_Latn,Nehan,.,Po,FULL STOP,12528,8,"2017,2018,2019,2020,2021,2022,2023,2024",1,7116,3764,1310,40,53,168,76
nsn,Latn,nsn_Latn,Nehan,b,Ll,LATIN SMALL LETTER B,12387,8,"2017,2018,2019,2020,2021,2022,2023,2024",25,8081,2890,1136,41,36,116,62
nsn,Latn,nsn_Latn,Nehan,1,Nd,DIGIT ONE,5851,8,"2017,2018,2019,2020,2021,2022,2023,2024",22,2685,2223,679,16,57,142,27
