iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
nyo,Latn,nyo_Latn,Nyoro,a,Ll,LATIN SMALL LETTER A,147489,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",133226,7715,4023,150,487,164,80,877,411,356
nyo,Latn,nyo_Latn,Nyoro, ,Zs,SPACE,122875,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",109955,6097,3133,126,358,147,54,1702,693,610
nyo,Latn,nyo_Latn,Nyoro,i,Ll,LATIN SMALL LETTER I,79348,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",72312,3971,2006,97,188,96,27,360,151,140
nyo,Latn,nyo_Latn,Nyoro,u,Ll,LATIN SMALL LETTER U,66890,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",60828,3307,1721,70,150,93,35,337,197,152
nyo,Latn,nyo_Latn,Nyoro,e,Ll,LATIN SMALL LETTER E,54282,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",49232,2684,1387,61,99,65,19,358,198,179
nyo,Latn,nyo_Latn,Nyoro,b,Ll,LATIN SMALL LETTER B,51385,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",46605,2630,1315,75,112,38,17,306,148,139
nyo,Latn,nyo_Latn,Nyoro,n,Ll,LATIN SMALL LETTER N,51142,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",46363,2583,1352,60,81,62,20,335,149,137
nyo,Latn,nyo_Latn,Nyoro,o,Ll,LATIN SMALL LETTER O,50663,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",46067,2473,1295,59,131,43,16,301,142,136
nyo,Latn,nyo_Latn,Nyoro,k,Ll,LATIN SMALL LETTER K,47478,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",43190,2413,1191,40,98,49,7,245,117,128
nyo,Latn,nyo_Latn,Nyoro,r,Ll,LATIN SMALL LETTER R,41472,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",37663,2138,1168,37,118,43,14,162,70,59
nyo,Latn,nyo_Latn,Nyoro,m,Ll,LATIN SMALL LETTER M,34263,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",31133,1640,856,37,71,58,25,216,145,82
nyo,Latn,nyo_Latn,Nyoro,w,Ll,LATIN SMALL LETTER W,26452,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",24096,1279,578,16,63,56,12,185,99,68
nyo,Latn,nyo_Latn,Nyoro,g,Ll,LATIN SMALL LETTER G,25372,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",23024,1264,661,26,19,18,14,165,106,75
