iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2017_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
ojb,Cans,ojb_Cans,Northwestern Ojibwa, ,Zs,SPACE,219998,8,"2013,2014,2017,2019,2020,2021,2022,2023",130003,2935,78357,3234,270,2739,573,1887
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᐃ,Lo,CANADIAN SYLLABICS I,51632,8,"2013,2014,2017,2019,2020,2021,2022,2023",31308,774,17245,508,70,1313,118,296
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᓂ,Lo,CANADIAN SYLLABICS NI,50688,8,"2013,2014,2017,2019,2020,2021,2022,2023",31206,753,16666,797,45,745,145,331
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᓐ,Lo,CANADIAN SYLLABICS N,44236,8,"2013,2014,2017,2019,2020,2021,2022,2023",25954,658,14085,1113,22,1069,101,1234
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᑭ,Lo,CANADIAN SYLLABICS KI,36857,8,"2013,2014,2017,2019,2020,2021,2022,2023",21909,493,11912,851,36,1039,37,580
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᑕ,Lo,CANADIAN SYLLABICS TA,35644,8,"2013,2014,2017,2019,2020,2021,2022,2023",21839,478,11576,702,35,647,47,320
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᒋ,Lo,CANADIAN SYLLABICS CI,30729,8,"2013,2014,2017,2019,2020,2021,2022,2023",18918,474,9408,636,35,680,46,532
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᑮ,Lo,CANADIAN SYLLABICS KII,30271,7,"2013,2014,2017,2019,2020,2022,2023",18565,340,11107,133,26,0,85,15
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᐅ,Lo,CANADIAN SYLLABICS O,30171,8,"2013,2014,2017,2019,2020,2021,2022,2023",18222,390,10261,483,21,472,102,220
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᐊ,Lo,CANADIAN SYLLABICS A,28480,8,"2013,2014,2017,2019,2020,2021,2022,2023",16466,355,9846,504,53,953,84,219
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᑲ,Lo,CANADIAN SYLLABICS KA,28465,8,"2013,2014,2017,2019,2020,2021,2022,2023",16346,384,8530,980,40,1516,52,617
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᑳ,Lo,CANADIAN SYLLABICS KAA,28416,7,"2013,2014,2017,2019,2020,2022,2023",18289,425,9487,127,42,0,45,1
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᒡ,Lo,CANADIAN SYLLABICS C,26559,8,"2013,2014,2017,2019,2020,2021,2022,2023",16240,384,9450,298,1,12,41,133
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᒃ,Lo,CANADIAN SYLLABICS K,23322,8,"2013,2014,2017,2019,2020,2021,2022,2023",14274,344,7172,682,6,479,13,352
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᔥ,Lo,CANADIAN SYLLABICS SH,22907,8,"2013,2014,2017,2019,2020,2021,2022,2023",14034,314,8058,199,19,166,30,87
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᔑ,Lo,CANADIAN SYLLABICS SHI,22074,8,"2013,2014,2017,2019,2020,2021,2022,2023",13630,328,7022,429,19,379,28,239
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᐙ,Lo,CANADIAN SYLLABICS WAA,20332,6,"2013,2014,2017,2019,2020,2022",12744,287,7179,67,31,0,24,0
ojb,Cans,ojb_Cans,Northwestern Ojibwa,᙮,Po,CANADIAN SYLLABICS FULL STOP,20248,7,"2013,2014,2017,2019,2020,2022,2023",12535,283,7011,182,70,0,44,123
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᓇ,Lo,CANADIAN SYLLABICS NA,19992,8,"2013,2014,2017,2019,2020,2021,2022,2023",11676,310,6150,665,33,655,15,488
ojb,Cans,ojb_Cans,Northwestern Ojibwa,",",Po,COMMA,18468,8,"2013,2014,2017,2019,2020,2021,2022,2023",11309,253,6230,201,6,245,39,185
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᐁ,Lo,CANADIAN SYLLABICS E,18416,8,"2013,2014,2017,2019,2020,2021,2022,2023",11233,266,6016,342,3,342,36,178
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᐎ,Lo,CANADIAN SYLLABICS WI,17972,6,"2013,2014,2017,2019,2020,2022",11523,340,5495,573,11,0,30,0
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᑯ,Lo,CANADIAN SYLLABICS KO,17474,8,"2013,2014,2017,2019,2020,2021,2022,2023",10621,266,5548,381,28,383,55,192
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᒫ,Lo,CANADIAN SYLLABICS MAA,17029,7,"2013,2014,2017,2019,2020,2022,2023",10628,238,6047,57,23,0,35,1
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᑫ,Lo,CANADIAN SYLLABICS KE,16610,8,"2013,2014,2017,2019,2020,2021,2022,2023",10021,284,5305,280,35,431,13,241
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᒥ,Lo,CANADIAN SYLLABICS MI,15805,8,"2013,2014,2017,2019,2020,2021,2022,2023",9694,229,4881,489,29,307,13,163
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᓯ,Lo,CANADIAN SYLLABICS SI,15191,8,"2013,2014,2017,2019,2020,2021,2022,2023",9446,216,4794,255,28,191,91,170
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᑎ,Lo,CANADIAN SYLLABICS TI,14838,8,"2013,2014,2017,2019,2020,2021,2022,2023",9350,268,4564,166,29,328,22,111
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᐱ,Lo,CANADIAN SYLLABICS PI,14783,8,"2013,2014,2017,2019,2020,2021,2022,2023",8758,173,4859,295,22,467,34,175
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᒪ,Lo,CANADIAN SYLLABICS MA,14122,8,"2013,2014,2017,2019,2020,2021,2022,2023",8218,215,4124,529,14,685,26,311
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᐌ,Lo,CANADIAN SYLLABICS WE,13195,6,"2013,2014,2017,2019,2020,2022",8321,209,4416,209,19,0,21,0
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᐐ,Lo,CANADIAN SYLLABICS WII,12233,6,"2013,2014,2017,2019,2020,2022",7988,219,3976,15,15,0,20,0
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᓈ,Lo,CANADIAN SYLLABICS NAA,12222,7,"2013,2014,2017,2019,2020,2022,2023",7610,206,4350,27,14,0,14,1
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᐗ,Lo,CANADIAN SYLLABICS WA,10813,6,"2013,2014,2017,2019,2020,2022",6593,141,3653,388,12,0,26,0
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᐸ,Lo,CANADIAN SYLLABICS PA,10345,8,"2013,2014,2017,2019,2020,2021,2022,2023",6258,131,3310,174,27,289,16,140
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᒦ,Lo,CANADIAN SYLLABICS MII,10041,7,"2013,2014,2017,2019,2020,2022,2023",6189,143,3503,57,12,0,18,119
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᕽ,Lo,CANADIAN SYLLABICS HK,9943,5,"2013,2014,2017,2019,2022",6629,116,3158,25,0,0,15,0
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᔦ,Lo,CANADIAN SYLLABICS YE,9045,8,"2013,2014,2017,2019,2020,2021,2022,2023",5982,120,2586,99,1,177,36,44
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᑌ,Lo,CANADIAN SYLLABICS TE,8653,8,"2013,2014,2017,2019,2020,2021,2022,2023",5338,101,2652,195,3,253,11,100
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᓴ,Lo,CANADIAN SYLLABICS SA,8546,8,"2013,2014,2017,2019,2020,2021,2022,2023",5153,83,3181,54,6,21,29,19
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᐋ,Lo,CANADIAN SYLLABICS AA,8353,7,"2013,2014,2017,2019,2020,2022,2023",5357,138,2786,40,7,0,23,2
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᑑ,Lo,CANADIAN SYLLABICS TOO,7940,6,"2013,2014,2017,2019,2020,2022",5359,141,2384,33,12,0,11,0
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᑖ,Lo,CANADIAN SYLLABICS TAA,7739,6,"2013,2014,2017,2019,2020,2022",5121,102,2453,30,17,0,16,0
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᔭ,Lo,CANADIAN SYLLABICS YA,7067,8,"2013,2014,2017,2019,2020,2021,2022,2023",4127,117,2216,282,2,128,22,173
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᓃ,Lo,CANADIAN SYLLABICS NII,6808,7,"2013,2014,2017,2019,2020,2022,2023",4330,108,2323,17,5,0,9,16
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᔮ,Lo,CANADIAN SYLLABICS YAA,6560,6,"2013,2014,2017,2019,2020,2022",4277,89,2128,37,22,0,7,0
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᑰ,Lo,CANADIAN SYLLABICS KOO,6022,6,"2013,2014,2017,2019,2020,2022",3938,91,1967,18,5,0,3,0
ojb,Cans,ojb_Cans,Northwestern Ojibwa,ᐞ,Lo,CANADIAN SYLLABICS GLOTTAL STOP,5974,5,"2013,2014,2017,2019,2022",3447,62,2433,28,0,0,4,0
