iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2022_frequency,year_2023_frequency
ons,Latn,ons_Latn,Ono, ,Zs,SPACE,23098,3,"2019,2022,2023",1193,19012,2893
ons,Latn,ons_Latn,Ono,e,Ll,LATIN SMALL LETTER E,19295,3,"2019,2022,2023",1066,15859,2370
ons,Latn,ons_Latn,Ono,a,Ll,LATIN SMALL LETTER A,14637,3,"2019,2022,2023",795,12055,1787
ons,Latn,ons_Latn,Ono,n,Ll,LATIN SMALL LETTER N,9955,3,"2019,2022,2023",398,8267,1290
ons,Latn,ons_Latn,Ono,i,Ll,LATIN SMALL LETTER I,9650,3,"2019,2022,2023",465,7980,1205
ons,Latn,ons_Latn,Ono,o,Ll,LATIN SMALL LETTER O,9600,3,"2019,2022,2023",523,7897,1180
ons,Latn,ons_Latn,Ono,k,Ll,LATIN SMALL LETTER K,7710,3,"2019,2022,2023",403,6343,964
ons,Latn,ons_Latn,Ono,m,Ll,LATIN SMALL LETTER M,5793,3,"2019,2022,2023",241,4805,747
ons,Latn,ons_Latn,Ono,ŋ,Ll,LATIN SMALL LETTER ENG,4865,3,"2019,2022,2023",222,4031,612
ons,Latn,ons_Latn,Ono,w,Ll,LATIN SMALL LETTER W,3412,3,"2019,2022,2023",144,2831,437
ons,Latn,ons_Latn,Ono,t,Ll,LATIN SMALL LETTER T,3365,3,"2019,2022,2023",138,2815,412
ons,Latn,ons_Latn,Ono,u,Ll,LATIN SMALL LETTER U,3327,3,"2019,2022,2023",136,2807,384
ons,Latn,ons_Latn,Ono,r,Ll,LATIN SMALL LETTER R,3289,3,"2019,2022,2023",208,2705,376
ons,Latn,ons_Latn,Ono,s,Ll,LATIN SMALL LETTER S,2587,3,"2019,2022,2023",197,2047,343
ons,Latn,ons_Latn,Ono,l,Ll,LATIN SMALL LETTER L,2328,3,"2019,2022,2023",113,1898,317
ons,Latn,ons_Latn,Ono,",",Po,COMMA,2253,3,"2019,2022,2023",157,1781,315
ons,Latn,ons_Latn,Ono,p,Ll,LATIN SMALL LETTER P,1962,3,"2019,2022,2023",140,1620,202
ons,Latn,ons_Latn,Ono,g,Ll,LATIN SMALL LETTER G,1919,3,"2019,2022,2023",137,1552,230
ons,Latn,ons_Latn,Ono,d,Ll,LATIN SMALL LETTER D,1556,3,"2019,2022,2023",82,1280,194
ons,Latn,ons_Latn,Ono,y,Ll,LATIN SMALL LETTER Y,1386,3,"2019,2022,2023",114,1097,175
ons,Latn,ons_Latn,Ono,b,Ll,LATIN SMALL LETTER B,1028,3,"2019,2022,2023",59,819,150
ons,Latn,ons_Latn,Ono,.,Po,FULL STOP,1000,3,"2019,2022,2023",54,830,116
ons,Latn,ons_Latn,Ono,q,Ll,LATIN SMALL LETTER Q,704,3,"2019,2022,2023",18,596,90
ons,Latn,ons_Latn,Ono,A,Lu,LATIN CAPITAL LETTER A,529,3,"2019,2022,2023",26,444,59
ons,Latn,ons_Latn,Ono,Ŋ,Lu,LATIN CAPITAL LETTER ENG,388,3,"2019,2022,2023",9,322,57
ons,Latn,ons_Latn,Ono,z,Ll,LATIN SMALL LETTER Z,384,3,"2019,2022,2023",34,288,62
ons,Latn,ons_Latn,Ono,1,Nd,DIGIT ONE,362,3,"2019,2022,2023",30,284,48
ons,Latn,ons_Latn,Ono,K,Lu,LATIN CAPITAL LETTER K,305,3,"2019,2022,2023",14,251,40
ons,Latn,ons_Latn,Ono,E,Lu,LATIN CAPITAL LETTER E,263,3,"2019,2022,2023",26,213,24
ons,Latn,ons_Latn,Ono,W,Lu,LATIN CAPITAL LETTER W,251,3,"2019,2022,2023",12,219,20
ons,Latn,ons_Latn,Ono,M,Lu,LATIN CAPITAL LETTER M,249,3,"2019,2022,2023",23,201,25
ons,Latn,ons_Latn,Ono,2,Nd,DIGIT TWO,244,3,"2019,2022,2023",17,203,24
ons,Latn,ons_Latn,Ono,Y,Lu,LATIN CAPITAL LETTER Y,208,3,"2019,2022,2023",57,126,25
ons,Latn,ons_Latn,Ono,N,Lu,LATIN CAPITAL LETTER N,176,3,"2019,2022,2023",8,152,16
