iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
pag,Latn,pag_Latn,Pangasinan,a,Ll,LATIN SMALL LETTER A,1525075,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",56591,67395,26316,49453,130884,94725,357477,134490,285036,218522,64706,39480
pag,Latn,pag_Latn,Pangasinan, ,Zs,SPACE,1382687,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",51314,60231,23753,44433,108560,62616,327033,124190,266376,203735,67578,42868
pag,Latn,pag_Latn,Pangasinan,n,Ll,LATIN SMALL LETTER N,806055,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",29245,37810,13613,25236,69325,38710,192098,72731,150212,116299,37418,23358
pag,Latn,pag_Latn,Pangasinan,i,Ll,LATIN SMALL LETTER I,487086,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",18795,22415,9122,16108,45279,21222,113888,43313,88119,69362,24142,15321
pag,Latn,pag_Latn,Pangasinan,o,Ll,LATIN SMALL LETTER O,455253,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15742,22331,8067,13316,43853,26064,104800,39844,79564,63097,23570,15005
pag,Latn,pag_Latn,Pangasinan,e,Ll,LATIN SMALL LETTER E,378669,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13249,14478,6071,9928,29389,16297,93889,36569,71993,55476,19344,11986
pag,Latn,pag_Latn,Pangasinan,t,Ll,LATIN SMALL LETTER T,367568,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13657,15177,6017,10930,35421,22724,86238,31242,66186,51274,17480,11222
pag,Latn,pag_Latn,Pangasinan,s,Ll,LATIN SMALL LETTER S,338821,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12530,14279,5392,10028,26651,14444,83055,30535,63194,49643,17971,11099
pag,Latn,pag_Latn,Pangasinan,y,Ll,LATIN SMALL LETTER Y,281376,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11125,13744,5916,9700,20724,18982,65884,25550,48899,40859,12537,7456
pag,Latn,pag_Latn,Pangasinan,l,Ll,LATIN SMALL LETTER L,256946,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10029,11718,4601,8300,22008,12483,62684,24416,46719,37361,10059,6568
pag,Latn,pag_Latn,Pangasinan,r,Ll,LATIN SMALL LETTER R,244548,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7589,9974,3702,6427,21974,29364,55030,22254,40511,32973,8834,5916
pag,Latn,pag_Latn,Pangasinan,g,Ll,LATIN SMALL LETTER G,232366,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10146,10531,4145,8159,20110,10264,55395,20475,42856,32635,10665,6985
pag,Latn,pag_Latn,Pangasinan,d,Ll,LATIN SMALL LETTER D,226626,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7839,9536,3819,6710,32783,11013,49588,19125,41640,29297,9510,5766
pag,Latn,pag_Latn,Pangasinan,k,Ll,LATIN SMALL LETTER K,225335,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9318,10704,3961,7889,16091,16230,49309,19113,42883,31697,11581,6559
pag,Latn,pag_Latn,Pangasinan,m,Ll,LATIN SMALL LETTER M,222376,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8458,9659,3887,7325,16940,16799,50398,19217,40579,31698,10865,6551
pag,Latn,pag_Latn,Pangasinan,p,Ll,LATIN SMALL LETTER P,176786,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6786,7518,3143,5882,14557,8485,43525,16555,31171,25673,8270,5221
pag,Latn,pag_Latn,Pangasinan,u,Ll,LATIN SMALL LETTER U,136707,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5705,5620,2210,4164,14430,8537,32388,12505,23972,19427,4846,2903
pag,Latn,pag_Latn,Pangasinan,b,Ll,LATIN SMALL LETTER B,128517,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4970,5192,2101,4141,10529,6942,31872,11915,23308,19134,5023,3390
pag,Latn,pag_Latn,Pangasinan,.,Po,FULL STOP,77113,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4474,3175,1279,2481,6072,2747,18089,7274,14170,11818,3301,2233
pag,Latn,pag_Latn,Pangasinan,",",Po,COMMA,69796,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2845,3858,1525,3070,4805,2133,15390,5776,13919,9760,4217,2498
pag,Latn,pag_Latn,Pangasinan,w,Ll,LATIN SMALL LETTER W,67821,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3112,3229,1302,2454,6345,3161,15706,5685,12427,9370,3208,1822
pag,Latn,pag_Latn,Pangasinan,h,Ll,LATIN SMALL LETTER H,41622,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",803,761,481,278,8845,5919,6959,2981,5327,3941,3016,2311
