iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
pam,Latn,pam_Latn,Pampanga,a,Ll,LATIN SMALL LETTER A,1088254,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",49430,63112,59900,68908,141587,126659,76361,65895,56488,234398,94821,50695
pam,Latn,pam_Latn,Pampanga, ,Zs,SPACE,1060809,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",50698,65316,64334,66796,134361,115554,72569,62027,54131,242312,86392,46319
pam,Latn,pam_Latn,Pampanga,n,Ll,LATIN SMALL LETTER N,731954,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",33689,43068,39172,47181,97239,83909,51704,44421,38253,157050,63374,32894
pam,Latn,pam_Latn,Pampanga,i,Ll,LATIN SMALL LETTER I,483032,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23197,28753,28033,30778,59510,53460,34445,28991,24835,110638,39602,20790
pam,Latn,pam_Latn,Pampanga,g,Ll,LATIN SMALL LETTER G,442102,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",19517,24526,23014,27573,58090,52985,32476,27448,23167,92353,40040,20913
pam,Latn,pam_Latn,Pampanga,u,Ll,LATIN SMALL LETTER U,308502,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13776,18608,18263,19283,41755,37382,19777,16759,14526,66905,27879,13589
pam,Latn,pam_Latn,Pampanga,t,Ll,LATIN SMALL LETTER T,265800,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11646,15867,18259,15458,32849,31004,18413,15582,14272,57968,22703,11779
pam,Latn,pam_Latn,Pampanga,k,Ll,LATIN SMALL LETTER K,249661,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12029,15268,15045,16665,29800,24068,15478,13683,11924,64769,20022,10910
pam,Latn,pam_Latn,Pampanga,l,Ll,LATIN SMALL LETTER L,248568,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10518,14085,14567,14176,31817,30656,19919,16400,13448,49287,21840,11855
pam,Latn,pam_Latn,Pampanga,e,Ll,LATIN SMALL LETTER E,219218,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8669,13287,17012,11016,26559,25907,18042,14642,13336,40978,20120,9650
pam,Latn,pam_Latn,Pampanga,m,Ll,LATIN SMALL LETTER M,216045,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8684,11545,12194,12242,28573,26466,15891,13642,11899,43869,20412,10628
pam,Latn,pam_Latn,Pampanga,s,Ll,LATIN SMALL LETTER S,165300,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7129,10487,11210,9620,21245,19744,12439,10541,9646,29923,15006,8310
pam,Latn,pam_Latn,Pampanga,p,Ll,LATIN SMALL LETTER P,155168,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6445,8304,8385,8925,20602,18695,12248,10395,8959,30338,14575,7297
pam,Latn,pam_Latn,Pampanga,r,Ll,LATIN SMALL LETTER R,134512,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5608,7894,9976,7108,16728,17095,11589,9279,8441,22330,12107,6357
pam,Latn,pam_Latn,Pampanga,b,Ll,LATIN SMALL LETTER B,116881,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5177,6527,6477,7324,15132,13851,8156,6759,5778,25735,10328,5637
pam,Latn,pam_Latn,Pampanga,d,Ll,LATIN SMALL LETTER D,114694,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4755,6688,7956,6320,14053,14182,8129,7313,6226,23586,9868,5618
pam,Latn,pam_Latn,Pampanga,y,Ll,LATIN SMALL LETTER Y,107392,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5087,6979,6713,7540,13774,11756,7986,6706,6062,19888,9759,5142
pam,Latn,pam_Latn,Pampanga,o,Ll,LATIN SMALL LETTER O,106572,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3897,6193,9385,4739,12409,12418,9508,7212,7657,19352,9115,4687
pam,Latn,pam_Latn,Pampanga,",",Po,COMMA,64412,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2468,3042,3636,3154,7821,6439,3518,3342,3132,19689,4917,3254
pam,Latn,pam_Latn,Pampanga,.,Po,FULL STOP,60374,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2593,5550,6041,3891,7929,6621,4270,3368,3388,9078,5124,2521
pam,Latn,pam_Latn,Pampanga,c,Ll,LATIN SMALL LETTER C,37649,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",762,1451,3547,886,5655,7561,3309,2267,2434,4162,4110,1505
pam,Latn,pam_Latn,Pampanga,w,Ll,LATIN SMALL LETTER W,31809,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1024,1710,2283,1327,3600,4168,2951,2554,2216,4799,3175,2002
pam,Latn,pam_Latn,Pampanga,A,Lu,LATIN CAPITAL LETTER A,31192,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",902,2650,2706,1187,3182,2891,2104,1966,1677,7158,3276,1493
pam,Latn,pam_Latn,Pampanga,h,Ll,LATIN SMALL LETTER H,25300,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",806,2081,3851,674,3024,3127,2252,1943,1898,2662,1719,1263
pam,Latn,pam_Latn,Pampanga,M,Lu,LATIN CAPITAL LETTER M,20602,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",724,1260,1233,995,2907,2186,1725,1259,1111,3793,2234,1175
pam,Latn,pam_Latn,Pampanga,I,Lu,LATIN CAPITAL LETTER I,19627,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",843,1673,1613,1089,2356,1981,1586,1313,1057,2915,2057,1144
pam,Latn,pam_Latn,Pampanga,1,Nd,DIGIT ONE,16288,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",824,812,630,883,1095,1193,636,514,379,8418,628,276
pam,Latn,pam_Latn,Pampanga,K,Lu,LATIN CAPITAL LETTER K,14628,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",520,722,791,795,2238,1597,1245,1276,1006,1637,1803,998
pam,Latn,pam_Latn,Pampanga,P,Lu,LATIN CAPITAL LETTER P,14445,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",619,852,712,765,1801,1656,1465,1226,1022,1877,1704,746
pam,Latn,pam_Latn,Pampanga,:,Po,COLON,14417,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",191,137,246,162,528,615,754,599,400,10115,417,253
pam,Latn,pam_Latn,Pampanga,D,Lu,LATIN CAPITAL LETTER D,14353,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",843,1163,927,1100,1416,1178,888,824,745,3338,1331,600
pam,Latn,pam_Latn,Pampanga,-,Pd,HYPHEN-MINUS,13200,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",403,387,772,516,1899,2456,1175,1197,1210,964,1471,750
pam,Latn,pam_Latn,Pampanga,N,Lu,LATIN CAPITAL LETTER N,13043,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",410,1345,1335,629,1579,1407,835,775,699,1674,1600,755
pam,Latn,pam_Latn,Pampanga,2,Nd,DIGIT TWO,11829,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",602,612,379,701,920,1011,452,304,335,5418,757,338
pam,Latn,pam_Latn,Pampanga,S,Lu,LATIN CAPITAL LETTER S,10847,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",363,712,705,442,1368,1302,970,863,721,1328,1474,599
pam,Latn,pam_Latn,Pampanga,f,Ll,LATIN SMALL LETTER F,9689,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",228,742,1676,139,982,1110,1151,891,805,625,793,547
pam,Latn,pam_Latn,Pampanga,T,Lu,LATIN CAPITAL LETTER T,9370,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",322,1000,1112,370,1273,1028,686,576,461,1176,901,465
pam,Latn,pam_Latn,Pampanga,B,Lu,LATIN CAPITAL LETTER B,9027,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",394,630,641,459,1308,948,796,728,524,882,1172,545
pam,Latn,pam_Latn,Pampanga,C,Lu,LATIN CAPITAL LETTER C,8775,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",379,647,697,386,1072,924,718,530,446,1799,852,325
pam,Latn,pam_Latn,Pampanga,L,Lu,LATIN CAPITAL LETTER L,8515,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",191,776,828,215,875,713,689,646,418,1765,950,449
pam,Latn,pam_Latn,Pampanga,E,Lu,LATIN CAPITAL LETTER E,8137,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",436,561,443,500,988,794,653,571,427,1381,940,443
pam,Latn,pam_Latn,Pampanga,G,Lu,LATIN CAPITAL LETTER G,7810,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",333,748,626,441,880,597,535,525,381,1520,783,441
pam,Latn,pam_Latn,Pampanga,v,Ll,LATIN SMALL LETTER V,7125,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",181,431,931,86,748,880,699,514,621,1005,675,354
pam,Latn,pam_Latn,Pampanga,0,Nd,DIGIT ZERO,6814,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",241,214,414,283,863,1107,513,376,395,1466,635,307
pam,Latn,pam_Latn,Pampanga,J,Lu,LATIN CAPITAL LETTER J,6770,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",518,586,285,661,591,235,247,185,158,2925,266,113
pam,Latn,pam_Latn,Pampanga,;,Po,SEMICOLON,6489,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",296,364,149,356,545,237,181,291,397,3099,414,160
pam,Latn,pam_Latn,Pampanga,3,Nd,DIGIT THREE,5989,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",385,396,240,413,446,212,252,129,151,2873,328,164
pam,Latn,pam_Latn,Pampanga,|,Sm,VERTICAL LINE,5713,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",178,0,0,11,290,821,1531,917,594,503,755,113
pam,Latn,pam_Latn,Pampanga,’,Pf,RIGHT SINGLE QUOTATION MARK,5685,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",73,355,364,204,718,772,217,378,495,568,1038,503
pam,Latn,pam_Latn,Pampanga,U,Lu,LATIN CAPITAL LETTER U,5660,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",154,658,658,232,613,468,273,306,229,1169,594,306
pam,Latn,pam_Latn,Pampanga,),Pe,RIGHT PARENTHESIS,4952,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",128,80,266,66,550,952,851,578,437,405,449,190
pam,Latn,pam_Latn,Pampanga,(,Ps,LEFT PARENTHESIS,4925,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",129,68,268,66,550,946,853,582,433,407,435,188
pam,Latn,pam_Latn,Pampanga,O,Lu,LATIN CAPITAL LETTER O,4793,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",207,418,424,248,660,634,389,295,285,485,518,230
pam,Latn,pam_Latn,Pampanga,q,Ll,LATIN SMALL LETTER Q,4775,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",110,147,158,228,1150,1469,250,90,211,282,576,104
pam,Latn,pam_Latn,Pampanga,4,Nd,DIGIT FOUR,4756,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",307,286,231,306,277,165,202,121,118,2343,254,146
pam,Latn,pam_Latn,Pampanga,?,Po,QUESTION MARK,4614,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",180,295,423,252,672,582,153,173,226,1161,357,140
pam,Latn,pam_Latn,Pampanga,R,Lu,LATIN CAPITAL LETTER R,4447,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",115,163,262,126,501,475,320,317,276,1141,533,218
pam,Latn,pam_Latn,Pampanga,5,Nd,DIGIT FIVE,4256,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",249,223,207,250,294,241,234,138,126,1935,248,111
pam,Latn,pam_Latn,Pampanga,“,Pi,LEFT DOUBLE QUOTATION MARK,4092,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",366,476,266,556,691,213,270,276,182,301,293,202
pam,Latn,pam_Latn,Pampanga,9,Nd,DIGIT NINE,4055,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",203,162,149,178,181,243,304,238,247,1545,357,248
pam,Latn,pam_Latn,Pampanga,”,Pf,RIGHT DOUBLE QUOTATION MARK,3988,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",343,444,269,532,682,217,268,251,179,298,305,200
pam,Latn,pam_Latn,Pampanga,!,Po,EXCLAMATION MARK,3854,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",237,295,250,341,665,581,201,129,282,275,418,180
pam,Latn,pam_Latn,Pampanga,6,Nd,DIGIT SIX,3581,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",197,209,144,257,284,147,173,131,87,1679,195,78
pam,Latn,pam_Latn,Pampanga,7,Nd,DIGIT SEVEN,3161,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",187,176,114,196,188,128,174,106,101,1497,192,102
