iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
pcd,Latn,pcd_Latn,Picard, ,Zs,SPACE,2189438,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5810,4182,1740,6049,538406,407517,361970,235941,321518,142053,151137,13115
pcd,Latn,pcd_Latn,Picard,e,Ll,LATIN SMALL LETTER E,1033617,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2721,2071,908,3101,255088,195802,167886,109362,152166,68593,69785,6134
pcd,Latn,pcd_Latn,Picard,i,Ll,LATIN SMALL LETTER I,862815,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2181,1678,713,2379,209619,146241,137951,93586,136674,56558,69933,5302
pcd,Latn,pcd_Latn,Picard,n,Ll,LATIN SMALL LETTER N,716264,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1910,1513,618,1956,175375,125761,117325,76902,108423,47025,54838,4618
pcd,Latn,pcd_Latn,Picard,s,Ll,LATIN SMALL LETTER S,711729,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1849,1422,605,2054,174470,133006,119645,76254,102969,46364,48962,4129
pcd,Latn,pcd_Latn,Picard,t,Ll,LATIN SMALL LETTER T,678378,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1665,1377,667,1898,166862,123971,113854,71377,99161,45510,47713,4323
pcd,Latn,pcd_Latn,Picard,a,Ll,LATIN SMALL LETTER A,650863,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1895,1291,525,1827,159060,129467,109268,68692,93299,40893,40686,3960
pcd,Latn,pcd_Latn,Picard,o,Ll,LATIN SMALL LETTER O,620798,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1598,1217,581,1743,155032,113764,102870,67643,88949,38980,44614,3807
pcd,Latn,pcd_Latn,Picard,u,Ll,LATIN SMALL LETTER U,620481,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1696,1206,499,1762,153445,116927,102474,67560,88500,40643,41944,3825
pcd,Latn,pcd_Latn,Picard,r,Ll,LATIN SMALL LETTER R,577399,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1691,1261,464,1647,141515,107942,95112,62335,84473,37662,39986,3311
pcd,Latn,pcd_Latn,Picard,l,Ll,LATIN SMALL LETTER L,403660,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1062,807,390,1201,99279,77452,67660,44026,56897,25662,26571,2653
pcd,Latn,pcd_Latn,Picard,c,Ll,LATIN SMALL LETTER C,379808,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",947,779,399,940,92787,70599,62934,41973,55485,23493,27087,2385
pcd,Latn,pcd_Latn,Picard,d,Ll,LATIN SMALL LETTER D,333977,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",889,707,310,911,82565,60365,56226,36294,48743,21585,23331,2051
pcd,Latn,pcd_Latn,Picard,é,Ll,LATIN SMALL LETTER E WITH ACUTE,296194,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",527,467,229,433,72828,45904,49634,33702,45962,17705,26905,1898
pcd,Latn,pcd_Latn,Picard,p,Ll,LATIN SMALL LETTER P,277554,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",640,524,222,824,68920,51838,46675,29910,39879,17212,19167,1743
pcd,Latn,pcd_Latn,Picard,m,Ll,LATIN SMALL LETTER M,267935,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",758,547,235,737,65649,51961,45007,27648,38629,17392,17971,1401
pcd,Latn,pcd_Latn,Picard,h,Ll,LATIN SMALL LETTER H,239236,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",579,479,272,532,59227,43275,39021,26277,34916,14626,18462,1570
pcd,Latn,pcd_Latn,Picard,’,Pf,RIGHT SINGLE QUOTATION MARK,194359,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",149,127,106,95,40263,16412,39535,25789,31274,16943,21969,1697
pcd,Latn,pcd_Latn,Picard,',Po,APOSTROPHE,172008,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",954,636,221,1140,49081,49198,24275,12475,20337,9407,3344,940
pcd,Latn,pcd_Latn,Picard,",",Po,COMMA,164894,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",430,426,90,344,40592,31644,26364,17382,23259,10913,12182,1268
pcd,Latn,pcd_Latn,Picard,v,Ll,LATIN SMALL LETTER V,160329,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",456,268,118,441,39121,29854,26936,17095,23562,10300,11251,927
pcd,Latn,pcd_Latn,Picard,q,Ll,LATIN SMALL LETTER Q,142629,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",365,269,97,432,35890,25724,23587,15477,21173,8846,9924,845
pcd,Latn,pcd_Latn,Picard,.,Po,FULL STOP,140866,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",216,202,71,291,33892,21520,23236,16509,21546,10552,11914,917
pcd,Latn,pcd_Latn,Picard,f,Ll,LATIN SMALL LETTER F,115781,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",286,207,117,296,27325,19143,17854,12641,19599,7909,9773,631
pcd,Latn,pcd_Latn,Picard,b,Ll,LATIN SMALL LETTER B,93584,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",286,156,92,246,23002,17267,15837,9852,13358,6195,6759,534
pcd,Latn,pcd_Latn,Picard,g,Ll,LATIN SMALL LETTER G,92895,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",208,165,73,188,21332,14051,14445,10857,16355,6062,8620,539
pcd,Latn,pcd_Latn,Picard,j,Ll,LATIN SMALL LETTER J,68275,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",250,83,31,153,16620,14288,11381,6872,9661,4205,4423,308
pcd,Latn,pcd_Latn,Picard,à,Ll,LATIN SMALL LETTER A WITH GRAVE,56690,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",145,89,26,117,13938,10075,9865,6218,8377,3761,3772,307
pcd,Latn,pcd_Latn,Picard,è,Ll,LATIN SMALL LETTER E WITH GRAVE,39949,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",87,75,56,93,10043,5982,7294,4390,5423,3002,3231,273
pcd,Latn,pcd_Latn,Picard,y,Ll,LATIN SMALL LETTER Y,38326,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",98,86,34,72,9158,7667,7114,4105,5163,2252,2322,255
pcd,Latn,pcd_Latn,Picard,-,Pd,HYPHEN-MINUS,32151,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",59,78,30,83,8113,4569,5457,3243,4647,2323,3291,258
pcd,Latn,pcd_Latn,Picard,z,Ll,LATIN SMALL LETTER Z,30392,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",46,33,15,96,7553,5031,4617,3575,4764,2015,2497,150
pcd,Latn,pcd_Latn,Picard,x,Ll,LATIN SMALL LETTER X,28096,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",73,51,20,84,6959,5012,4775,2803,4045,1947,2150,177
pcd,Latn,pcd_Latn,Picard,(,Ps,LEFT PARENTHESIS,27449,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23,13,10,44,5600,2126,2872,3974,6678,1833,4159,117
pcd,Latn,pcd_Latn,Picard,),Pe,RIGHT PARENTHESIS,27404,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23,13,10,44,5598,2114,2859,3962,6661,1844,4157,119
pcd,Latn,pcd_Latn,Picard,!,Po,EXCLAMATION MARK,26588,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",55,53,10,57,7034,5350,3735,2437,3506,1883,2315,153
pcd,Latn,pcd_Latn,Picard,C,Lu,LATIN CAPITAL LETTER C,24142,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",53,58,43,96,6267,3742,3680,2723,3461,1885,1962,172
pcd,Latn,pcd_Latn,Picard,A,Lu,LATIN CAPITAL LETTER A,18837,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",47,36,15,88,4776,2841,2978,2144,2566,1539,1632,175
pcd,Latn,pcd_Latn,Picard,0,Nd,DIGIT ZERO,18605,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",68,29,17,48,4991,5183,2783,1563,2366,828,660,69
pcd,Latn,pcd_Latn,Picard,I,Lu,LATIN CAPITAL LETTER I,15840,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",40,43,18,77,3840,2354,2775,1725,2246,1265,1293,164
pcd,Latn,pcd_Latn,Picard,M,Lu,LATIN CAPITAL LETTER M,15692,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",40,29,5,54,3745,2690,2613,1648,2263,1105,1378,122
pcd,Latn,pcd_Latn,Picard,P,Lu,LATIN CAPITAL LETTER P,15347,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",36,42,15,68,3929,2188,2439,1783,2307,1066,1337,137
pcd,Latn,pcd_Latn,Picard,E,Lu,LATIN CAPITAL LETTER E,15208,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",84,37,21,103,3810,2877,2587,1608,1832,1253,882,114
pcd,Latn,pcd_Latn,Picard,1,Nd,DIGIT ONE,15117,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",47,38,14,50,3828,3464,2588,1531,1993,747,758,59
pcd,Latn,pcd_Latn,Picard,:,Po,COLON,14246,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",51,46,4,25,4371,3136,1912,1229,1527,902,967,76
pcd,Latn,pcd_Latn,Picard,|,Sm,VERTICAL LINE,14030,11,"2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",162,6,11,0,2255,6529,1104,907,1129,1512,400,15
pcd,Latn,pcd_Latn,Picard,2,Nd,DIGIT TWO,12089,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",57,24,18,57,3073,3178,1828,1152,1411,727,502,62
pcd,Latn,pcd_Latn,Picard,L,Lu,LATIN CAPITAL LETTER L,11938,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",18,18,12,48,2886,2190,1897,1367,1588,992,820,102
pcd,Latn,pcd_Latn,Picard,D,Lu,LATIN CAPITAL LETTER D,11683,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",29,47,10,63,3101,1757,1843,1416,1573,754,970,120
pcd,Latn,pcd_Latn,Picard,ê,Ll,LATIN SMALL LETTER E WITH CIRCUMFLEX,11449,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20,28,8,45,2828,1767,1735,1073,1822,1110,925,88
pcd,Latn,pcd_Latn,Picard,/,Po,SOLIDUS,11407,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",30,10,8,4,4167,2572,1465,779,1517,446,376,33
